#,Company,Symbol,Weight,Price,Chg,% Chg
418,Packaging Corporation of America,PKG,0.038379,137.02,-0.38,(-0.28%)
419,Stanley Black & Decker Inc.,SWK,0.038025,85.49,-1.35,(-1.55%)
420,APA Corp.,APA,0.037897,38.84,-0.28,(-0.72%)
421,Kimco Realty Corporation,KIM,0.037459,20.47,-0.13,(-0.63%)
422,Camden Property Trust,CPT,0.037191,115.72,-2.35,(-1.99%)
423,C.H. Robinson Worldwide Inc.,CHRW,0.037148,100.17,-0.78,(-0.77%)
424,PulteGroup Inc.,PHM,0.037054,53.31,-0.69,(-1.28%)
425,Western Digital Corporation,WDC,0.036692,39.0,-0.8,(-2.00%)
426,Match Group Inc.,MTCH,0.036374,41.94,-1.7,(-3.90%)
427,Host Hotels & Resorts Inc.,HST,0.036217,16.95,-0.4,(-2.31%)
428,Jack Henry & Associates Inc.,JKHY,0.036126,165.25,-1.31,(-0.79%)
429,Catalent Inc,CTLT,0.035719,67.9,0.25,(0.37%)
430,Masco Corporation,MAS,0.035644,52.49,-0.79,(-1.48%)
431,Nordson Corporation,NDSN,0.035623,220.71,-1.91,(-0.86%)
432,Akamai Technologies Inc.,AKAM,0.035402,73.34,-1.81,(-2.41%)
433,BorgWarner Inc.,BWA,0.035211,49.56,-0.22,(-0.43%)
434,Gen Digital Inc.,GEN,0.035182,20.25,-0.34,(-1.63%)
435,EQT Corporation,EQT,0.035172,33.26,0.77,(2.35%)
436,Loews Corporation,L,0.035118,60.61,-0.09,(-0.15%)
437,Paramount Global Class B,PARA,0.035103,22.35,-1.09,(-4.65%)
438,Brown-Forman Corporation Class B,BF.B,0.034959,65.03,-0.12,(-0.18%)
439,Ceridian HCM Holding Inc.,CDAY,0.033977,73.32,-1.52,(-2.02%)
440,Bio-Techne Corporation,TECH,0.033943,72.86,-1.41,(-1.90%)
441,Celanese Corporation,CE,0.033939,117.28,2.5,(2.17%)
442,Charles River Laboratories International Inc.,CRL,0.033546,216.36,-10.92,(-4.81%)
443,NiSource Inc,NI,0.03347,27.7,-0.2,(-0.72%)
444,Henry Schein Inc.,HSIC,0.03346,80.71,-0.81,(-0.99%)
445,Caesars Entertainment Inc,CZR,0.03311,50.22,-2.31,(-4.40%)
446,CarMax Inc.,KMX,0.033085,67.67,-1.44,(-2.08%)
447,Fox Corporation Class A,FOXA,0.033057,35.9,-0.44,(-1.21%)
448,Wynn Resorts Limited,WYNN,0.032959,105.08,-0.76,(-0.72%)
449,Domino's Pizza Inc.,DPZ,0.032759,301.85,-6.02,(-1.95%)
450,Teleflex Incorporated,TFX,0.032377,236.18,0.41,(0.17%)
451,Globe Life Inc.,GL,0.03234,121.54,1.06,(0.88%)
452,Tapestry Inc.,TPR,0.032232,42.47,-0.64,(-1.48%)
453,Live Nation Entertainment Inc.,LYV,0.032225,69.52,-6.98,(-9.12%)
454,Campbell Soup Company,CPB,0.031854,53.12,0.07,(0.13%)
455,Qorvo Inc.,QRVO,0.031583,100.66,-2.42,(-2.35%)
456,Carnival Corporation,CCL,0.031393,10.44,-0.46,(-4.18%)
457,Bio-Rad Laboratories Inc. Class A,BIO,0.030754,481.24,-5.76,(-1.18%)
458,Eastman Chemical Company,EMN,0.030593,83.38,-0.53,(-0.63%)
459,American Airlines Group Inc.,AAL,0.030148,15.45,-0.43,(-2.68%)
460,Juniper Networks Inc.,JNPR,0.030055,30.65,-0.82,(-2.61%)
461,Allegion Public Limited Company,ALLE,0.029993,112.87,-0.91,(-0.80%)
462,Molson Coors Beverage Company Class B,TAP,0.029803,53.83,0.33,(0.62%)
463,Bath & Body Works Inc.,BBWI,0.029461,42.09,-1.47,(-3.37%)
464,Universal Health Services Inc. Class B,UHS,0.029205,144.91,-2.14,(-1.46%)
465,Boston Properties Inc.,BXP,0.028606,66.58,-1.99,(-2.90%)
466,Regency Centers Corporation,REG,0.0285,63.15,-0.34,(-0.54%)
467,Comerica Incorporated,CMA,0.027336,70.33,0.32,(0.46%)
468,Pentair plc,PNR,0.026845,55.56,0.44,(0.80%)
469,Robert Half International Inc.,RHI,0.025989,78.64,-0.91,(-1.14%)
470,Huntington Ingalls Industries Inc.,HII,0.025624,218.83,1.52,(0.70%)
471,Advance Auto Parts Inc.,AAP,0.025514,140.61,-1.4,(-0.99%)
472,F5 Inc.,FFIV,0.025338,140.12,-3.55,(-2.47%)
473,A. O. Smith Corporation,AOS,0.025056,65.35,-0.47,(-0.71%)
474,Pinnacle West Capital Corporation,PNW,0.024467,73.2,-0.19,(-0.25%)
475,Rollins Inc.,ROL,0.024313,35.21,-0.09,(-0.24%)
476,Franklin Resources Inc.,BEN,0.024034,29.35,-0.41,(-1.38%)
477,WestRock Company,WRK,0.023933,31.41,-0.36,(-1.12%)
478,Invesco Ltd.,IVZ,0.023932,17.53,-0.22,(-1.21%)
479,NRG Energy Inc.,NRG,0.023392,33.6,0.09,(0.27%)
480,V.F. Corporation,VFC,0.023384,24.22,-0.38,(-1.54%)
481,Federal Realty Investment Trust,FRT,0.023351,106.67,-0.62,(-0.58%)
482,Whirlpool Corporation,WHR,0.022801,141.28,0.15,(0.11%)
483,DENTSPLY SIRONA Inc.,XRAY,0.022614,34.47,-0.75,(-2.13%)
484,Generac Holdings Inc.,GNRC,0.022485,118.43,-2.84,(-2.34%)
485,Zions Bancorporation N.A.,ZION,0.022073,49.64,0.28,(0.57%)
486,Sealed Air Corporation,SEE,0.021768,48.89,-0.51,(-1.03%)
487,Hasbro Inc.,HAS,0.021574,56.08,-0.99,(-1.73%)
488,Signature Bank,SBNY,0.021513,114.33,-1.95,(-1.68%)
489,Norwegian Cruise Line Holdings Ltd.,NCLH,0.020593,16.26,-0.5,(-2.96%)
490,Assurant Inc.,AIZ,0.020262,128.02,-0.19,(-0.15%)
491,News Corporation Class A,NWSA,0.020255,17.31,-0.19,(-1.09%)
492,Organon & Co.,OGN,0.019952,25.54,-1.11,(-4.17%)
493,DXC Technology Co.,DXC,0.019316,27.62,-0.72,(-2.54%)
494,Alaska Air Group Inc.,ALK,0.017533,46.74,-0.97,(-2.03%)
495,Newell Brands Inc,NWL,0.016582,14.63,-0.2,(-1.32%)
496,Mohawk Industries Inc.,MHK,0.016304,103.91,-3.16,(-2.95%)
497,Ralph Lauren Corporation Class A,RL,0.015121,118.58,-0.05,(-0.04%)
498,Lincoln National Corp,LNC,0.014742,31.53,-0.55,(-1.71%)
499,Fox Corporation Class B,FOX,0.014625,33.08,-0.49,(-1.46%)
500,DaVita Inc.,DVA,0.013692,82.25,-0.62,(-0.75%)
501,DISH Network Corporation Class A,DISH,0.010074,13.29,-0.47,(-3.42%)
502,Lumen Technologies Inc.,LUMN,0.009791,3.58,-0.04,(-0.97%)
503,News Corporation Class B,NWS,0.006428,17.46,-0.25,(-1.38%)
