Symbol,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,YTD Return,Expense Ratio (net),Category,Last Cap Gain,Morningstar Rating,Morningstar Risk Rating,Sustainability Rating
INTC,32.89,32.85,33.07 x 1000,33.17 x 3200,32.85 - 33.84,24.59 - 48.90,"55,714,058","47,819,550",,,,,,,
COP,108.42,108.33,0.00 x 1100,0.00 x 1000,105.11 - 108.77,78.30 - 138.49,"4,894,487","6,894,988",,,,,,,
AMGN,244.44,244.52,247.44 x 1100,248.28 x 800,243.80 - 248.11,223.30 - 296.67,"2,942,874","2,532,391",,,,,,,
HON,193.28,193.12,190.19 x 900,191.72 x 1000,189.68 - 193.23,166.63 - 220.96,"2,499,133","3,174,818",,,,,,,
INTU,440.67,440.15,439.30 x 800,448.59 x 900,437.11 - 446.73,339.36 - 498.45,"1,119,989","1,625,358",,,,,,,
LOW,203.99,203.50,0.00 x 800,0.00 x 800,200.75 - 204.27,170.12 - 223.31,"2,473,581","3,140,845",,,,,,,
UNP,199.54,199.38,0.00 x 900,0.00 x 1200,195.06 - 199.73,183.69 - 250.52,"3,420,234","3,654,893",,,,,,,
BA,215.39,212.00,0.00 x 1300,0.00 x 1200,209.12 - 213.99,113.02 - 221.33,"6,181,798","6,205,196",,,,,,,
SBUX,104.85,104.85,103.96 x 1300,104.15 x 1000,103.35 - 105.00,68.39 - 110.83,"3,854,429","6,118,958",,,,,,,
CAT,229.87,228.90,0.00 x 900,0.00 x 900,216.25 - 229.49,160.60 - 266.04,"4,243,389","3,379,773",,,,,,,
IBM,132.06,131.99,0.00 x 1300,0.00 x 1000,130.89 - 132.15,115.55 - 153.21,"3,321,588","5,227,618",,,,,,,
PLD,123.77,123.77,0.00 x 900,0.00 x 800,122.95 - 124.58,98.03 - 174.54,"2,822,001","3,058,818",,,,,,,
SPGI,346.27,348.49,0.00 x 800,0.00 x 800,345.51 - 352.24,279.32 - 416.36,"815,616","1,438,443",,,,,,,
MS,87.16,87.00,84.87 x 900,85.10 x 800,84.26 - 87.20,72.05 - 100.99,"6,210,825","8,078,985",,,,,,,
ELV,476.49,475.00,0.00 x 1000,0.00 x 800,472.65 - 476.34,440.02 - 549.52,"824,564","1,133,921",,,,,,,
DE,414.99,413.48,0.00 x 800,0.00 x 800,395.73 - 414.88,283.81 - 448.40,"1,779,862","1,537,463",,,,,,,
GS,326.52,326.82,0.00 x 800,0.00 x 1400,320.12 - 326.87,277.84 - 389.58,"1,515,478","3,080,353",,,,,,,
LMT,486.62,485.59,0.00 x 1100,0.00 x 800,484.75 - 490.63,373.67 - 498.95,"1,046,087","1,490,550",,,,,,,
MDT,79.67,79.85,79.14 x 800,79.80 x 1400,79.40 - 80.35,75.77 - 114.31,"4,507,360","6,261,220",,,,,,,
GE,96.92,96.96,0.00 x 1000,0.00 x 800,94.67 - 97.87,46.78 - 97.87,"6,813,918","7,865,596",,,,,,,
GILD,83.24,83.16,82.03 x 800,83.83 x 900,81.82 - 83.45,57.17 - 89.74,"4,490,721","6,251,703",,,,,,,
BKNG,"2,665.19","2,672.14","2,600.01 x 800","2,694.47 x 800","2,625.79 - 2,674.95","1,616.85 - 2,677.18","260,687","329,743",,,,,,,
AMAT,122.32,122.94,119.81 x 900,121.40 x 900,119.39 - 122.97,71.12 - 125.62,"4,772,208","6,612,163",,,,,,,
BLK,666.41,665.89,0.00 x 800,0.00 x 800,653.84 - 669.65,503.12 - 785.65,"517,827","732,213",,,,,,,
ADI,196.28,197.56,194.54 x 900,194.44 x 900,193.79 - 198.24,133.48 - 198.24,"3,633,602","3,459,133",,,,,,,
AXP,163.78,165.01,0.00 x 900,0.00 x 1000,160.83 - 165.19,130.65 - 192.42,"2,012,212","3,719,418",,,,,,,
CVS,76.09,75.99,0.00 x 900,0.00 x 1400,75.62 - 76.54,72.11 - 107.73,"6,453,216","9,359,251",,,,,,,
SYK,287.56,288.29,0.00 x 900,0.00 x 800,285.40 - 290.12,188.84 - 290.12,"1,113,018","1,344,770",,,,,,,
MDLZ,70.22,70.12,70.34 x 1000,70.53 x 1100,70.03 - 70.65,54.72 - 70.65,"4,397,722","6,075,481",,,,,,,
NOW,464.49,475.44,0.00 x 800,0.00 x 900,472.38 - 482.33,337.00 - 542.82,"2,231,486","1,641,243",,,,,,,
AMT,201.10,201.26,0.00 x 800,0.00 x 1000,200.81 - 204.11,178.17 - 282.47,"3,100,355","2,103,283",,,,,,,
TJX,78.86,79.20,0.00 x 900,0.00 x 800,78.56 - 79.39,53.69 - 83.13,"3,034,228","5,391,971",,,,,,,
C,46.71,46.90,0.00 x 1400,0.00 x 3200,45.65 - 47.02,40.01 - 54.56,"15,509,487","20,454,176",,,,,,,
ADP,216.81,216.15,213.85 x 800,215.72 x 1200,212.19 - 216.97,196.61 - 274.92,"2,384,938","2,129,605",,,,,,,
ISRG,253.53,253.58,254.32 x 1300,255.65 x 1000,253.11 - 256.22,180.07 - 308.00,"1,354,779","1,721,571",,,,,,,
REGN,826.19,825.85,802.82 x 1100,825.20 x 1300,820.01 - 830.66,538.01 - 835.00,"397,819","654,743",,,,,,,
TMUS,146.76,145.59,143.99 x 1200,146.31 x 1000,142.77 - 146.38,120.90 - 154.38,"6,954,973","5,203,298",,,,,,,
PYPL,75.29,75.46,75.17 x 800,75.45 x 800,74.73 - 75.69,66.39 - 115.52,"8,949,082","12,843,186",,,,,,,
PGR,145.10,144.68,0.00 x 900,0.00 x 900,142.47 - 145.46,106.35 - 146.50,"1,578,410","2,486,350",,,,,,,
MMC,168.04,168.63,109.42 x 800,167.99 x 800,166.84 - 169.34,143.33 - 183.14,"982,872","1,658,605",,,,,,,
CB,196.68,197.32,0.00 x 800,0.00 x 900,193.64 - 198.26,173.78 - 231.37,"996,157","1,910,153",,,,,,,
VRTX,316.33,315.56,311.80 x 800,315.30 x 800,313.47 - 318.84,233.01 - 325.19,"952,183","1,280,288",,,,,,,
MO,44.98,44.88,44.48 x 3100,44.42 x 1100,44.24 - 44.91,40.35 - 57.05,"7,203,322","8,587,473",,,,,,,
SCHW,51.57,51.65,0.00 x 1200,0.00 x 1100,49.89 - 51.94,45.00 - 86.63,"28,941,574","22,780,181",,,,,,,
CI,262.00,261.02,0.00 x 800,0.00 x 800,256.11 - 261.82,240.11 - 340.11,"1,388,157","1,784,766",,,,,,,
ZTS,167.66,167.39,0.00 x 900,0.00 x 1800,166.49 - 169.43,124.15 - 201.32,"1,655,593","2,190,168",,,,,,,
TGT,166.06,165.71,0.00 x 800,0.00 x 800,164.95 - 167.02,137.16 - 254.87,"2,324,893","3,248,656",,,,,,,
SO,68.97,69.13,0.00 x 1000,0.00 x 1300,68.72 - 69.66,60.71 - 80.57,"3,044,929","4,438,783",,,,,,,
SLB,52.33,52.36,0.00 x 900,0.00 x 900,49.96 - 52.53,30.65 - 59.45,"9,078,054","9,995,565",,,,,,,
DUK,95.09,94.96,0.00 x 800,0.00 x 1000,94.71 - 96.29,83.76 - 116.33,"4,942,690","3,082,470",,,,,,,
FISV,112.83,113.07,111.53 x 900,112.00 x 1000,111.10 - 113.35,87.03 - 119.48,"2,300,766","3,658,840",,,,,,,
EOG,121.41,122.25,0.00 x 1000,0.00 x 1000,117.27 - 122.52,92.16 - 150.88,"3,628,505","3,994,271",,,,,,,
BSX,49.72,49.77,0.00 x 800,0.00 x 4000,49.67 - 50.39,34.98 - 50.39,"8,124,629","7,879,688",,,,,,,
LRCX,521.51,523.00,504.70 x 1000,505.29 x 900,501.24 - 524.11,299.59 - 548.85,"1,269,788","1,303,261",,,,,,,
BDX,246.95,247.84,0.00 x 800,0.00 x 800,247.84 - 250.48,215.90 - 277.29,"982,778","1,095,865",,,,,,,
CME,190.31,189.61,192.31 x 800,193.78 x 900,189.76 - 193.47,166.55 - 247.02,"1,276,939","1,928,943",,,,,,,
ITW,244.38,244.52,0.00 x 1000,0.00 x 800,233.40 - 244.59,173.52 - 253.37,"1,184,885","1,116,668",,,,,,,
ETN,170.54,170.64,0.00 x 1000,0.00 x 1300,161.55 - 170.64,122.50 - 178.75,"3,301,265","2,011,358",,,,,,,
NOC,469.19,468.73,0.00 x 800,0.00 x 800,465.00 - 471.94,430.94 - 556.27,"488,916","1,127,498",,,,,,,
EQIX,709.95,706.21,701.30 x 800,708.58 x 1200,700.51 - 715.36,494.89 - 776.35,"421,127","401,586",,,,,,,
AON,317.08,317.06,0.00 x 900,325.18 x 800,313.85 - 318.86,246.21 - 341.98,"880,208","861,696",,,,,,,
MU,59.61,59.67,57.35 x 1000,57.39 x 1800,56.95 - 60.10,48.43 - 76.23,"21,303,220","15,360,243",,,,,,,
APD,289.04,288.00,0.00 x 800,0.00 x 800,283.99 - 288.91,218.88 - 328.56,"1,148,711","1,147,226",,,,,,,
HUM,510.25,510.38,0.00 x 800,0.00 x 800,501.45 - 510.88,410.87 - 571.30,"919,806","1,060,461",,,,,,,
CL,75.36,75.55,0.00 x 900,0.00 x 800,74.70 - 75.90,67.84 - 83.81,"3,002,588","4,533,775",,,,,,,
CSX,29.85,29.95,29.50 x 4000,29.54 x 2900,29.36 - 30.01,25.80 - 38.17,"10,735,544","13,989,020",,,,,,,
MPC,135.64,134.28,0.00 x 900,0.00 x 800,124.90 - 134.47,77.62 - 138.83,"5,165,672","3,948,918",,,,,,,
WM,163.87,163.99,0.00 x 1100,0.00 x 800,162.38 - 164.84,138.89 - 175.98,"2,514,701","1,883,945",,,,,,,
ATVI,85.33,85.13,85.06 x 900,85.10 x 800,85.01 - 85.57,70.94 - 85.74,"7,712,734","6,667,531",,,,,,,
SNPS,388.94,389.88,384.04 x 900,385.96 x 800,384.01 - 392.79,255.02 - 392.79,"549,142","796,148",,,,,,,
ICE,105.42,105.85,0.00 x 1100,0.00 x 800,105.13 - 106.78,88.60 - 132.30,"2,998,157","2,824,923",,,,,,,
FCX,41.20,40.76,0.00 x 1400,0.00 x 2200,39.71 - 40.80,24.80 - 51.34,"12,726,574","13,048,520",,,,,,,
CDNS,211.39,212.18,211.07 x 800,212.92 x 900,210.89 - 214.14,132.32 - 214.14,"1,228,671","1,768,586",,,,,,,
MMM,104.57,104.90,0.00 x 1100,0.00 x 3000,102.07 - 104.90,100.16 - 154.66,"3,448,087","3,656,310",,,,,,,
EL,246.79,247.28,0.00 x 900,0.00 x 800,243.59 - 248.76,186.47 - 285.79,"1,595,884","1,423,206",,,,,,,
CCI,132.22,132.50,0.00 x 800,0.00 x 800,131.75 - 133.81,121.71 - 199.97,"1,463,121","2,018,695",,,,,,,
HCA,264.16,264.95,0.00 x 900,0.00 x 800,263.87 - 267.26,164.47 - 279.02,"1,092,971","1,265,945",,,,,,,
KLAC,398.99,401.06,392.21 x 800,393.98 x 800,390.26 - 401.45,250.20 - 429.46,"851,565","1,175,550",,,,,,,
ORLY,867.95,866.46,856.00 x 800,881.00 x 1000,855.41 - 867.28,562.90 - 873.94,"364,716","463,903",,,,,,,
SHW,226.64,226.16,0.00 x 900,0.00 x 800,222.89 - 228.27,195.24 - 285.00,"1,627,321","1,639,765",,,,,,,
VLO,138.53,136.55,0.00 x 800,0.00 x 800,126.77 - 136.80,96.71 - 150.39,"8,829,691","4,236,860",,,,,,,
FDX,228.84,228.55,0.00 x 1800,0.00 x 1000,223.43 - 229.44,141.92 - 248.76,"1,735,815","2,050,495",,,,,,,
MRNA,159.48,159.21,156.06 x 1000,157.48 x 4000,156.03 - 159.68,115.03 - 217.25,"2,307,034","3,607,083",,,,,,,
GD,232.36,231.90,0.00 x 800,0.00 x 1000,228.42 - 232.52,207.42 - 256.86,"1,279,637","1,226,300",,,,,,,
GIS,85.92,86.14,0.00 x 1400,86.65 x 1000,85.46 - 86.50,64.94 - 88.34,"4,540,139","3,580,335",,,,,,,
EW,82.17,82.49,0.00 x 1200,0.00 x 900,82.18 - 83.59,67.13 - 131.10,"2,347,420","3,573,491",,,,,,,
PXD,213.37,214.42,0.00 x 1000,0.00 x 1100,209.36 - 214.73,177.27 - 288.46,"2,158,912","2,627,995",,,,,,,
GM,36.27,36.51,0.00 x 3000,0.00 x 1300,35.29 - 36.54,30.33 - 43.63,"11,193,143","15,625,105",,,,,,,
PNC,125.00,125.88,0.00 x 900,0.00 x 800,121.28 - 126.25,119.27 - 188.59,"3,442,096","3,457,471",,,,,,,
EMR,87.24,87.15,0.00 x 800,0.00 x 900,84.75 - 87.34,72.41 - 99.65,"1,724,305","3,652,498",,,,,,,
F,12.68,12.77,0.00 x 27000,0.00 x 46000,12.51 - 12.85,10.61 - 16.68,"53,564,884","69,924,916",,,,,,,
MCK,363.77,362.00,0.00 x 800,0.00 x 1000,360.16 - 364.07,298.69 - 401.78,"876,266","990,001",,,,,,,
USB,35.64,36.19,0.00 x 1400,0.00 x 1000,34.51 - 36.33,32.72 - 53.88,"12,096,493","12,975,638",,,,,,,
PSA,307.70,307.00,0.00 x 900,0.00 x 900,306.41 - 314.35,270.13 - 421.76,"1,887,030","1,095,996",,,,,,,
APH,81.22,81.01,78.20 x 1000,0.00 x 1000,79.41 - 81.36,61.67 - 82.86,"2,762,268","2,464,381",,,,,,,
PSX,102.91,102.36,0.00 x 1300,0.00 x 800,97.51 - 102.92,74.02 - 113.53,"3,904,060","3,703,553",,,,,,,
MCO,304.30,305.97,0.00 x 1200,0.00 x 900,302.39 - 310.29,230.16 - 346.22,"732,065","889,353",,,,,,,
MSI,285.43,286.21,0.00 x 800,0.00 x 1100,282.26 - 286.21,195.18 - 286.24,"614,166","684,263",,,,,,,
NSC,208.78,210.09,0.00 x 800,0.00 x 900,204.00 - 210.38,196.33 - 276.65,"2,550,616","1,657,471",,,,,,,
CMG,"1,717.73","1,729.00",0.00 x 900,0.00 x 800,"1,722.74 - 1,742.97","1,196.28 - 1,754.56","291,933","284,125",,,,,,,
DG,211.87,211.87,0.00 x 900,0.00 x 1000,211.87 - 214.47,183.25 - 262.21,"1,722,319","2,063,431",,,,,,,
OXY,65.18,65.83,0.00 x 1000,0.00 x 800,63.91 - 65.88,51.53 - 77.13,"16,133,891","14,029,415",,,,,,,
AZO,"2,511.54","2,502.42",0.00 x 800,"2,629.59 x 1000","2,495.00 - 2,513.87","1,703.32 - 2,610.05","118,934","156,138",,,,,,,
NXPI,181.98,182.50,175.65 x 1200,176.94 x 800,175.71 - 182.50,132.08 - 198.28,"1,576,670","2,074,748",,,,,,,
SRE,149.58,149.93,0.00 x 900,0.00 x 1300,148.87 - 150.76,136.54 - 176.47,"1,011,285","1,378,371",,,,,,,
ROP,440.79,441.95,175.22 x 800,530.00 x 900,436.83 - 444.58,356.22 - 488.23,"570,745","579,320",,,,,,,
AEP,90.90,90.68,90.86 x 1000,91.59 x 1200,90.40 - 91.33,80.30 - 105.60,"3,093,823","2,981,838",,,,,,,
D,55.57,55.76,0.00 x 800,0.00 x 1400,55.36 - 56.42,52.03 - 88.78,"2,979,377","4,878,048",,,,,,,
KMB,135.01,135.55,0.00 x 900,0.00 x 1200,134.12 - 136.59,108.74 - 144.53,"1,579,008","1,739,788",,,,,,,
MCHP,82.71,83.05,81.38 x 900,81.95 x 1000,80.81 - 83.06,54.33 - 87.76,"4,198,151","4,870,786",,,,,,,
ADSK,207.58,209.00,202.72 x 900,202.79 x 800,202.13 - 210.89,163.20 - 235.01,"1,259,772","1,437,760",,,,,,,
MSCI,557.37,560.22,0.00 x 1000,0.00 x 1000,549.48 - 563.06,376.41 - 572.50,"456,780","434,745",,,,,,,
DXCM,115.24,115.44,115.40 x 900,115.22 x 800,114.40 - 116.17,66.89 - 130.18,"1,467,276","2,493,046",,,,,,,
MAR,164.46,165.15,164.01 x 1200,166.00 x 1200,163.51 - 165.39,131.01 - 195.90,"1,200,746","1,861,723",,,,,,,
ADM,80.42,80.37,0.00 x 800,0.00 x 1000,78.97 - 80.77,70.02 - 98.88,"1,961,774","3,331,871",,,,,,,
TFC,33.13,33.51,0.00 x 1100,0.00 x 800,31.40 - 33.61,28.70 - 55.28,"18,412,471","12,439,515",,,,,,,
CTVA,61.00,60.57,0.00 x 1300,0.00 x 1000,59.92 - 60.65,50.03 - 68.43,"3,299,769","3,603,711",,,,,,,
PH,339.17,339.52,0.00 x 900,0.00 x 900,318.67 - 339.52,230.44 - 364.57,"1,111,305","977,173",,,,,,,
FTNT,66.31,66.57,65.71 x 1200,65.81 x 1100,65.54 - 66.67,42.61 - 71.52,"3,401,900","5,175,126",,,,,,,
TT,183.70,183.21,0.00 x 800,0.00 x 800,172.31 - 183.52,120.64 - 196.22,"1,992,284","1,449,118",,,,,,,
TEL,130.89,130.37,0.00 x 800,0.00 x 800,125.60 - 130.99,104.76 - 138.24,"1,284,774","1,839,486",,,,,,,
EXC,41.81,41.76,41.53 x 1400,42.20 x 1000,41.62 - 42.07,35.19 - 50.71,"4,131,814","7,372,571",,,,,,,
ANET,167.74,167.75,0.00 x 2200,0.00 x 900,165.60 - 168.66,89.11 - 171.44,"1,522,745","2,578,341",,,,,,,
JCI,60.40,60.35,0.00 x 800,0.00 x 800,57.04 - 60.51,45.52 - 69.60,"4,711,794","3,705,415",,,,,,,
ECL,166.02,166.20,0.00 x 800,0.00 x 800,164.00 - 166.81,131.04 - 185.50,"1,550,837","1,184,663",,,,,,,
AJG,193.26,194.10,193.76 x 900,193.35 x 800,191.91 - 195.01,148.24 - 202.37,"751,423","916,613",,,,,,,
A,137.86,138.25,0.00 x 800,0.00 x 1000,137.53 - 139.11,112.52 - 160.26,"1,661,880","1,410,730",,,,,,,
MNST,53.58,53.54,53.14 x 1000,53.81 x 900,52.85 - 53.75,39.58 - 54.52,"3,999,847","4,130,618",,,,,,,
IDXX,489.27,489.84,472.74 x 800,495.70 x 900,481.83 - 495.85,317.06 - 554.97,"482,704","495,080",,,,,,,
BIIB,277.34,277.11,273.46 x 800,278.00 x 800,273.40 - 277.58,187.16 - 311.88,"579,240","983,378",,,,,,,
HES,143.51,143.89,0.00 x 800,0.00 x 1100,138.82 - 143.89,90.34 - 160.52,"1,620,470","1,871,345",,,,,,,
TRV,172.29,172.59,0.00 x 1000,0.00 x 800,167.28 - 173.40,149.65 - 194.51,"1,276,483","1,564,661",,,,,,,
CTAS,460.86,460.30,445.65 x 800,725.24 x 1100,452.58 - 461.99,343.86 - 470.23,"317,503","353,428",,,,,,,
SYY,78.16,78.33,0.00 x 1800,0.00 x 1100,77.49 - 79.02,70.61 - 91.53,"1,688,170","2,375,216",,,,,,,
O,62.87,62.83,0.00 x 800,0.00 x 1200,62.38 - 62.99,55.50 - 75.40,"2,709,165","3,589,216",,,,,,,
NEM,49.47,49.28,0.00 x 1200,0.00 x 1100,49.14 - 51.54,37.45 - 86.37,"14,535,351","7,795,821",,,,,,,
NUE,154.45,153.36,0.00 x 800,0.00 x 1400,141.91 - 153.97,100.13 - 187.90,"2,814,482","1,852,418",,,,,,,
DOW,55.33,55.09,0.00 x 1100,0.00 x 1300,53.99 - 55.28,42.91 - 71.86,"4,841,590","5,281,341",,,,,,,
TDG,745.76,744.34,0.00 x 800,0.00 x 800,732.92 - 744.46,499.63 - 772.01,"153,865","344,898",,,,,,,
CARR,45.69,45.60,0.00 x 1100,0.00 x 3100,42.65 - 45.74,33.10 - 49.17,"6,907,317","4,483,388",,,,,,,
MET,57.97,58.70,0.00 x 1200,0.00 x 800,56.73 - 58.77,52.83 - 77.36,"5,221,419","5,165,583",,,,,,,
PCAR,73.04,73.02,0.00 x 1000,0.00 x 800,70.56 - 73.16,51.33 - 76.72,"2,353,526","3,294,440",,,,,,,
LHX,198.95,198.55,0.00 x 800,0.00 x 800,195.91 - 199.25,189.73 - 264.71,"974,743","1,323,226",,,,,,,
HSY,257.16,256.84,0.00 x 1200,258.26 x 1100,256.60 - 258.52,201.42 - 258.52,"963,778","1,068,093",,,,,,,
ROST,108.63,109.10,108.83 x 800,108.85 x 1200,108.38 - 110.15,69.24 - 122.45,"2,279,627","2,401,256",,,,,,,
CHTR,356.21,352.04,0.00 x 800,0.00 x 1000,340.48 - 354.03,297.66 - 572.08,"1,281,395","1,138,048",,,,,,,
YUM,133.21,132.76,0.00 x 800,0.00 x 900,131.27 - 132.85,103.97 - 133.77,"1,173,970","1,545,110",,,,,,,
AIG,50.42,51.03,0.00 x 900,0.00 x 1000,48.91 - 51.09,45.66 - 65.73,"3,780,916","5,512,133",,,,,,,
