Symbol,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,YTD Return,Expense Ratio (net),Category,Last Cap Gain,Morningstar Rating,Morningstar Risk Rating,Sustainability Rating
AAPL,166.17,166.60,165.78 x 800,165.84 x 1100,165.11 - 166.83,124.17 - 176.15,"46,278,295","67,427,523",,,,,,,
MSFT,287.23,287.23,287.30 x 1200,287.87 x 800,285.67 - 290.45,213.43 - 307.00,"24,682,420","32,302,443",,,,,,,
AMZN,102.41,102.75,104.17 x 900,104.24 x 1000,102.11 - 104.20,81.43 - 162.20,"48,662,496","67,740,623",,,,,,,
NVDA,279.65,279.66,273.91 x 1300,274.27 x 1100,273.08 - 280.00,108.13 - 280.00,"36,859,153","50,476,301",,,,,,,
GOOGL,104.36,104.33,104.75 x 1100,104.96 x 1300,104.04 - 105.58,83.34 - 139.36,"24,420,079","40,335,913",,,,,,,
BRK.B,,,N/A x N/A,N/A x N/A,N/A - N/A,undefined - undefined,,,,,,,,,
GOOG,104.91,104.84,105.27 x 1100,105.34 x 800,104.60 - 106.09,83.45 - 139.85,"20,377,231","32,597,363",,,,,,,
TSLA,194.77,197.32,192.72 x 1300,192.75 x 1100,190.32 - 198.74,101.81 - 364.07,"126,463,845","173,889,463",,,,,,,
XOM,116.13,116.26,115.08 x 900,115.26 x 900,114.17 - 116.70,79.29 - 119.63,"15,346,355","17,208,963",,,,,,,
META,213.07,213.39,214.85 x 1100,215.19 x 900,212.54 - 216.24,88.09 - 228.99,"21,026,367","32,258,911",,,,,,,
UNH,494.19,493.03,493.01 x 800,492.89 x 800,491.84 - 496.10,449.70 - 558.10,"2,541,177","3,569,033",,,,,,,
JNJ,156.85,156.97,163.00 x 1000,163.45 x 900,156.59 - 158.97,150.11 - 186.69,"7,683,235","8,257,825",,,,,,,
JPM,130.16,130.50,128.60 x 900,128.74 x 1100,127.41 - 130.59,101.28 - 144.34,"11,380,336","13,643,153",,,,,,,
V,229.00,229.00,227.65 x 1000,227.99 x 800,226.83 - 230.05,174.60 - 234.30,"5,252,584","6,336,820",,,,,,,
PG,149.51,150.08,150.05 x 800,150.46 x 800,150.08 - 151.71,122.18 - 164.90,"6,324,330","6,891,871",,,,,,,
MA,366.47,366.80,364.28 x 800,364.24 x 900,363.38 - 369.12,276.87 - 390.00,"2,192,418","2,897,540",,,,,,,
HD,297.73,297.50,294.61 x 1100,295.49 x 900,294.39 - 299.80,264.51 - 347.25,"2,952,519","3,943,436",,,,,,,
CVX,169.95,171.14,169.07 x 800,169.20 x 1200,167.72 - 171.14,132.54 - 189.68,"7,408,581","9,071,911",,,,,,,
ABBV,160.42,160.51,159.57 x 900,159.65 x 900,159.53 - 161.73,134.09 - 175.91,"4,124,914","6,412,936",,,,,,,
LLY,350.74,352.07,354.65 x 1000,355.02 x 800,351.27 - 359.00,276.83 - 375.25,"3,584,522","3,244,071",,,,,,,
MRK,108.87,108.70,108.18 x 800,108.80 x 1200,108.15 - 109.34,83.05 - 115.49,"5,726,970","8,789,153",,,,,,,
AVGO,642.47,643.15,634.60 x 2200,635.35 x 900,632.00 - 644.23,415.07 - 648.50,"1,342,999","2,310,888",,,,,,,
PEP,182.50,182.18,181.85 x 1300,182.20 x 900,181.10 - 183.36,154.86 - 186.84,"3,117,987","4,772,130",,,,,,,
KO,62.40,62.39,62.21 x 2200,62.30 x 1300,62.08 - 62.74,54.02 - 67.20,"11,136,119","13,983,095",,,,,,,
PFE,41.35,41.44,40.93 x 1800,41.00 x 800,40.76 - 41.53,39.23 - 56.32,"18,694,508","23,235,065",,,,,,,
TMO,570.07,571.39,560.10 x 800,585.00 x 800,568.94 - 580.24,475.77 - 618.36,"1,071,750","1,390,616",,,,,,,
COST,497.03,496.50,495.24 x 800,497.40 x 1000,495.50 - 502.52,406.51 - 612.27,"1,913,281","1,950,291",,,,,,,
CSCO,51.92,52.03,51.80 x 3100,51.80 x 2900,51.43 - 52.12,38.60 - 54.91,"13,595,674","18,431,363",,,,,,,
WMT,148.69,148.53,145.75 x 1200,146.45 x 800,147.02 - 148.79,117.27 - 160.77,"5,697,681","6,628,541",,,,,,,
MCD,282.14,281.41,282.04 x 1000,282.69 x 900,280.39 - 283.42,228.34 - 283.42,"2,121,663","2,752,771",,,,,,,
BAC,28.59,28.55,27.97 x 1400,27.98 x 2900,27.66 - 28.65,26.32 - 40.40,"55,863,010","57,119,418",,,,,,,
CRM,196.49,198.15,196.80 x 800,197.40 x 2200,196.62 - 198.70,126.34 - 205.47,"4,655,051","9,051,501",,,,,,,
DIS,99.76,100.30,99.44 x 1000,99.77 x 800,98.76 - 100.42,84.07 - 133.93,"6,779,671","10,735,640",,,,,,,
ACN,285.84,284.44,0.00 x 1000,0.00 x 800,284.22 - 287.43,242.80 - 344.81,"2,198,732","2,424,220",,,,,,,
ABT,101.59,101.90,0.00 x 1000,0.00 x 800,101.83 - 103.34,93.25 - 124.36,"7,254,519","5,210,745",,,,,,,
LIN,358.10,357.26,0.00 x 900,0.00 x 800,356.51 - 361.43,262.47 - 362.74,"2,187,678","2,634,030",,,,,,,
ADBE,380.08,382.24,385.10 x 1800,385.99 x 800,381.05 - 385.70,274.73 - 455.92,"2,569,950","3,089,585",,,,,,,
TXN,184.16,184.26,180.40 x 900,180.50 x 800,179.79 - 184.67,144.46 - 186.30,"4,537,007","5,306,701",,,,,,,
VZ,39.22,39.29,0.00 x 4000,0.00 x 3200,39.21 - 39.65,34.55 - 55.51,"18,574,420","19,945,535",,,,,,,
DHR,250.09,250.49,0.00 x 900,0.00 x 900,248.67 - 252.98,233.71 - 303.82,"2,196,807","2,588,938",,,,,,,
CMCSA,37.72,37.95,37.10 x 3200,38.00 x 1800,37.46 - 38.03,28.39 - 48.42,"19,600,078","19,368,591",,,,,,,
AMD,96.56,97.04,95.90 x 1300,95.84 x 800,95.21 - 97.27,54.57 - 109.57,"43,195,876","63,222,466",,,,,,,
NFLX,348.28,348.49,346.75 x 800,347.20 x 800,343.95 - 349.80,162.71 - 379.43,"3,298,072","7,788,340",,,,,,,
NEE,76.67,76.85,0.00 x 1200,0.00 x 1000,76.43 - 77.68,67.22 - 91.35,"6,083,071","9,393,363",,,,,,,
PM,97.90,97.55,0.00 x 800,0.00 x 900,96.88 - 97.91,82.85 - 109.81,"2,869,187","4,710,785",,,,,,,
NKE,121.67,121.38,0.00 x 800,0.00 x 1100,121.36 - 123.94,82.22 - 139.14,"5,890,705","6,254,366",,,,,,,
BMY,69.69,69.78,0.00 x 1000,0.00 x 800,68.62 - 69.78,65.28 - 81.44,"8,345,775","8,148,113",,,,,,,
RTX,100.58,100.58,0.00 x 1000,0.00 x 900,99.09 - 101.46,80.27 - 106.02,"3,067,048","4,799,593",,,,,,,
ORCL,93.92,93.85,0.00 x 1000,0.00 x 800,92.93 - 94.02,60.78 - 94.02,"6,504,513","7,200,776",,,,,,,
WFC,37.72,37.70,0.00 x 3000,0.00 x 2900,36.38 - 37.80,35.25 - 50.19,"21,636,456","23,625,341",,,,,,,
UPS,193.72,194.67,0.00 x 800,0.00 x 800,189.93 - 194.88,154.87 - 209.39,"2,438,918","3,152,228",,,,,,,
QCOM,124.74,124.93,122.72 x 800,122.95 x 1000,121.81 - 125.21,101.93 - 156.66,"6,962,720","7,733,741",,,,,,,
T,19.39,19.52,0.00 x 36200,0.00 x 21500,19.39 - 19.65,14.46 - 21.53,"33,453,956","31,914,135",,,,,,,
