#,Company,Symbol,Weight,Price,Chg,% Chg,date,Volume,EPS (Trailing),EPS (Forward),P/E (Trailing),P/E (Forward),Dividend Yield,Market Cap
1,Apple Inc.,AAPL,7.167996,165.81,-0.36,(-0.22%),2023-04-04,"46,308,297",5.89,6.59,28.23,25.20,0.55%,2588.64B
2,Microsoft Corporation,MSFT,6.201295,287.88,0.65,(0.22%),2023-04-04,"25,828,103",8.99,10.75,31.93,26.71,0.95%,2106.57B
3,Amazon.com Inc.,AMZN,2.648053,104.15,1.74,(1.69%),2023-04-04,"48,662,498",-0.27,2.52,-,40.66,-,1036.32B
4,NVIDIA Corporation,NVDA,1.995293,274.1,-5.55,(-1.98%),2023-04-04,"36,859,747",1.74,6.01,160.63,46.51,0.06%,680.94B
5,Alphabet Inc. Class A,GOOGL,1.802793,104.88,0.52,(0.50%),2023-04-04,"24,420,082",4.49,6.08,23.26,17.17,-,1302.53B
6,Berkshire Hathaway Inc. Class B,BRK.B,1.621586,309.29,-1.02,(-0.33%),2023-04-04,"2,740,756",-,17.79,-,17.44,-,679.03B
7,Alphabet Inc. Class C,GOOG,1.579873,105.33,0.42,(0.40%),2023-04-04,"20,377,233",4.68,6.06,22.42,17.31,-,1341.72B
8,Tesla Inc.,TSLA,1.519318,192.73,-2.04,(-1.05%),2023-04-04,"126,464,107",3.62,5.47,53.73,35.61,-,580.09B
9,Exxon Mobil Corporation,XOM,1.387039,115.2,-0.93,(-0.80%),2023-04-04,"16,365,491",13.27,9.88,8.75,11.76,3.13%,472.03B
10,Meta Platforms Inc. Class A,META,1.375494,215.09,2.02,(0.95%),2023-04-04,"21,026,369",8.36,12.13,25.49,17.57,-,541.73B
11,UnitedHealth Group Incorporated,UNH,1.33924,493.25,-0.94,(-0.19%),2023-04-04,"2,624,757",21.18,28.28,23.33,17.47,1.34%,458.53B
