#,Company,Symbol,Weight,Price,Chg,% Chg,date,Volume,EPS (Trailing),EPS (Forward),P/E (Trailing),P/E (Forward),Dividend Yield,Market Cap
12,Johnson & Johnson,JNJ,1.1894,163.27,6.42,(4.10%),2023-04-04,"8,314,597",6.74,10.89,23.28,14.41,2.88%,403.43B
13,JPMorgan Chase & Co.,JPM,1.107329,128.67,-1.49,(-1.15%),2023-04-04,"11,579,878",12.09,13.46,10.77,9.67,3.07%,378.52B
14,Visa Inc. Class A,V,1.079281,227.73,-1.27,(-0.55%),2023-04-04,"5,254,726",7.16,9.67,32.00,23.68,0.79%,464.85B
15,Procter & Gamble Company,PG,1.023014,150.32,0.81,(0.54%),2023-04-04,"6,714,560",5.69,6.33,26.26,23.61,2.44%,349.77B
16,Mastercard Incorporated Class A,MA,0.896795,364.35,-2.12,(-0.58%),2023-04-04,"2,198,731",10.22,14.50,35.84,25.28,0.62%,345.35B
17,Home Depot Inc.,HD,0.8801,295.01,-2.72,(-0.91%),2023-04-04,"2,965,905",16.69,16.81,17.84,17.71,2.81%,292.19B
18,Chevron Corporation,CVX,0.876884,169.21,-0.74,(-0.44%),2023-04-04,"7,521,450",18.26,14.91,9.31,11.40,3.55%,322.51B
19,AbbVie Inc.,ABBV,0.82284,159.96,-0.47,(-0.29%),2023-04-04,"4,224,640",6.63,11.11,24.20,14.44,3.69%,280.43B
20,Eli Lilly and Company,LLY,0.80228,355.83,5.09,(1.45%),2023-04-04,"3,585,869",6.91,11.72,50.76,29.92,1.29%,331.37B
21,Merck & Co. Inc.,MRK,0.800591,108.92,0.05,(0.05%),2023-04-04,"6,108,278",5.71,8.51,19.06,12.79,2.68%,275.16B
22,Broadcom Inc.,AVGO,0.778701,634.95,-7.52,(-1.17%),2023-04-04,"1,343,001",29.74,44.20,21.60,14.53,2.86%,264.61B
23,PepsiCo Inc.,PEP,0.72901,182.46,-0.05,(-0.02%),2023-04-04,"3,306,485",6.48,7.87,28.18,23.19,2.52%,249.33B
24,Coca-Cola Company,KO,0.704403,62.24,-0.16,(-0.26%),2023-04-04,"11,433,406",2.19,2.80,28.45,22.29,2.95%,269.18B
25,Pfizer Inc.,PFE,0.673213,41.0,-0.36,(-0.86%),2023-04-04,"19,514,533",5.47,3.77,7.55,10.98,3.97%,230.99B
26,Thermo Fisher Scientific Inc.,TMO,0.648469,567.5,-2.57,(-0.45%),2023-04-04,"1,085,579",17.64,26.75,32.32,21.31,0.25%,214.61B
27,Costco Wholesale Corporation,COST,0.639671,496.76,-0.28,(-0.06%),2023-04-04,"1,913,282",13.61,15.69,36.52,31.69,0.72%,218.03B
28,Cisco Systems Inc.,CSCO,0.623281,51.9,-0.41,(-0.79%),2023-04-04,"13,599,896",2.73,4.03,19.16,12.98,2.98%,210.79B
29,Walmart Inc.,WMT,0.60477,146.15,-2.54,(-1.71%),2023-04-04,"6,037,887",4.27,6.75,34.80,22.04,1.53%,395.98B
30,McDonald's Corporation,MCD,0.599354,282.49,0.35,(0.12%),2023-04-04,"2,282,434",8.34,11.70,33.82,24.12,2.15%,205.04B
31,Bank of America Corp,BAC,0.578758,27.97,-0.62,(-2.17%),2023-04-04,"56,233,646",3.19,3.64,8.98,7.86,3.08%,226.30B
32,Salesforce Inc.,CRM,0.569898,197.1,0.61,(0.31%),2023-04-04,"4,659,100",0.21,8.88,953.83,22.12,-,193.36B
33,Walt Disney Company,DIS,0.528574,99.61,-0.16,(-0.16%),2023-04-04,"6,794,170",1.82,5.52,54.87,18.09,-,178.55B
34,Accenture Plc Class A,ACN,0.522087,287.71,1.87,(0.65%),2023-04-04,"2,331,823",10.86,12.57,26.31,22.75,1.57%,187.31B
35,Abbott Laboratories,ABT,0.513747,104.73,3.14,(3.09%),2023-04-04,"7,979,046",3.92,4.83,25.88,21.05,2.01%,172.76B
36,Linde plc,LIN,0.51153,354.66,-3.45,(-0.96%),2023-04-04,"2,314,656",8.24,14.76,43.47,24.27,1.42%,174.31B
37,Adobe Incorporated,ADBE,0.50467,385.57,5.49,(1.44%),2023-04-04,"2,569,978",10.14,17.61,37.48,21.59,-,172.43B
38,Texas Instruments Incorporated,TXN,0.483928,180.5,-3.66,(-1.99%),2023-04-04,"4,724,934",9.40,8.44,19.58,21.82,2.69%,165.51B
39,Verizon Communications Inc.,VZ,0.477752,39.82,0.6,(1.53%),2023-04-04,"18,577,088",5.06,4.72,7.76,8.31,6.65%,163.75B
40,Danaher Corporation,DHR,0.475453,249.16,-0.94,(-0.37%),2023-04-04,"2,368,230",9.66,11.07,25.88,22.59,0.43%,180.59B
41,Comcast Corporation Class A,CMCSA,0.463754,37.55,-0.46,(-1.21%),2023-04-04,"20,121,032",1.19,4.10,31.91,9.27,3.05%,157.04B
42,Advanced Micro Devices Inc.,AMD,0.451559,95.93,-0.64,(-0.66%),2023-04-04,"43,195,878",0.89,4.34,109.11,22.24,-,155.39B
43,Netflix Inc.,NFLX,0.449868,346.97,-1.31,(-0.38%),2023-04-04,"3,298,149",9.14,14.38,38.11,24.21,-,151.94B
44,NextEra Energy Inc.,NEE,0.441892,76.95,0.28,(0.36%),2023-04-04,"6,166,202",2.09,3.38,36.68,22.70,2.44%,151.41B
45,Philip Morris International Inc.,PM,0.440187,97.49,-0.41,(-0.42%),2023-04-04,"3,064,630",5.81,6.97,16.84,14.05,5.19%,150.97B
46,NIKE Inc. Class B,NKE,0.439583,123.7,2.03,(1.66%),2023-04-04,"5,895,260",3.47,4.05,35.10,30.03,1.12%,184.75B
47,Bristol-Myers Squibb Company,BMY,0.429758,69.02,-0.67,(-0.96%),2023-04-04,"8,626,710",2.95,8.21,23.61,8.49,3.27%,144.23B
48,Raytheon Technologies Corporation,RTX,0.427358,99.5,-1.08,(-1.07%),2023-04-04,"3,239,814",3.51,5.82,28.64,17.28,2.19%,146.33B
49,Oracle Corporation,ORCL,0.41865,94.18,0.26,(0.28%),2023-04-04,"6,651,475",3.04,5.58,30.86,16.83,1.70%,246.99B
50,Wells Fargo & Company,WFC,0.416879,36.83,-0.89,(-2.35%),2023-04-04,"21,942,678",3.14,5.24,12.00,7.19,3.18%,142.47B
51,United Parcel Service Inc. Class B,UPS,0.41006,190.6,-3.12,(-1.61%),2023-04-04,"2,498,853",13.21,12.35,14.66,15.69,3.35%,163.48B
52,QUALCOMM Incorporated,QCOM,0.404203,122.89,-1.85,(-1.49%),2023-04-04,"6,962,722",10.46,11.40,11.93,10.94,2.41%,138.89B
53,AT&T Inc.,T,0.400869,19.64,0.25,(1.29%),2023-04-04,"34,207,621",-1.26,2.51,-,7.74,5.72%,136.99B
54,Intel Corporation,INTC,0.394645,33.16,0.27,(0.81%),2023-04-04,"55,714,060",1.95,1.88,16.86,17.53,1.52%,133.65B
55,ConocoPhillips,COP,0.384854,106.54,-1.88,(-1.73%),2023-04-04,"5,425,514",14.56,10.89,7.45,9.95,4.93%,132.19B
56,Amgen Inc.,AMGN,0.378573,247.46,3.02,(1.23%),2023-04-04,"2,942,906",12.12,18.93,20.17,12.91,3.49%,130.39B
57,Honeywell International Inc.,HON,0.374551,191.78,-1.5,(-0.78%),2023-04-04,"2,499,133",7.27,10.04,26.58,19.24,2.13%,127.79B
58,Intuit Inc.,INTU,0.359669,442.06,1.39,(0.31%),2023-04-04,"1,119,989",6.81,15.53,64.70,28.37,0.71%,122.03B
59,Lowe's Companies Inc.,LOW,0.357775,202.95,-1.04,(-0.51%),2023-04-04,"2,500,149",10.01,14.73,20.39,13.85,2.06%,117.20B
60,Union Pacific Corporation,UNP,0.354121,196.83,-2.72,(-1.36%),2023-04-04,"3,556,702",11.22,12.62,17.79,15.82,2.61%,120.33B
61,Boeing Company,BA,0.351304,213.86,-1.53,(-0.71%),2023-04-04,"6,192,257",-8.30,5.53,-,38.98,-,128.21B
62,Starbucks Corporation,SBUX,0.34951,104.08,-0.78,(-0.74%),2023-04-04,"3,854,536",2.88,4.07,36.38,25.75,2.02%,117.25B
63,Caterpillar Inc.,CAT,0.346961,217.78,-12.1,(-5.26%),2023-04-04,"4,282,099",12.64,17.21,18.18,13.36,2.09%,116.46B
64,International Business Machines Corporation,IBM,0.346305,131.56,-0.5,(-0.38%),2023-04-04,"3,382,785",1.90,10.13,69.54,13.03,5.00%,118.08B
65,Prologis Inc.,PLD,0.330842,123.68,-0.1,(-0.08%),2023-04-04,"2,822,060",4.36,2.85,28.42,43.38,2.81%,111.69B
66,S&P Global Inc.,SPGI,0.330626,346.93,0.66,(0.19%),2023-04-04,"1,098,896",10.50,14.37,32.99,24.10,1.04%,112.41B
67,Morgan Stanley,MS,0.330282,84.99,-2.17,(-2.50%),2023-04-04,"6,222,832",6.14,8.13,14.20,10.72,3.56%,143.78B
68,Elevance Health Inc.,ELV,0.330068,476.87,0.38,(0.08%),2023-04-04,"846,796",24.79,36.99,19.22,12.88,1.24%,112.93B
69,Deere & Company,DE,0.325484,397.76,-17.2,(-4.15%),2023-04-04,"1,801,590",26.96,32.11,15.39,12.92,1.20%,120.24B
70,Goldman Sachs Group Inc.,GS,0.320697,323.14,-3.38,(-1.04%),2023-04-04,"1,536,820",30.06,40.08,10.86,8.15,3.06%,107.00B
71,Lockheed Martin Corporation,LMT,0.320684,488.78,2.16,(0.44%),2023-04-04,"1,081,322",21.72,27.97,22.40,17.40,2.47%,123.97B
72,Medtronic Plc,MDT,0.307371,79.4,-0.27,(-0.34%),2023-04-04,"4,508,922",3.04,5.28,26.19,15.08,3.41%,104.10B
73,General Electric Company,GE,0.305688,95.11,-1.81,(-1.87%),2023-04-04,"6,827,563",0.54,3.90,178.49,24.86,0.33%,103.96B
74,Gilead Sciences Inc.,GILD,0.301062,82.35,-0.89,(-1.07%),2023-04-04,"4,490,721",3.64,7.22,22.88,11.53,3.60%,102.05B
75,Booking Holdings Inc.,BKNG,0.299395,2664.01,-1.18,(-0.04%),2023-04-04,"260,688",77.88,154.83,34.22,17.21,-,98.72B
76,Applied Materials Inc.,AMAT,0.299104,120.61,-1.71,(-1.40%),2023-04-04,"4,772,210",7.46,6.84,16.39,17.89,1.05%,102.77B
77,BlackRock Inc.,BLK,0.289943,677.15,10.74,(1.61%),2023-04-04,"525,149",33.95,39.62,19.63,16.82,3.00%,98.91B
78,Analog Devices Inc.,ADI,0.288548,194.44,-1.84,(-0.94%),2023-04-04,"3,633,604",6.62,10.93,29.64,17.95,1.75%,97.77B
79,American Express Company,AXP,0.283455,162.71,-1.07,(-0.66%),2023-04-04,"2,063,730",9.83,12.55,16.66,13.05,1.47%,119.99B
80,CVS Health Corporation,CVS,0.283391,76.36,0.27,(0.35%),2023-04-04,"6,469,719",3.12,9.07,24.38,8.39,3.18%,98.22B
81,Stryker Corporation,SYK,0.281201,264.84,-22.7,(-7.90%),2023-04-04,"1,132,749",6.17,11.13,46.60,25.84,1.04%,107.20B
82,Mondelez International Inc. Class A,MDLZ,0.277721,70.55,0.33,(0.46%),2023-04-04,"4,397,722",1.96,3.44,35.83,20.42,2.19%,95.54B
83,ServiceNow Inc.,NOW,0.273489,480.63,16.14,(3.47%),2023-04-04,"2,247,230",1.60,11.35,290.85,40.92,-,88.76B
84,American Tower Corporation,AMT,0.271141,203.93,2.83,(1.41%),2023-04-04,"3,431,572",3.84,5.01,52.37,40.16,3.10%,92.19B
85,TJX Companies Inc,TJX,0.265105,81.75,2.89,(3.66%),2023-04-04,"3,102,815",2.97,3.90,26.53,20.23,1.69%,89.44B
86,Citigroup Inc.,C,0.261964,46.19,-0.52,(-1.10%),2023-04-04,"15,542,411",7.11,6.65,6.57,7.02,4.37%,89.33B
87,Automatic Data Processing Inc.,ADP,0.26056,215.26,-1.56,(-0.72%),2023-04-04,"2,384,939",7.53,9.02,28.80,24.05,2.31%,88.57B
88,Intuitive Surgical Inc.,ISRG,0.257657,255.13,1.6,(0.63%),2023-04-04,"1,354,781",3.65,6.21,69.42,40.83,-,87.35B
89,Regeneron Pharmaceuticals Inc.,REGN,0.257606,822.57,-3.62,(-0.44%),2023-04-04,"397,993",38.24,45.08,21.61,18.33,-,89.20B
90,T-Mobile US Inc.,TMUS,0.252122,146.33,-0.43,(-0.29%),2023-04-04,"6,956,955",2.33,9.68,63.12,15.16,-,178.62B
91,PayPal Holdings Inc.,PYPL,0.24706,75.31,0.02,(0.03%),2023-04-04,"8,949,082",2.10,5.63,35.94,13.38,-,83.44B
92,Progressive Corporation,PGR,0.245836,144.87,-0.23,(-0.16%),2023-04-04,"1,578,801",1.16,7.94,125.09,18.27,0.28%,85.37B
93,Marsh & McLennan Companies Inc.,MMC,0.242186,171.47,2.84,(1.68%),2023-04-04,"1,070,204",6.03,8.33,27.97,20.25,1.40%,82.56B
94,Chubb Limited,CB,0.236366,206.5,9.82,(4.99%),2023-04-04,"1,110,733",12.52,20.09,15.72,9.79,1.69%,81.31B
95,Vertex Pharmaceuticals Incorporated,VRTX,0.235874,315.0,-1.33,(-0.42%),2023-04-04,"952,183",12.82,15.49,24.67,20.42,-,80.58B
96,Altria Group Inc.,MO,0.233752,44.48,-0.5,(-1.10%),2023-04-04,"7,379,610",3.19,5.30,14.10,8.49,8.36%,80.10B
97,Charles Schwab Corp,SCHW,0.228146,50.02,-1.55,(-3.01%),2023-04-04,"29,144,527",3.50,4.89,14.71,10.54,1.94%,95.17B
98,Cigna Group,CI,0.226964,256.97,-5.04,(-1.92%),2023-04-04,"1,417,424",21.37,28.24,12.26,9.28,1.88%,77.38B
99,Zoetis Inc. Class A,ZTS,0.226263,169.42,1.76,(1.05%),2023-04-04,"1,737,932",4.50,6.08,37.30,27.58,0.89%,76.62B
100,Target Corporation,TGT,0.221311,165.67,-0.39,(-0.23%),2023-04-04,"2,350,519",5.98,10.57,27.75,15.71,2.60%,73.97B
101,Southern Company,SO,0.217419,69.9,0.93,(1.34%),2023-04-04,"3,094,416",3.27,4.03,21.09,17.13,3.94%,74.54B
102,Schlumberger N.V.,SLB,0.215553,50.72,-1.61,(-3.08%),2023-04-04,"9,378,144",2.39,3.73,21.87,14.05,1.91%,73.77B
103,Duke Energy Corporation,DUK,0.212047,95.45,0.36,(0.38%),2023-04-04,"5,043,435",4.89,5.98,19.44,15.90,4.23%,73.05B
104,Fiserv Inc.,FISV,0.207452,111.15,-1.68,(-1.49%),2023-04-04,"2,364,743",3.91,8.38,28.88,13.47,-,70.85B
105,EOG Resources Inc.,EOG,0.206486,120.02,-1.39,(-1.14%),2023-04-04,"3,631,011",13.21,13.13,9.19,9.25,2.72%,70.68B
106,Boston Scientific Corporation,BSX,0.206216,50.45,0.73,(1.46%),2023-04-04,"9,726,854",0.45,2.15,111.48,23.10,-,70.85B
107,Lam Research Corporation,LRCX,0.204102,511.93,-9.58,(-1.84%),2023-04-04,"1,269,790",37.20,27.14,14.02,19.22,1.32%,70.53B
108,Becton Dickinson and Company,BDX,0.203202,248.43,1.48,(0.60%),2023-04-04,"1,000,465",5.18,13.62,47.71,18.13,1.47%,69.31B
109,CME Group Inc. Class A,CME,0.198242,192.31,2.0,(1.05%),2023-04-04,"1,276,939",7.40,8.80,25.72,21.63,2.31%,67.54B
110,Illinois Tool Works Inc.,ITW,0.197798,258.5,14.12,(5.78%),2023-04-04,"1,240,033",9.77,10.34,25.01,23.65,2.14%,73.40B
111,Eaton Corp. Plc,ETN,0.196717,162.83,-7.71,(-4.52%),2023-04-04,"3,301,435",6.14,9.14,27.77,18.65,2.02%,67.07B
112,Northrop Grumman Corp.,NOC,0.196701,468.1,-1.09,(-0.23%),2023-04-04,"495,274",31.50,24.45,14.89,19.19,1.47%,71.70B
113,Equinix Inc.,EQIX,0.190243,712.31,2.36,(0.33%),2023-04-04,"421,137",7.67,10.46,92.50,67.87,1.92%,64.14B
114,Aon Plc Class A,AON,0.189936,275.0,-42.1,(-13.27%),2023-04-04,"908,783",12.12,16.28,26.16,19.47,0.71%,64.57B
115,Micron Technology Inc.,MU,0.188657,57.37,-2.24,(-3.77%),2023-04-04,"21,303,222",1.39,0.46,42.82,129.59,0.77%,68.01B
116,Air Products and Chemicals Inc.,APD,0.185642,289.5,0.46,(0.16%),2023-04-04,"1,256,682",10.13,12.49,28.52,23.14,2.42%,62.52B
117,Humana Inc.,HUM,0.184953,504.82,-5.43,(-1.06%),2023-04-04,"957,396",22.04,31.94,23.16,15.98,0.69%,64.20B
118,Colgate-Palmolive Company,CL,0.182556,74.92,-0.45,(-0.59%),2023-04-04,"3,002,601",2.12,3.41,35.48,22.10,2.55%,62.66B
119,CSX Corporation,CSX,0.181725,29.54,-0.32,(-1.06%),2023-04-04,"10,742,687",1.95,2.03,15.32,14.68,1.47%,60.66B
120,Marathon Petroleum Corporation,MPC,0.178607,126.11,-9.53,(-7.03%),2023-04-04,"5,256,801",28.44,13.53,4.77,10.03,2.21%,59.51B
121,Waste Management Inc.,WM,0.177235,163.31,-0.57,(-0.34%),2023-04-04,"2,514,813",5.39,6.72,30.39,24.40,1.71%,65.99B
122,Activision Blizzard Inc.,ATVI,0.17626,85.12,-0.21,(-0.25%),2023-04-04,"7,712,735",1.92,4.15,44.49,20.55,0.55%,66.37B
123,Synopsys Inc.,SNPS,0.171937,385.0,-3.94,(-1.01%),2023-04-04,"602,438",6.05,12.11,64.29,32.13,-,57.66B
124,Intercontinental Exchange Inc.,ICE,0.170873,105.96,0.54,(0.51%),2023-04-04,"3,159,686",2.57,5.97,41.00,17.65,1.59%,58.03B
125,Freeport-McMoRan Inc.,FCX,0.1708,40.35,-0.85,(-2.06%),2023-04-04,"12,782,951",2.38,2.36,17.31,17.48,0.73%,57.92B
126,Cadence Design Systems Inc.,CDNS,0.168189,212.27,0.88,(0.41%),2023-04-04,"1,228,672",3.09,5.59,68.48,37.81,-,56.91B
127,3M Company,MMM,0.167374,102.75,-1.82,(-1.75%),2023-04-04,"3,473,514",10.14,9.51,10.31,10.99,5.74%,56.39B
128,Estee Lauder Companies Inc. Class A,EL,0.16583,244.74,-2.05,(-0.83%),2023-04-04,"1,596,071",4.12,7.31,59.83,33.77,1.07%,88.25B
129,Crown Castle Inc.,CCI,0.165778,136.75,4.53,(3.43%),2023-04-04,"1,539,852",3.86,3.56,34.26,37.11,4.73%,56.75B
130,HCA Healthcare Inc,HCA,0.162179,238.65,-25.5,(-9.66%),2023-04-04,"1,103,256",19.24,19.36,13.73,13.64,0.91%,72.06B
131,KLA Corporation,KLAC,0.160257,395.04,-3.95,(-0.99%),2023-04-04,"851,566",24.32,19.17,16.40,20.82,1.30%,54.82B
132,O'Reilly Automotive Inc.,ORLY,0.157316,865.05,-2.9,(-0.33%),2023-04-04,"364,716",33.49,41.05,25.92,21.14,-,53.20B
133,Sherwin-Williams Company,SHW,0.155014,223.25,-3.39,(-1.50%),2023-04-04,"1,747,629",7.72,9.86,29.35,22.98,1.07%,56.47B
134,Valero Energy Corporation,VLO,0.15466,127.67,-10.9,(-7.84%),2023-04-04,"8,945,016",29.12,16.12,4.76,8.59,2.95%,50.01B
135,FedEx Corporation,FDX,0.154123,226.68,-2.16,(-0.95%),2023-04-04,"1,753,537",11.60,18.33,19.73,12.49,2.01%,56.49B
136,Moderna Inc.,MRNA,0.15255,156.51,-2.97,(-1.86%),2023-04-04,"2,308,680",19.96,-3.37,7.99,-,-,59.05B
137,General Dynamics Corporation,GD,0.151661,229.5,-2.87,(-1.23%),2023-04-04,"1,437,550",12.19,14.76,19.06,15.75,2.27%,63.35B
138,General Mills Inc.,GIS,0.147737,78.0,-7.92,(-9.22%),2023-04-04,"4,849,128",4.63,4.48,18.55,19.19,2.51%,50.17B
139,Edwards Lifesciences Corporation,EW,0.147192,82.19,0.02,(0.02%),2023-04-04,"2,777,991",2.44,2.85,33.69,28.84,-,49.10B
140,Pioneer Natural Resources Company,PXD,0.146952,211.2,-2.17,(-1.02%),2023-04-04,"2,259,290",31.01,23.39,6.88,9.12,12.77%,49.61B
141,General Motors Company,GM,0.146712,35.85,-0.43,(-1.17%),2023-04-04,"11,279,946",6.13,6.34,5.91,5.72,0.99%,49.63B
142,PNC Financial Services Group Inc.,PNC,0.145989,125.97,0.97,(0.78%),2023-04-04,"3,480,211",13.84,15.19,9.03,8.23,4.80%,49.93B
143,Emerson Electric Co.,EMR,0.144574,86.6,-0.64,(-0.73%),2023-04-04,"1,763,770",4.48,4.50,19.47,19.38,2.38%,48.96B
144,Ford Motor Company,F,0.144489,12.71,0.03,(0.24%),2023-04-04,"54,656,663",-0.49,1.64,-,7.72,4.73%,49.30B
145,McKesson Corporation,MCK,0.144483,353.44,-10.3,(-2.84%),2023-04-04,"894,461",21.85,26.45,16.65,13.75,0.59%,50.05B
146,U.S. Bancorp,USB,0.144016,35.06,-0.58,(-1.63%),2023-04-04,"12,238,769",3.69,5.35,9.65,6.66,5.39%,53.68B
147,Public Storage,PSA,0.141075,293.78,-13.9,(-4.53%),2023-04-04,"1,888,482",23.49,12.06,13.10,25.51,3.90%,52.75B
148,Amphenol Corporation Class A,APH,0.139963,88.0,6.78,(8.35%),2023-04-04,"2,955,616",3.06,3.30,26.51,24.58,1.03%,47.67B
149,Phillips 66,PSX,0.139092,100.57,-2.34,(-2.28%),2023-04-04,"4,202,315",22.93,13.27,4.49,7.75,4.08%,47.09B
150,Moody's Corporation,MCO,0.138526,304.3,-0.0,(-0.00%),2023-04-04,"743,350",7.69,11.14,39.58,27.31,1.01%,54.84B
151,Motorola Solutions Inc.,MSI,0.138422,285.96,0.53,(0.18%),2023-04-04,"650,137",7.93,12.48,35.99,22.86,1.23%,46.99B
152,Norfolk Southern Corporation,NSC,0.137933,204.69,-4.09,(-1.96%),2023-04-04,"2,551,957",13.88,14.87,15.04,14.04,2.59%,46.85B
153,Chipotle Mexican Grill Inc.,CMG,0.137609,1737.0,19.27,(1.12%),2023-04-04,"294,899",32.06,51.22,53.57,33.54,-,46.45B
154,Dollar General Corporation,DG,0.137387,214.03,2.16,(1.02%),2023-04-04,"1,830,671",10.68,12.55,19.83,16.88,1.11%,45.81B
155,Occidental Petroleum Corporation,OXY,0.137231,64.91,-0.27,(-0.41%),2023-04-04,"16,176,390",12.43,5.83,5.25,11.17,1.10%,58.44B
156,AutoZone Inc.,AZO,0.136684,2050.0,-462.0,(-18.38%),2023-04-04,"120,747",122.14,146.03,20.56,17.20,-,45.23B
157,NXP Semiconductors NV,NXPI,0.136539,176.31,-5.67,(-3.12%),2023-04-04,"1,644,421",10.56,13.84,17.24,13.15,2.23%,46.00B
158,Sempra Energy,SRE,0.136155,149.84,0.26,(0.17%),2023-04-04,"1,039,574",6.62,9.59,22.60,15.60,3.18%,46.56B
159,Roper Technologies Inc.,ROP,0.135373,437.32,-3.47,(-0.79%),2023-04-04,"590,907",9.23,17.31,47.77,25.47,0.62%,46.44B
160,American Electric Power Company Inc.,AEP,0.135247,91.06,0.16,(0.18%),2023-04-04,"3,146,916",4.50,5.64,20.26,16.17,3.64%,46.56B
161,Dominion Energy Inc,D,0.134304,55.75,0.18,(0.33%),2023-04-04,"2,980,996",1.06,3.82,52.38,14.54,4.80%,46.23B
162,Kimberly-Clark Corporation,KMB,0.132163,136.0,0.99,(0.73%),2023-04-04,"1,642,347",5.72,6.75,23.62,20.01,3.50%,45.15B
163,Microchip Technology Incorporated,MCHP,0.131428,81.55,-1.16,(-1.40%),2023-04-04,"4,198,151",3.70,6.23,22.35,13.27,1.73%,44.77B
164,Autodesk Inc.,ADSK,0.130008,203.51,-4.08,(-1.96%),2023-04-04,"1,300,693",3.78,8.36,53.85,24.32,-,42.29B
165,MSCI Inc. Class A,MSCI,0.129072,538.44,-18.9,(-3.40%),2023-04-04,"456,966",10.72,14.91,52.00,37.39,0.99%,43.75B
166,DexCom Inc.,DXCM,0.128889,116.12,0.88,(0.76%),2023-04-04,"1,467,277",0.80,1.46,143.87,79.09,-,43.85B
167,Marriott International Inc. Class A,MAR,0.128139,164.54,0.08,(0.05%),2023-04-04,"1,200,746",7.25,8.60,22.68,19.12,0.97%,49.77B
168,Archer-Daniels-Midland Company,ADM,0.127926,79.48,-0.95,(-1.18%),2023-04-04,"1,962,619",7.70,6.68,10.31,11.89,2.27%,43.27B
169,Truist Financial Corporation,TFC,0.127278,32.13,-1.0,(-3.03%),2023-04-04,"18,545,074",4.43,5.06,7.48,6.54,6.28%,43.68B
170,Corteva Inc,CTVA,0.126375,60.38,-0.62,(-1.02%),2023-04-04,"3,465,189",1.65,3.47,37.01,17.58,0.98%,43.21B
171,Parker-Hannifin Corporation,PH,0.126183,317.29,-21.9,(-6.45%),2023-04-04,"1,121,515",9.68,21.45,35.02,15.82,1.57%,43.56B
172,Fortinet Inc.,FTNT,0.124491,66.02,-0.29,(-0.44%),2023-04-04,"3,402,004",1.07,1.68,62.03,39.59,-,51.48B
173,Trane Technologies plc,TT,0.122498,170.51,-13.2,(-7.18%),2023-04-04,"2,017,457",7.58,9.11,24.24,20.17,1.63%,41.84B
174,TE Connectivity Ltd.,TEL,0.120811,126.36,-4.53,(-3.46%),2023-04-04,"1,342,271",7.00,7.63,18.70,17.14,1.80%,40.79B
175,Exelon Corporation,EXC,0.120506,41.86,0.05,(0.12%),2023-04-04,"4,131,814",2.08,2.51,20.10,16.68,3.44%,41.14B
176,Arista Networks Inc.,ANET,0.120408,166.9,-0.84,(-0.50%),2023-04-04,"1,523,001",4.28,6.48,39.23,25.89,-,49.75B
177,Johnson Controls International plc,JCI,0.120031,55.5,-4.9,(-8.11%),2023-04-04,"4,968,367",1.83,4.02,32.92,15.01,2.38%,40.97B
178,Ecolab Inc.,ECL,0.119321,164.99,-1.03,(-0.62%),2023-04-04,"1,622,058",3.81,5.81,43.56,28.57,1.28%,46.62B
179,Arthur J. Gallagher & Co.,AJG,0.118887,194.06,0.8,(0.41%),2023-04-04,"787,157",5.20,9.90,37.18,19.53,1.14%,41.02B
180,Agilent Technologies Inc.,A,0.118168,135.79,-2.07,(-1.50%),2023-04-04,"1,778,667",4.43,6.31,31.16,21.92,0.65%,39.73B
