Symbol,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,YTD Return,Expense Ratio (net),Category,Last Cap Gain,Morningstar Rating,Morningstar Risk Rating,Sustainability Rating
CRM,187.44,186.50,190.00 x 1100,190.09 x 1100,186.09 - 190.32,126.34 - 222.16,"5,974,990","9,217,100",,,,,,,
DIS,95.83,94.81,94.08 x 800,94.24 x 900,93.02 - 95.00,84.07 - 144.46,"9,435,231","11,528,777",,,,,,,
ACN,271.66,270.45,271.90 x 800,272.49 x 2200,264.82 - 272.08,242.80 - 345.30,"3,947,537","2,306,898",,,,,,,
ABT,97.04,97.04,97.62 x 1100,98.09 x 1000,96.81 - 98.08,93.25 - 124.36,"4,531,884","5,008,573",,,,,,,
ADBE,369.00,370.23,375.15 x 900,375.80 x 900,367.93 - 375.23,274.73 - 473.49,"2,995,521","3,008,500",,,,,,,
LIN,341.33,339.51,338.41 x 800,351.08 x 800,337.95 - 345.45,262.47 - 362.74,"1,475,449","2,636,439",,,,,,,
TXN,180.28,179.83,179.05 x 800,179.32 x 800,177.65 - 180.44,144.46 - 191.34,"5,345,460","5,270,645",,,,,,,
DHR,246.93,245.12,248.17 x 800,250.00 x 800,243.10 - 248.35,233.71 - 303.82,"2,235,927","2,559,103",,,,,,,
AMD,100.28,99.18,98.06 x 800,98.20 x 800,96.74 - 99.52,54.57 - 125.67,"64,691,051","61,473,860",,,,,,,
VZ,37.37,37.53,37.61 x 1100,37.70 x 2200,37.25 - 37.70,34.55 - 55.51,"14,954,009","21,300,801",,,,,,,
CMCSA,35.97,35.70,35.95 x 1200,36.19 x 900,35.28 - 36.12,28.39 - 48.42,"20,371,184","19,684,185",,,,,,,
NKE,120.97,120.23,120.73 x 900,120.92 x 1000,119.32 - 121.00,82.22 - 139.86,"6,076,139","6,348,880",,,,,,,
NEE,73.81,73.99,75.50 x 1000,75.74 x 1000,73.71 - 75.75,67.22 - 91.35,"5,289,232","9,116,842",,,,,,,
NFLX,320.37,320.63,329.00 x 3000,328.69 x 800,320.63 - 331.83,162.71 - 396.50,"13,004,085","7,903,013",,,,,,,
BMY,66.98,67.20,67.67 x 800,67.73 x 900,66.69 - 67.78,65.28 - 81.44,"6,058,833","8,192,455",,,,,,,
RTX,96.00,95.41,96.26 x 1000,96.89 x 800,94.94 - 96.68,80.27 - 106.02,"4,708,627","4,748,993",,,,,,,
PM,90.27,90.72,90.70 x 900,90.79 x 800,90.08 - 90.99,82.85 - 109.81,"3,858,934","4,606,193",,,,,,,
WFC,36.61,36.00,36.26 x 1300,36.25 x 1000,35.25 - 36.48,35.25 - 53.30,"35,164,070","22,474,263",,,,,,,
QCOM,124.15,123.63,125.05 x 900,125.10 x 1000,122.25 - 124.93,101.93 - 161.30,"6,987,982","7,768,839",,,,,,,
UPS,185.29,185.09,186.11 x 900,186.15 x 800,183.72 - 186.41,154.87 - 223.97,"2,527,213","3,078,213",,,,,,,
ORCL,87.78,87.98,88.01 x 900,88.10 x 800,87.51 - 88.48,60.78 - 91.22,"5,707,269","7,041,685",,,,,,,
T,18.46,18.45,18.62 x 1400,18.65 x 3000,18.35 - 18.66,14.46 - 21.53,"30,569,809","32,617,786",,,,,,,
HON,186.92,186.39,188.16 x 800,191.50 x 1200,184.60 - 188.22,166.63 - 220.96,"2,331,025","3,159,218",,,,,,,
AMGN,233.10,234.22,238.07 x 1300,238.59 x 800,233.02 - 238.50,223.30 - 296.67,"2,547,681","2,455,927",,,,,,,
INTU,432.49,428.72,429.57 x 800,430.98 x 800,422.42 - 432.00,339.36 - 507.71,"1,659,716","1,585,562",,,,,,,
INTC,29.03,29.04,29.38 x 2900,29.40 x 4000,28.93 - 29.81,24.59 - 52.51,"55,931,606","44,997,055",,,,,,,
COP,96.42,94.56,95.43 x 800,96.00 x 800,93.26 - 95.90,78.30 - 138.49,"8,373,330","6,573,527",,,,,,,
LOW,189.69,188.75,189.48 x 800,189.26 x 800,187.44 - 190.27,170.12 - 223.31,"2,682,951","3,063,086",,,,,,,
CAT,219.44,216.85,217.20 x 1100,217.69 x 800,213.16 - 217.43,160.60 - 266.04,"2,975,786","3,364,395",,,,,,,
UNP,186.20,184.14,188.17 x 800,188.09 x 800,183.85 - 188.56,183.69 - 278.94,"4,070,394","3,445,611",,,,,,,
SBUX,98.42,98.22,98.36 x 1400,98.49 x 1000,97.19 - 98.43,68.39 - 110.83,"4,685,915","6,111,967",,,,,,,
MS,85.84,84.51,83.96 x 900,84.24 x 800,81.72 - 84.51,72.05 - 100.99,"10,741,970","7,982,203",,,,,,,
IBM,123.37,123.36,125.29 x 800,125.20 x 900,122.88 - 125.40,115.55 - 153.21,"3,809,254","5,075,245",,,,,,,
BA,197.90,195.50,197.54 x 800,197.42 x 800,193.92 - 197.57,113.02 - 221.33,"4,470,264","6,308,639",,,,,,,
SPGI,332.25,328.03,334.62 x 900,334.77 x 1000,327.08 - 335.33,279.32 - 423.55,"1,192,757","1,411,045",,,,,,,
GS,314.85,310.15,312.90 x 1100,313.32 x 1100,305.36 - 312.75,277.84 - 389.58,"2,423,475","3,009,855",,,,,,,
ELV,446.30,445.62,455.15 x 1000,456.60 x 800,440.31 - 456.87,440.02 - 549.52,"1,605,807","1,122,308",,,,,,,
LMT,467.90,467.90,474.94 x 1100,474.95 x 800,467.15 - 475.67,373.67 - 498.95,"1,023,549","1,466,436",,,,,,,
DE,391.85,387.38,386.65 x 800,387.49 x 1300,381.50 - 388.59,283.81 - 448.40,"1,349,661","1,484,795",,,,,,,
PLD,114.15,113.25,113.41 x 900,118.00 x 1000,113.23 - 117.10,98.03 - 174.54,"3,486,044","2,985,875",,,,,,,
AMAT,122.78,121.64,119.26 x 1100,119.75 x 1000,118.07 - 122.12,71.12 - 142.01,"6,244,431","6,524,255",,,,,,,
MDT,77.57,77.40,79.16 x 900,79.55 x 900,77.30 - 79.53,75.77 - 114.31,"5,959,674","6,339,495",,,,,,,
GE,91.59,90.57,91.40 x 800,91.36 x 900,90.32 - 92.35,46.78 - 94.94,"6,538,648","8,171,909",,,,,,,
BKNG,"2,538.76","2,510.09","2,466.25 x 800","2,509.32 x 800","2,466.02 - 2,512.21","1,616.85 - 2,630.00","329,595","329,477",,,,,,,
GILD,78.76,78.93,79.77 x 900,80.34 x 1000,78.34 - 80.40,57.17 - 89.74,"4,502,937","6,172,168",,,,,,,
BLK,651.78,642.81,644.95 x 800,665.91 x 800,638.09 - 647.82,503.12 - 788.65,"569,231","730,434",,,,,,,
AXP,162.76,160.52,159.85 x 900,160.39 x 800,157.82 - 160.71,130.65 - 194.00,"2,584,436","3,552,652",,,,,,,
ADI,189.45,189.10,187.70 x 900,188.48 x 800,185.68 - 189.42,133.48 - 196.41,"3,401,812","3,370,109",,,,,,,
CVS,72.37,72.33,73.26 x 900,73.55 x 800,72.13 - 73.56,72.11 - 108.25,"6,055,175","9,043,532",,,,,,,
SYK,274.28,274.15,277.00 x 800,278.34 x 800,272.73 - 277.15,188.84 - 284.00,"824,498","1,319,903",,,,,,,
MDLZ,67.20,67.48,69.04 x 1200,69.19 x 1200,67.48 - 69.10,54.72 - 69.10,"7,201,400","5,902,359",,,,,,,
NOW,440.47,438.83,431.58 x 800,433.99 x 800,427.11 - 439.22,337.00 - 601.62,"903,692","1,602,583",,,,,,,
AMT,191.62,190.89,199.66 x 1000,201.00 x 900,189.37 - 199.68,178.17 - 282.47,"1,789,666","2,040,491",,,,,,,
ADP,213.62,213.92,214.13 x 1200,220.05 x 800,211.41 - 214.49,196.61 - 274.92,"1,720,455","2,068,754",,,,,,,
TJX,74.63,74.44,74.68 x 1100,74.83 x 800,73.65 - 74.96,53.69 - 83.13,"4,438,303","5,334,470",,,,,,,
REGN,802.16,805.05,819.94 x 800,817.58 x 1000,801.70 - 824.00,538.01 - 824.00,"1,129,524","638,455",,,,,,,
ISRG,244.47,248.00,255.70 x 1300,256.74 x 800,248.00 - 257.46,180.07 - 308.97,"3,269,871","1,671,885",,,,,,,
TMUS,142.30,141.90,142.55 x 800,144.40 x 1000,140.72 - 142.93,120.90 - 154.38,"4,406,637","5,234,652",,,,,,,
C,43.45,42.84,43.09 x 1200,43.13 x 900,42.01 - 43.12,40.01 - 57.40,"25,336,543","20,111,004",,,,,,,
PYPL,72.56,71.92,73.85 x 1200,74.09 x 800,71.54 - 73.90,66.39 - 122.92,"9,181,929","13,372,724",,,,,,,
SCHW,52.89,52.09,53.15 x 1200,53.20 x 2200,51.19 - 54.10,45.00 - 93.16,"45,444,064","19,855,191",,,,,,,
PGR,137.83,136.69,137.20 x 1000,141.00 x 900,135.77 - 140.52,106.35 - 146.50,"3,164,828","2,393,201",,,,,,,
MMC,158.65,158.00,74.41 x 1200,181.04 x 900,157.30 - 160.79,143.33 - 183.14,"1,148,063","1,611,642",,,,,,,
VRTX,304.75,305.38,314.39 x 800,319.00 x 800,303.00 - 314.99,233.01 - 325.19,"2,376,855","1,272,077",,,,,,,
MO,43.46,43.60,43.97 x 1000,44.00 x 1800,43.40 - 43.99,40.35 - 57.05,"9,278,191","8,362,670",,,,,,,
CB,186.01,184.00,182.82 x 800,187.37 x 800,183.40 - 186.74,173.78 - 231.37,"1,757,169","1,892,334",,,,,,,
CI,256.58,254.99,259.98 x 1000,262.00 x 900,251.74 - 261.05,239.50 - 340.11,"2,165,652","1,668,575",,,,,,,
ZTS,161.24,161.00,158.02 x 1100,164.70 x 900,159.96 - 164.94,124.15 - 201.32,"1,827,396","2,159,414",,,,,,,
SO,66.34,66.52,68.50 x 1000,68.96 x 800,66.42 - 68.60,60.71 - 80.57,"4,804,235","4,291,900",,,,,,,
TGT,156.12,154.72,156.22 x 800,155.97 x 800,152.68 - 156.57,137.16 - 254.87,"2,703,512","3,262,073",,,,,,,
LRCX,523.59,515.00,502.29 x 900,503.99 x 800,498.78 - 515.96,299.59 - 574.79,"1,396,527","1,254,640",,,,,,,
FISV,111.10,109.77,112.52 x 1100,114.90 x 900,109.13 - 112.67,87.03 - 119.48,"3,377,478","3,585,783",,,,,,,
DUK,91.55,91.66,94.07 x 900,94.12 x 800,91.65 - 94.41,83.76 - 116.33,"3,387,567","2,938,177",,,,,,,
BSX,47.94,47.90,47.50 x 1000,49.00 x 800,47.51 - 48.31,34.98 - 49.22,"8,840,599","7,386,901",,,,,,,
BDX,236.38,236.83,236.75 x 800,244.49 x 800,236.04 - 240.77,215.90 - 277.29,"883,811","1,100,104",,,,,,,
MU,61.34,60.51,61.20 x 3100,61.48 x 1800,60.50 - 61.40,48.43 - 86.24,"18,740,564","14,092,316",,,,,,,
ETN,164.54,163.45,163.73 x 800,165.12 x 900,160.23 - 164.04,122.50 - 178.75,"2,120,609","1,921,637",,,,,,,
CME,180.03,180.05,183.34 x 800,184.36 x 800,178.12 - 183.96,166.55 - 248.75,"1,339,301","1,920,296",,,,,,,
SLB,45.48,44.21,44.58 x 800,44.65 x 2200,43.82 - 45.00,30.65 - 59.45,"18,377,805","9,584,618",,,,,,,
ITW,231.28,229.50,231.23 x 1100,235.38 x 800,227.76 - 231.93,173.52 - 253.37,"1,049,563","1,083,173",,,,,,,
NOC,444.44,445.08,449.80 x 800,455.70 x 800,443.00 - 456.20,430.94 - 556.27,"991,961","1,127,022",,,,,,,
AON,302.99,301.04,306.45 x 800,312.82 x 800,300.93 - 309.32,246.21 - 341.98,"871,839","834,331",,,,,,,
EQIX,666.37,666.37,678.50 x 800,680.69 x 1200,661.66 - 681.70,494.89 - 776.35,"367,030","387,500",,,,,,,
EOG,104.78,101.91,105.49 x 900,110.17 x 1100,101.56 - 106.12,92.16 - 150.88,"4,118,554","3,802,763",,,,,,,
HUM,491.35,491.87,490.48 x 800,502.64 x 800,491.63 - 503.30,410.87 - 571.30,"635,274","1,013,336",,,,,,,
CL,71.83,72.25,72.60 x 900,73.49 x 900,72.10 - 73.54,67.84 - 83.81,"4,499,744","4,369,939",,,,,,,
APD,266.94,265.43,265.26 x 1100,270.90 x 1200,263.89 - 268.59,218.88 - 328.56,"1,305,591","1,138,832",,,,,,,
CSX,28.08,27.78,28.25 x 900,28.28 x 1000,27.60 - 28.32,25.80 - 38.17,"13,728,607","13,692,014",,,,,,,
SNPS,379.40,378.14,368.76 x 800,384.29 x 800,370.37 - 379.96,255.02 - 391.17,"944,474","768,640",,,,,,,
MPC,126.15,123.32,124.80 x 900,125.40 x 1100,120.58 - 125.51,77.62 - 136.46,"3,659,092","3,857,113",,,,,,,
CDNS,207.00,206.63,204.48 x 800,207.80 x 900,203.06 - 206.95,132.32 - 209.50,"2,302,468","1,704,226",,,,,,,
ATVI,79.68,84.84,84.45 x 800,84.60 x 800,83.32 - 85.72,70.94 - 85.72,"24,500,601","6,344,914",,,,,,,
WM,150.70,151.15,154.01 x 900,154.71 x 800,150.60 - 154.83,138.89 - 175.98,"1,736,947","1,782,098",,,,,,,
MMM,101.00,100.37,101.20 x 800,101.30 x 800,100.16 - 101.34,100.16 - 154.66,"3,550,187","3,554,726",,,,,,,
EL,238.72,237.89,241.70 x 800,242.68 x 900,237.17 - 242.07,186.47 - 289.59,"897,012","1,436,024",,,,,,,
FCX,37.79,37.37,38.00 x 800,37.96 x 3000,36.75 - 38.21,24.80 - 51.85,"13,769,353","12,802,629",,,,,,,
ICE,96.53,96.06,96.00 x 1000,98.70 x 1100,95.72 - 97.78,88.60 - 136.04,"1,955,012","2,691,695",,,,,,,
KLAC,388.81,384.90,374.60 x 1000,379.95 x 800,370.57 - 385.15,250.20 - 429.46,"1,375,756","1,158,336",,,,,,,
HCA,252.77,251.53,250.00 x 900,263.95 x 800,249.96 - 254.27,164.47 - 279.02,"991,194","1,249,909",,,,,,,
CCI,123.75,123.46,127.09 x 800,129.74 x 800,122.75 - 129.53,121.71 - 199.97,"2,642,702","2,009,436",,,,,,,
FDX,216.92,216.88,217.68 x 900,217.54 x 1000,214.67 - 218.21,141.92 - 248.76,"1,741,108","2,070,985",,,,,,,
VLO,130.38,127.95,129.51 x 1200,129.32 x 1000,125.76 - 130.45,93.65 - 150.39,"4,291,660","4,140,393",,,,,,,
ORLY,801.38,803.69,790.00 x 1200,811.76 x 1000,800.40 - 813.80,562.90 - 873.94,"314,278","462,900",,,,,,,
GD,220.11,220.10,223.00 x 800,224.00 x 800,219.66 - 223.75,207.42 - 256.86,"1,344,167","1,196,708",,,,,,,
SHW,209.06,208.61,207.15 x 800,211.99 x 800,205.81 - 212.74,195.24 - 285.00,"2,220,482","1,596,432",,,,,,,
MRNA,149.42,149.74,151.10 x 800,150.50 x 800,149.01 - 152.57,115.03 - 217.25,"1,988,889","3,758,859",,,,,,,
PNC,122.13,120.00,123.50 x 800,124.40 x 800,119.27 - 124.17,119.27 - 198.98,"3,874,944","3,227,236",,,,,,,
EW,79.55,79.55,80.52 x 800,80.89 x 900,79.37 - 81.02,67.13 - 131.10,"2,652,175","3,573,159",,,,,,,
USB,35.06,34.34,34.90 x 900,34.84 x 800,34.01 - 34.94,32.72 - 57.92,"18,337,093","12,293,013",,,,,,,
GIS,82.15,82.85,84.50 x 800,84.95 x 800,82.11 - 84.84,64.94 - 88.34,"4,887,285","3,496,678",,,,,,,
EMR,83.10,82.39,82.85 x 1100,84.41 x 800,81.30 - 82.92,72.41 - 100.00,"2,214,878","3,647,727",,,,,,,
NXPI,182.04,181.45,176.55 x 800,177.05 x 900,174.70 - 181.80,132.08 - 198.28,"2,280,888","2,015,427",,,,,,,
GM,33.74,33.46,33.72 x 1300,33.77 x 800,32.99 - 33.78,30.33 - 46.74,"11,817,348","15,534,213",,,,,,,
APH,78.38,78.34,77.69 x 1100,79.83 x 800,77.23 - 78.64,61.67 - 82.86,"2,116,041","2,395,204",,,,,,,
MCK,335.83,335.16,344.02 x 900,346.72 x 800,334.79 - 347.44,298.69 - 401.78,"925,811","983,575",,,,,,,
MCO,290.37,287.39,285.69 x 1200,301.20 x 1000,285.13 - 293.40,230.16 - 346.22,"569,115","864,780",,,,,,,
NSC,199.42,197.49,199.50 x 800,200.37 x 1400,196.33 - 200.65,196.33 - 291.55,"1,370,611","1,593,100",,,,,,,
DG,202.85,202.59,202.20 x 800,206.50 x 900,201.31 - 206.22,183.25 - 262.21,"1,587,183","2,026,345",,,,,,,
CMG,"1,632.53","1,636.01","1,622.00 x 800","1,627.99 x 800","1,609.12 - 1,640.71","1,196.28 - 1,754.56","228,099","285,462",,,,,,,
MCHP,82.30,81.38,79.49 x 900,79.01 x 1000,78.91 - 81.72,54.33 - 87.76,"5,487,639","4,775,695",,,,,,,
ROP,425.05,425.16,423.46 x 800,440.00 x 900,423.96 - 430.70,356.22 - 488.23,"639,502","542,472",,,,,,,
PXD,189.18,187.00,192.22 x 900,192.50 x 800,186.01 - 193.11,177.27 - 288.46,"2,183,048","2,537,532",,,,,,,
F,11.42,11.32,11.52 x 900,11.53 x 900,11.18 - 11.51,10.61 - 17.80,"71,417,680","68,950,891",,,,,,,
MSI,268.16,268.16,267.18 x 800,272.22 x 800,265.95 - 271.94,195.18 - 275.16,"589,868","658,481",,,,,,,
PSA,282.24,281.99,280.26 x 1000,298.55 x 900,281.64 - 286.91,270.13 - 421.76,"529,333","1,028,198",,,,,,,
DXCM,114.50,114.26,114.09 x 1100,114.13 x 800,112.79 - 115.21,66.89 - 134.76,"1,360,748","2,491,072",,,,,,,
SRE,139.69,139.80,142.77 x 900,142.70 x 800,139.55 - 142.93,136.54 - 176.47,"1,136,249","1,348,513",,,,,,,
AEP,85.41,85.65,88.82 x 800,89.07 x 900,85.53 - 89.10,80.30 - 105.60,"2,527,255","2,862,973",,,,,,,
MSCI,546.96,541.75,543.76 x 1000,544.40 x 1100,536.27 - 544.99,376.41 - 572.50,"323,326","434,465",,,,,,,
PSX,93.54,91.64,93.24 x 1000,93.95 x 800,90.66 - 93.94,74.02 - 113.53,"3,548,197","3,595,868",,,,,,,
D,52.22,52.31,53.83 x 900,54.00 x 1300,52.19 - 53.84,52.03 - 88.78,"3,050,084","5,000,513",,,,,,,
ADSK,201.14,201.07,196.09 x 1200,201.20 x 1000,198.15 - 202.97,163.20 - 235.01,"1,378,695","1,401,149",,,,,,,
AZO,"2,307.82","2,316.31","2,329.41 x 800","2,360.00 x 800","2,294.75 - 2,338.52","1,703.32 - 2,610.05","145,173","148,455",,,,,,,
TFC,32.57,32.04,32.90 x 800,33.27 x 1100,31.82 - 33.23,28.70 - 61.10,"18,396,522","11,494,163",,,,,,,
KMB,127.37,128.14,130.23 x 900,131.00 x 1200,127.94 - 130.58,108.74 - 144.53,"1,427,671","1,693,227",,,,,,,
MAR,159.98,157.95,156.56 x 800,158.00 x 1800,153.57 - 158.27,131.01 - 195.90,"2,510,668","1,850,327",,,,,,,
OXY,58.48,57.88,58.18 x 800,58.28 x 1000,57.03 - 58.60,51.53 - 77.13,"13,575,627","13,458,462",,,,,,,
TT,182.91,180.56,181.47 x 1000,181.73 x 800,178.83 - 182.09,120.64 - 196.22,"1,638,280","1,384,595",,,,,,,
ANET,169.39,168.86,168.63 x 800,169.95 x 1200,167.05 - 169.95,89.11 - 171.44,"2,485,851","2,461,593",,,,,,,
ADM,75.13,74.71,76.61 x 800,76.62 x 800,74.17 - 76.75,70.02 - 98.88,"2,328,924","3,350,511",,,,,,,
PH,320.42,315.62,315.13 x 900,327.09 x 900,310.78 - 321.03,230.44 - 364.57,"744,129","947,698",,,,,,,
FTNT,63.25,62.92,62.99 x 900,63.24 x 1200,62.02 - 63.25,42.61 - 71.52,"3,384,685","5,095,347",,,,,,,
CTVA,56.81,56.12,56.00 x 1000,57.19 x 1000,55.90 - 57.13,50.03 - 68.43,"2,530,273","3,476,954",,,,,,,
JCI,58.71,58.04,58.22 x 900,59.00 x 800,57.15 - 58.25,45.52 - 69.60,"4,033,521","3,460,409",,,,,,,
TEL,125.15,124.65,123.04 x 800,126.63 x 800,123.18 - 124.88,104.76 - 138.24,"1,173,699","1,832,177",,,,,,,
IDXX,478.74,478.98,484.27 x 800,487.00 x 800,473.11 - 485.71,317.06 - 560.92,"266,610","494,698",,,,,,,
AJG,184.44,183.44,183.95 x 800,187.95 x 800,181.87 - 185.72,148.24 - 202.37,"994,043","876,134",,,,,,,
EXC,39.20,39.13,40.24 x 800,40.40 x 1300,39.06 - 40.25,35.19 - 50.71,"6,808,963","7,297,509",,,,,,,
MNST,102.39,102.80,104.08 x 900,106.00 x 900,102.30 - 104.35,78.54 - 105.45,"1,342,512","2,004,322",,,,,,,
ECL,157.04,156.70,156.09 x 800,165.26 x 800,155.75 - 160.93,131.04 - 185.50,"1,093,105","1,164,436",,,,,,,
A,131.13,130.14,131.63 x 800,131.40 x 1000,128.22 - 131.98,112.52 - 160.26,"1,457,523","1,368,468",,,,,,,
BIIB,265.17,265.44,264.84 x 1000,271.50 x 1400,263.15 - 271.35,187.16 - 311.88,"973,418","986,014",,,,,,,
NEM,47.79,48.18,48.69 x 2200,48.75 x 1400,47.70 - 49.22,37.45 - 86.37,"9,355,678","7,826,890",,,,,,,
TRV,163.86,162.50,164.73 x 800,165.62 x 800,161.33 - 165.36,149.65 - 194.51,"1,112,789","1,478,759",,,,,,,
NUE,148.00,145.61,149.23 x 800,151.00 x 1000,144.23 - 149.89,100.13 - 187.90,"1,472,016","1,848,352",,,,,,,
CTAS,433.15,432.73,436.35 x 800,444.39 x 1100,428.68 - 437.72,343.86 - 470.23,"271,367","337,434",,,,,,,
SYY,73.23,73.03,74.71 x 800,75.30 x 800,72.85 - 74.74,70.61 - 91.53,"1,827,399","2,373,114",,,,,,,
O,59.27,59.16,61.00 x 1000,61.07 x 900,59.07 - 61.09,55.50 - 75.40,"3,538,266","3,564,801",,,,,,,
CARR,44.30,43.69,43.83 x 1100,44.91 x 1300,43.01 - 43.93,33.10 - 49.17,"5,073,259","4,360,055",,,,,,,
TDG,701.25,692.03,692.74 x 800,716.36 x 800,689.66 - 707.48,499.63 - 772.01,"294,422","343,821",,,,,,,
PCAR,69.81,69.26,69.90 x 1100,70.38 x 1100,68.29 - 69.92,51.33 - 76.72,"2,487,880","3,266,048",,,,,,,
LHX,190.78,190.79,192.68 x 800,194.00 x 900,189.86 - 193.19,189.73 - 264.71,"1,513,091","1,294,813",,,,,,,
DOW,51.65,50.85,51.00 x 900,51.67 x 800,50.45 - 51.93,42.91 - 71.86,"4,258,538","5,185,095",,,,,,,
HLT,135.67,134.22,129.10 x 900,132.49 x 800,129.86 - 134.55,108.41 - 167.99,"2,895,062","1,641,444",,,,,,,
CHTR,342.17,340.64,343.95 x 800,342.30 x 900,335.80 - 346.37,297.66 - 574.65,"964,423","1,200,790",,,,,,,
YUM,127.68,127.98,127.41 x 1100,128.66 x 900,127.12 - 128.45,103.97 - 133.77,"1,127,943","1,543,996",,,,,,,
HSY,243.98,245.43,243.63 x 900,247.93 x 800,244.42 - 248.32,201.42 - 248.33,"1,556,936","1,050,608",,,,,,,
MET,54.30,53.09,52.87 x 1200,54.59 x 900,52.83 - 54.37,52.83 - 77.36,"6,507,844","4,868,029",,,,,,,
ROST,101.63,101.44,101.33 x 900,102.03 x 800,99.68 - 102.11,69.24 - 122.45,"2,543,828","2,280,224",,,,,,,
AFL,62.53,61.76,62.68 x 800,62.88 x 800,61.30 - 62.99,52.07 - 74.02,"2,163,570","2,728,186",,,,,,,
