Symbol,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,YTD Return,Expense Ratio (net),Category,Last Cap Gain,Morningstar Rating,Morningstar Risk Rating,Sustainability Rating
AAPL,158.93,158.86,160.20 x 800,160.03 x 800,157.85 - 160.34,124.17 - 179.61,"59,256,343","70,658,500",,,,,,,
MSFT,277.66,277.24,280.94 x 800,280.96 x 900,275.30 - 280.63,213.43 - 315.95,"28,199,962","32,351,929",,,,,,,
AMZN,98.71,98.07,98.42 x 1000,98.35 x 1300,96.40 - 98.29,81.43 - 170.83,"56,144,801","69,248,703",,,,,,,
NVDA,271.91,270.31,267.70 x 1400,267.71 x 800,263.55 - 271.67,108.13 - 289.46,"45,541,407","50,297,757",,,,,,,
GOOGL,105.60,104.99,105.67 x 800,105.60 x 1800,103.84 - 105.49,83.34 - 143.79,"30,365,732","39,514,009",,,,,,,
GOOG,106.26,105.74,106.30 x 1000,106.29 x 900,104.74 - 106.16,83.45 - 144.16,"25,208,377","31,921,852",,,,,,,
BRK.B,N/A,N/A,N/A x N/A,N/A x N/A,N/A - N/A,undefined - undefined,N/A,N/A,,,,,,,
TSLA,192.22,191.65,190.21 x 1200,190.19 x 1200,187.15 - 192.36,101.81 - 384.29,"116,531,584","180,632,852",,,,,,,
META,204.28,205.18,206.10 x 900,206.30 x 1100,203.55 - 207.57,88.09 - 236.86,"27,733,042","32,609,100",,,,,,,
UNH,469.91,468.98,476.00 x 800,477.63 x 800,467.59 - 476.88,449.70 - 558.10,"2,528,007","3,513,886",,,,,,,
XOM,103.41,101.47,103.56 x 900,103.83 x 1000,100.91 - 103.85,79.29 - 119.63,"13,365,018","16,926,745",,,,,,,
JNJ,151.13,151.48,152.49 x 1000,152.90 x 800,150.83 - 152.76,150.11 - 186.69,"5,691,813","8,039,859",,,,,,,
JPM,126.84,125.63,124.96 x 800,125.05 x 1000,123.11 - 125.68,101.28 - 144.34,"22,197,157","13,090,954",,,,,,,
V,222.59,220.67,221.08 x 1100,221.25 x 1000,218.25 - 221.33,174.60 - 234.30,"4,772,054","6,077,268",,,,,,,
PG,143.79,144.30,146.72 x 800,146.90 x 900,144.30 - 146.76,122.18 - 164.90,"5,960,371","6,832,083",,,,,,,
MA,354.37,350.45,351.63 x 1200,352.05 x 900,346.31 - 352.42,276.87 - 390.00,"2,892,179","2,841,744",,,,,,,
HD,283.91,282.56,282.75 x 800,283.50 x 1200,280.83 - 284.93,264.51 - 347.25,"3,849,584","3,745,788",,,,,,,
CVX,154.52,152.10,156.08 x 1100,156.30 x 1000,151.83 - 156.65,132.54 - 189.68,"6,589,740","8,820,491",,,,,,,
ABBV,155.30,155.28,157.50 x 800,158.25 x 800,154.59 - 158.48,134.09 - 175.91,"4,583,007","6,323,157",,,,,,,
AVGO,639.23,638.03,636.17 x 800,636.79 x 800,628.55 - 639.30,415.07 - 648.50,"1,722,916","2,281,708",,,,,,,
MRK,104.23,104.09,104.30 x 1200,104.65 x 1100,102.44 - 105.01,80.73 - 115.49,"6,658,529","8,756,891",,,,,,,
LLY,332.64,332.99,335.75 x 1000,336.39 x 900,328.77 - 336.93,276.83 - 375.25,"2,721,521","3,098,050",,,,,,,
PEP,175.65,176.53,179.09 x 1000,179.51 x 1200,176.40 - 179.34,154.86 - 186.84,"3,713,258","4,733,747",,,,,,,
KO,59.92,60.25,60.90 x 1400,61.00 x 1800,59.91 - 61.01,54.02 - 67.20,"12,652,262","13,670,713",,,,,,,
PFE,40.18,40.09,40.35 x 3000,40.45 x 1200,39.87 - 40.46,39.23 - 56.32,"17,132,360","22,769,908",,,,,,,
TMO,555.19,548.52,557.60 x 800,569.99 x 800,544.31 - 558.66,475.77 - 618.36,"973,647","1,415,439",,,,,,,
COST,487.76,486.94,495.32 x 800,496.00 x 800,486.72 - 495.97,406.51 - 612.27,"1,636,784","1,953,293",,,,,,,
CSCO,49.73,49.90,50.37 x 1400,50.66 x 800,49.50 - 50.55,38.60 - 56.94,"19,439,419","18,215,203",,,,,,,
MCD,269.62,270.37,271.37 x 800,272.00 x 800,268.84 - 271.83,228.34 - 281.67,"2,109,302","2,700,396",,,,,,,
WMT,140.65,141.01,141.80 x 800,141.98 x 900,140.60 - 142.47,117.27 - 160.77,"7,238,601","6,274,231",,,,,,,
BAC,26.97,26.60,27.17 x 3200,27.15 x 3200,26.32 - 27.29,26.32 - 44.39,"96,332,546","53,080,934",,,,,,,
