#,Company,Symbol,Weight,Price,Chg,% Chg,date,Volume,EPS (Trailing),EPS (Forward),P/E (Trailing),P/E (Forward),Dividend Yield,Market Cap
22,Broadcom Inc.,AVGO,0.758246,621.83,-0.82,(-0.13%),2023-04-07,"1,449,318",29.74,44.20,20.94,14.09,2.96%,256.44B
23,PepsiCo Inc.,PEP,0.73993,184.36,-0.01,(-0.00%),2023-04-07,"3,389,759",6.48,7.87,28.46,23.42,2.50%,251.87B
24,Coca-Cola Company,KO,0.712735,62.8,-0.04,(-0.06%),2023-04-07,"9,644,206",2.19,2.80,28.65,22.45,2.93%,271.08B
25,Pfizer Inc.,PFE,0.678859,41.5,0.0,(0.00%),2023-04-07,"25,932,975",5.47,3.77,7.58,11.02,3.95%,231.83B
26,Thermo Fisher Scientific Inc.,TMO,0.657573,567.04,-8.31,(-1.44%),2023-04-07,"780,743",17.64,26.75,32.62,21.51,0.24%,216.60B
27,Costco Wholesale Corporation,COST,0.628424,485.5,-0.49,(-0.10%),2023-04-07,"4,114,705",13.61,15.69,35.71,30.98,0.74%,213.18B
28,Walmart Inc.,WMT,0.616259,150.7,-0.1,(-0.07%),2023-04-07,"5,963,873",4.27,6.75,35.29,22.35,1.51%,401.60B
29,Cisco Systems Inc.,CSCO,0.613786,51.3,0.03,(0.06%),2023-04-07,"14,749,038",2.73,4.03,18.78,12.73,3.04%,206.60B
30,McDonald's Corporation,MCD,0.603802,282.75,-0.15,(-0.05%),2023-04-07,"1,730,954",8.34,11.70,33.91,24.18,2.15%,205.59B
31,Bank of America Corp,BAC,0.566248,27.93,0.09,(0.31%),2023-04-07,"41,216,578",3.19,3.64,8.74,7.65,3.16%,220.36B
32,Salesforce Inc.,CRM,0.561118,192.5,-0.05,(-0.03%),2023-04-07,"6,304,735",0.21,8.88,934.71,21.67,-,189.48B
33,Abbott Laboratories,ABT,0.533154,104.96,0.03,(0.03%),2023-04-07,"5,065,055",3.92,4.83,26.73,21.75,1.94%,178.44B
34,Walt Disney Company,DIS,0.532197,99.87,-0.11,(-0.11%),2023-04-07,"7,042,502",1.82,5.52,54.99,18.12,-,178.92B
35,Accenture Plc Class A,ACN,0.516969,280.1,-1.6,(-0.57%),2023-04-07,"2,125,330",10.86,12.57,25.93,22.42,1.59%,184.60B
36,Linde plc,LIN,0.511768,348.06,-8.52,(-2.39%),2023-04-07,"1,629,189",8.24,14.76,43.28,24.16,1.43%,173.57B
37,Adobe Incorporated,ADBE,0.507755,378.26,-2.35,(-0.62%),2023-04-07,"1,836,027",10.14,17.61,37.53,21.62,-,172.67B
38,Verizon Communications Inc.,VZ,0.483199,39.52,0.04,(0.10%),2023-04-07,"21,546,617",5.06,4.72,7.81,8.37,6.61%,164.83B
39,Danaher Corporation,DHR,0.471725,246.71,-0.25,(-0.10%),2023-04-07,"2,043,041",9.66,11.07,25.56,22.30,0.44%,178.33B
40,Texas Instruments Incorporated,TXN,0.470275,176.71,-1.41,(-0.79%),2023-04-07,"3,743,005",9.40,8.44,18.94,21.10,2.78%,160.08B
41,Comcast Corporation Class A,CMCSA,0.46203,37.73,0.04,(0.09%),2023-04-07,"20,359,117",1.19,4.10,31.65,9.19,3.08%,155.72B
42,NextEra Energy Inc.,NEE,0.457307,78.71,-0.26,(-0.33%),2023-04-07,"5,435,222",2.09,3.38,37.78,23.38,2.37%,155.95B
43,Philip Morris International Inc.,PM,0.447378,98.68,-0.35,(-0.36%),2023-04-07,"3,469,547",5.81,6.97,17.03,14.21,5.13%,152.71B
44,Netflix Inc.,NFLX,0.440391,338.8,-0.53,(-0.16%),2023-04-07,"4,660,556",9.14,14.38,37.13,23.59,-,148.04B
45,Bristol-Myers Squibb Company,BMY,0.438302,70.88,0.14,(0.19%),2023-04-07,"9,669,523",2.95,8.21,23.96,8.62,3.22%,146.40B
46,NIKE Inc. Class B,NKE,0.436406,120.12,-0.1,(-0.08%),2023-04-07,"4,256,901",3.47,4.05,34.69,29.67,1.13%,182.55B
47,Advanced Micro Devices Inc.,AMD,0.434483,92.3,-0.18,(-0.19%),2023-04-07,"47,778,382",0.89,4.34,104.49,21.30,-,148.81B
48,Oracle Corporation,ORCL,0.429592,95.88,-0.04,(-0.04%),2023-04-07,"9,146,244",3.04,5.58,31.52,17.19,1.67%,252.25B
49,Wells Fargo & Company,WFC,0.420855,37.89,-0.01,(-0.03%),2023-04-07,"23,484,942",3.14,5.24,12.05,7.23,3.17%,143.15B
50,Raytheon Technologies Corporation,RTX,0.419267,98.24,0.03,(0.03%),2023-04-07,"3,430,914",3.51,5.82,27.96,16.87,2.24%,142.88B
51,AT&T Inc.,T,0.408171,19.63,-0.02,(-0.10%),2023-04-07,"29,752,559",-1.26,2.51,-,7.84,5.65%,138.83B
52,United Parcel Service Inc. Class B,UPS,0.401072,188.44,-0.14,(-0.07%),2023-04-07,"2,206,260",13.21,12.35,14.27,15.27,3.44%,159.14B
53,QUALCOMM Incorporated,QCOM,0.400463,122.8,-0.2,(-0.16%),2023-04-07,"5,260,584",10.46,11.40,11.76,10.78,2.44%,136.95B
54,Intel Corporation,INTC,0.395553,32.78,-0.03,(-0.09%),2023-04-07,"28,551,918",1.95,1.88,16.82,17.49,1.52%,133.33B
55,Amgen Inc.,AMGN,0.394188,252.1,-1.22,(-0.48%),2023-04-07,"2,047,950",12.12,18.93,20.90,13.38,3.36%,135.13B
56,ConocoPhillips,COP,0.378977,105.94,-0.32,(-0.30%),2023-04-07,"5,087,830",14.56,10.89,7.30,9.75,5.03%,129.56B
57,Honeywell International Inc.,HON,0.370838,190.57,0.11,(0.06%),2023-04-07,"2,782,289",7.27,10.04,26.19,18.96,2.16%,125.92B
58,Intuit Inc.,INTU,0.366381,446.14,-0.62,(-0.14%),2023-04-07,"1,673,701",6.81,15.53,65.59,28.77,0.70%,123.72B
59,Union Pacific Corporation,UNP,0.354192,199.9,1.26,(0.63%),2023-04-07,"3,280,101",11.22,12.62,17.71,15.74,2.62%,119.79B
60,Starbucks Corporation,SBUX,0.350598,104.67,-0.02,(-0.01%),2023-04-07,"3,155,670",2.88,4.07,36.32,25.71,2.03%,117.06B
61,Lowe's Companies Inc.,LOW,0.349924,198.39,-0.19,(-0.09%),2023-04-07,"2,403,335",10.01,14.73,19.85,13.48,2.12%,114.08B
62,Boeing Company,BA,0.346383,211.15,-0.23,(-0.11%),2023-04-07,"5,618,126",-8.30,5.53,-,38.26,-,125.82B
63,International Business Machines Corporation,IBM,0.343836,130.4,-0.1,(-0.08%),2023-04-07,"3,050,581",1.90,10.13,68.72,12.88,5.06%,116.69B
64,Elevance Health Inc.,ELV,0.336546,481.4,-2.14,(-0.44%),2023-04-07,"815,898",24.79,36.99,19.51,13.07,1.22%,114.60B
65,Prologis Inc.,PLD,0.329668,122.63,-0.12,(-0.10%),2023-04-07,"2,104,855",4.36,2.85,28.19,43.02,2.84%,110.76B
66,S&P Global Inc.,SPGI,0.327006,350.5,9.64,(2.83%),2023-04-07,"1,309,959",10.50,14.37,32.48,23.72,1.06%,110.65B
67,Lockheed Martin Corporation,LMT,0.324563,489.76,-0.42,(-0.08%),2023-04-07,"1,093,502",21.72,27.97,22.56,17.53,2.45%,124.88B
68,Morgan Stanley,MS,0.32054,84.21,0.02,(0.02%),2023-04-07,"3,877,838",6.14,8.13,13.72,10.36,3.68%,138.88B
69,Goldman Sachs Group Inc.,GS,0.31815,322.51,0.11,(0.03%),2023-04-07,"1,310,999",30.06,40.08,10.72,8.04,3.10%,105.65B
70,Caterpillar Inc.,CAT,0.317215,209.09,-0.09,(-0.04%),2023-04-07,"4,180,063",12.64,17.21,16.55,12.15,2.29%,105.97B
71,Medtronic Plc,MDT,0.31127,79.86,-0.44,(-0.55%),2023-04-07,"4,313,017",3.04,5.28,26.40,15.20,3.39%,104.92B
72,Gilead Sciences Inc.,GILD,0.302963,82.96,-0.42,(-0.50%),2023-04-07,"3,729,061",3.64,7.22,22.92,11.55,3.60%,102.21B
73,General Electric Company,GE,0.296614,92.76,-0.84,(-0.90%),2023-04-07,"6,404,896",0.54,3.90,172.38,24.01,0.34%,100.40B
74,Booking Holdings Inc.,BKNG,0.291642,2578.2,-5.65,(-0.22%),2023-04-07,"273,112",77.88,154.83,33.18,16.69,-,95.71B
75,Deere & Company,DE,0.2913,369.58,-0.08,(-0.02%),2023-04-07,"1,848,474",26.96,32.11,13.71,11.51,1.35%,107.10B
76,CVS Health Corporation,CVS,0.290162,77.47,-0.07,(-0.09%),2023-04-07,"8,778,252",3.12,9.07,24.84,8.55,3.12%,100.09B
77,BlackRock Inc.,BLK,0.286953,654.51,-1.89,(-0.29%),2023-04-07,"441,770",33.95,39.62,19.33,16.57,3.05%,97.42B
78,Stryker Corporation,SYK,0.282652,288.06,0.38,(0.13%),2023-04-07,"1,113,434",6.17,11.13,46.62,25.85,1.04%,107.25B
79,Mondelez International Inc. Class A,MDLZ,0.282338,71.1,0.05,(0.06%),2023-04-07,"5,024,143",1.96,3.44,36.25,20.67,2.17%,96.67B
80,Applied Materials Inc.,AMAT,0.281189,113.46,-0.99,(-0.86%),2023-04-07,"6,274,988",7.46,6.84,15.34,16.73,1.12%,96.16B
81,American Tower Corporation,AMT,0.28,206.59,-0.1,(-0.05%),2023-04-07,"1,273,382",3.84,5.01,53.83,41.28,3.02%,94.76B
82,ServiceNow Inc.,NOW,0.279897,472.99,-0.14,(-0.03%),2023-04-07,"1,691,546",1.60,11.35,296.26,41.69,-,90.41B
83,Analog Devices Inc.,ADI,0.27646,185.11,-2.06,(-1.10%),2023-04-07,"3,010,170",6.62,10.93,28.26,17.12,1.84%,93.23B
84,American Express Company,AXP,0.276195,158.74,-0.1,(-0.06%),2023-04-07,"3,754,544",9.83,12.55,16.15,12.65,1.51%,116.36B
85,TJX Companies Inc,TJX,0.263632,77.33,-0.72,(-0.93%),2023-04-07,"3,086,032",2.97,3.90,26.25,20.02,1.70%,88.52B
86,Intuitive Surgical Inc.,ISRG,0.262318,256.33,-0.58,(-0.22%),2023-04-07,"1,026,603",3.65,6.21,70.35,41.38,-,88.51B
87,Automatic Data Processing Inc.,ADP,0.26095,215.88,-0.23,(-0.10%),2023-04-07,"1,966,561",7.53,9.02,28.71,23.97,2.31%,88.28B
88,Regeneron Pharmaceuticals Inc.,REGN,0.259625,826.19,-2.54,(-0.31%),2023-04-07,"549,992",38.24,45.08,21.67,18.38,-,89.48B
89,Citigroup Inc.,C,0.258413,45.88,0.02,(0.05%),2023-04-07,"11,918,129",7.11,6.65,6.45,6.90,4.45%,87.70B
90,T-Mobile US Inc.,TMUS,0.258237,148.64,-0.97,(-0.65%),2023-04-07,"4,263,748",2.33,9.68,64.35,15.46,-,182.09B
91,Progressive Corporation,PGR,0.250725,153.64,6.35,(4.31%),2023-04-07,"1,902,932",1.16,7.94,126.97,18.54,0.27%,86.66B
92,PayPal Holdings Inc.,PYPL,0.247144,74.96,0.0,(0.00%),2023-04-07,"10,524,545",2.10,5.63,35.78,13.32,-,83.08B
93,Marsh & McLennan Companies Inc.,MMC,0.244417,176.69,7.31,(4.32%),2023-04-07,"1,739,678",6.03,8.33,28.09,20.34,1.39%,82.93B
94,Vertex Pharmaceuticals Incorporated,VRTX,0.240988,321.83,0.17,(0.05%),2023-04-07,"912,017",12.82,15.49,25.09,20.76,-,81.93B
95,Chubb Limited,CB,0.237631,196.8,0.0,(0.00%),2023-04-07,"1,248,251",12.52,20.09,15.73,9.79,1.69%,81.36B
96,Altria Group Inc.,MO,0.231995,44.5,0.07,(0.15%),2023-04-07,"6,337,156",3.19,5.30,13.93,8.38,8.46%,79.12B
97,Cigna Group,CI,0.230904,263.78,-1.52,(-0.57%),2023-04-07,"1,709,129",21.37,28.24,12.41,9.39,1.85%,78.36B
98,Zoetis Inc. Class A,ZTS,0.229067,167.93,-1.01,(-0.60%),2023-04-07,"1,594,861",4.50,6.08,37.58,27.79,0.89%,77.21B
99,Southern Company,SO,0.229025,72.45,0.14,(0.19%),2023-04-07,"4,504,829",3.27,4.03,22.11,17.96,3.76%,78.15B
100,Duke Energy Corporation,DUK,0.223468,99.31,-0.43,(-0.43%),2023-04-07,"2,894,840",4.89,5.98,20.39,16.68,4.03%,76.62B
101,Target Corporation,TGT,0.221717,165.4,-0.18,(-0.11%),2023-04-07,"2,596,971",5.98,10.57,27.67,15.67,2.61%,73.76B
102,Charles Schwab Corp,SCHW,0.21936,49.68,0.33,(0.67%),2023-04-07,"28,155,041",3.50,4.89,14.08,10.08,2.03%,91.08B
103,Becton Dickinson and Company,BDX,0.210565,257.28,2.59,(1.02%),2023-04-07,"1,369,836",5.18,13.62,49.21,18.69,1.43%,71.48B
104,Fiserv Inc.,FISV,0.208767,113.03,0.02,(0.02%),2023-04-07,"2,456,884",3.91,8.38,28.93,13.49,-,70.97B
105,Boston Scientific Corporation,BSX,0.208691,50.01,-0.07,(-0.14%),2023-04-07,"9,623,397",0.45,2.15,112.29,23.27,-,71.36B
106,Schlumberger N.V.,SLB,0.20536,49.35,-0.27,(-0.54%),2023-04-07,"6,734,060",2.39,3.73,20.74,13.32,2.02%,69.95B
107,CME Group Inc. Class A,CME,0.204196,196.23,1.13,(0.58%),2023-04-07,"1,370,087",7.40,8.80,26.37,22.18,2.26%,69.24B
108,EOG Resources Inc.,EOG,0.203976,119.44,0.07,(0.06%),2023-04-07,"2,843,209",13.21,13.13,9.03,9.09,2.76%,69.49B
109,Northrop Grumman Corp.,NOC,0.198142,470.3,-0.09,(-0.02%),2023-04-07,"575,862",31.50,24.45,14.93,19.24,1.47%,71.88B
110,Lam Research Corporation,LRCX,0.194178,483.9,-9.89,(-2.00%),2023-04-07,"965,157",37.20,27.14,13.27,18.20,1.40%,66.79B
111,Aon Plc Class A,AON,0.193841,326.17,4.12,(1.28%),2023-04-07,"465,827",12.12,16.28,26.57,19.78,0.70%,65.59B
112,Equinix Inc.,EQIX,0.191491,718.19,6.96,(0.98%),2023-04-07,"272,740",7.67,10.46,92.67,67.99,1.92%,64.25B
113,Humana Inc.,HUM,0.189379,522.3,2.33,(0.45%),2023-04-07,"1,082,082",22.04,31.94,23.60,16.28,0.68%,65.42B
114,Micron Technology Inc.,MU,0.186213,61.46,2.9,(4.96%),2023-04-07,"21,496,506",1.39,0.46,42.07,127.30,0.79%,66.81B
115,Illinois Tool Works Inc.,ITW,0.185183,294.87,67.17,(29.50%),2023-04-07,"1,061,450",9.77,10.34,23.30,22.03,2.30%,68.39B
116,Colgate-Palmolive Company,CL,0.1842,75.7,0.02,(0.02%),2023-04-07,"3,261,912",2.12,3.41,35.63,22.19,2.54%,62.93B
117,CSX Corporation,CSX,0.183624,29.98,-0.05,(-0.15%),2023-04-07,"18,372,715",1.95,2.03,15.41,14.77,1.47%,61.01B
118,Air Products and Chemicals Inc.,APD,0.181979,281.72,-0.29,(-0.10%),2023-04-07,"869,173",10.13,12.49,27.82,22.57,2.48%,60.99B
119,Eaton Corp. Plc,ETN,0.181088,156.05,-0.2,(-0.13%),2023-04-07,"2,653,218",6.14,9.14,25.44,17.09,2.20%,61.45B
120,Waste Management Inc.,WM,0.177855,163.49,-0.17,(-0.10%),2023-04-07,"3,290,539",5.39,6.72,30.35,24.37,1.71%,65.90B
121,Activision Blizzard Inc.,ATVI,0.176869,85.37,0.15,(0.18%),2023-04-07,"6,623,777",1.92,4.15,44.43,20.52,0.55%,66.29B
122,Intercontinental Exchange Inc.,ICE,0.176292,108.58,0.33,(0.30%),2023-04-07,"3,104,254",2.57,5.97,42.10,18.12,1.55%,59.59B
123,Marathon Petroleum Corporation,MPC,0.170244,128.78,0.1,(0.07%),2023-04-07,"3,280,091",28.44,13.53,4.53,9.51,2.33%,56.45B
124,Crown Castle Inc.,CCI,0.169334,134.27,-0.15,(-0.11%),2023-04-07,"1,149,592",3.86,3.56,34.83,37.73,4.66%,57.69B
125,Freeport-McMoRan Inc.,FCX,0.167819,40.18,-0.12,(-0.29%),2023-04-07,"8,095,595",2.38,2.36,16.93,17.09,0.74%,56.64B
126,Synopsys Inc.,SNPS,0.166967,376.01,0.09,(0.02%),2023-04-07,"848,437",6.05,12.11,62.14,31.05,-,55.73B
127,HCA Healthcare Inc,HCA,0.166916,271.03,0.44,(0.16%),2023-04-07,"912,081",19.24,19.36,14.06,13.98,0.89%,73.82B
128,Cadence Design Systems Inc.,CDNS,0.166696,209.48,0.96,(0.46%),2023-04-07,"1,885,927",3.09,5.59,67.55,37.30,-,56.13B
129,3M Company,MMM,0.163331,101.68,0.12,(0.11%),2023-04-07,"2,419,240",10.14,9.51,10.01,10.68,5.91%,54.77B
130,Estee Lauder Companies Inc. Class A,EL,0.162884,241.03,-0.24,(-0.10%),2023-04-07,"1,317,478",4.12,7.31,58.49,33.01,1.09%,86.27B
131,FedEx Corporation,FDX,0.157063,227.05,-5.05,(-2.18%),2023-04-07,"3,675,742",11.60,18.33,20.02,12.67,1.98%,57.29B
132,O'Reilly Automotive Inc.,ORLY,0.156828,847.83,-13.3,(-1.54%),2023-04-07,"251,066",33.49,41.05,25.71,20.98,-,52.78B
133,Sherwin-Williams Company,SHW,0.153917,224.0,0.02,(0.01%),2023-04-07,"1,366,223",7.72,9.86,29.00,22.71,1.08%,55.81B
134,Moderna Inc.,MRNA,0.152108,158.57,0.3,(0.19%),2023-04-07,"2,618,731",19.96,-3.37,7.93,-,-,58.60B
135,KLA Corporation,KLAC,0.151191,374.0,-0.66,(-0.18%),2023-04-07,"746,807",24.32,19.17,15.40,19.55,1.39%,51.47B
136,Edwards Lifesciences Corporation,EW,0.150968,83.38,-0.5,(-0.59%),2023-04-07,"1,594,880",2.44,2.85,34.39,29.44,-,50.13B
137,General Mills Inc.,GIS,0.150138,86.5,-0.41,(-0.47%),2023-04-07,"3,556,228",4.63,4.48,18.76,19.41,2.49%,50.74B
138,General Dynamics Corporation,GD,0.149331,228.11,0.4,(0.17%),2023-04-07,"1,511,484",12.19,14.76,18.68,15.43,2.32%,62.08B
139,Valero Energy Corporation,VLO,0.148727,132.7,0.11,(0.08%),2023-04-07,"3,170,466",29.12,16.12,4.55,8.23,3.08%,47.87B
140,McKesson Corporation,MCK,0.147685,376.15,6.06,(1.64%),2023-04-07,"667,773",21.85,26.45,16.94,13.99,0.58%,50.92B
141,U.S. Bancorp,USB,0.145146,35.42,-0.34,(-0.94%),2023-04-07,"12,008,369",3.69,5.35,9.68,6.68,5.37%,53.85B
142,Pioneer Natural Resources Company,PXD,0.14404,207.47,-0.7,(-0.33%),2023-04-07,"1,694,771",31.01,23.39,6.71,8.90,13.09%,48.40B
143,Public Storage,PSA,0.14317,310.61,-0.18,(-0.06%),2023-04-07,"990,147",23.49,12.06,13.23,25.76,3.86%,53.28B
144,PNC Financial Services Group Inc.,PNC,0.143025,121.51,-0.38,(-0.31%),2023-04-07,"3,507,218",13.84,15.19,8.80,8.03,4.92%,48.69B
145,Sempra Energy,SRE,0.142069,154.0,-1.34,(-0.86%),2023-04-07,"1,187,732",6.62,9.59,23.47,16.20,3.06%,48.35B
146,American Electric Power Company Inc.,AEP,0.141852,95.21,0.32,(0.34%),2023-04-07,"2,991,555",4.50,5.64,21.08,16.83,3.50%,48.46B
147,Ford Motor Company,F,0.14117,12.35,0.02,(0.12%),2023-04-07,"36,355,779",-0.49,1.64,-,7.51,4.87%,47.94B
148,Dominion Energy Inc,D,0.140986,59.28,1.22,(2.09%),2023-04-07,"3,198,024",1.06,3.82,54.72,15.19,4.60%,48.30B
149,General Motors Company,GM,0.14058,34.55,-0.04,(-0.12%),2023-04-07,"10,068,150",6.13,6.34,5.64,5.45,1.04%,47.33B
150,Phillips 66,PSX,0.139656,102.68,-0.16,(-0.16%),2023-04-07,"3,808,311",22.93,13.27,4.48,7.75,4.08%,47.05B
151,Emerson Electric Co.,EMR,0.138698,83.44,0.14,(0.16%),2023-04-07,"2,966,573",4.48,4.50,18.59,18.51,2.50%,46.75B
152,Dollar General Corporation,DG,0.138412,212.46,0.02,(0.01%),2023-04-07,"1,094,690",10.68,12.55,19.89,16.93,1.11%,45.93B
153,AutoZone Inc.,AZO,0.138397,2521.0,-9.68,(-0.38%),2023-04-07,"142,670",122.14,146.03,20.72,17.33,-,45.58B
154,Motorola Solutions Inc.,MSI,0.138114,283.12,-0.34,(-0.12%),2023-04-07,"795,330",7.93,12.48,35.75,22.71,1.24%,46.67B
155,Moody's Corporation,MCO,0.13658,299.12,0.5,(0.17%),2023-04-07,"564,455",7.69,11.14,38.84,26.80,1.03%,53.82B
156,Norfolk Southern Corporation,NSC,0.136348,206.65,1.24,(0.60%),2023-04-07,"3,111,568",13.88,14.87,14.79,13.81,2.63%,46.09B
157,Chipotle Mexican Grill Inc.,CMG,0.135674,1701.0,15.79,(0.94%),2023-04-07,"217,779",32.06,51.22,52.56,32.90,-,45.57B
158,Roper Technologies Inc.,ROP,0.134446,435.26,-0.44,(-0.10%),2023-04-07,"363,451",9.23,17.31,47.21,25.17,0.63%,45.90B
159,Amphenol Corporation Class A,APH,0.134428,81.21,3.57,(4.59%),2023-04-07,"1,816,175",3.06,3.30,25.34,23.50,1.08%,45.57B
160,Kimberly-Clark Corporation,KMB,0.134246,133.73,-2.76,(-2.02%),2023-04-07,"1,465,654",5.72,6.75,23.87,20.23,3.46%,45.64B
161,Occidental Petroleum Corporation,OXY,0.133354,63.09,0.05,(0.08%),2023-04-07,"10,480,904",12.43,5.83,5.07,10.80,1.14%,56.52B
162,NXP Semiconductors NV,NXPI,0.128232,173.47,3.37,(1.98%),2023-04-07,"1,930,708",10.56,13.84,16.11,12.29,2.38%,42.99B
163,Marriott International Inc. Class A,MAR,0.127643,163.64,0.59,(0.36%),2023-04-07,"1,092,351",7.25,8.60,22.49,18.95,0.98%,49.34B
164,DexCom Inc.,DXCM,0.126387,112.25,-0.22,(-0.20%),2023-04-07,"1,835,195",0.80,1.46,140.41,77.19,-,42.79B
165,Truist Financial Corporation,TFC,0.126374,32.82,0.08,(0.24%),2023-04-07,"10,843,434",4.43,5.06,7.39,6.47,6.35%,43.16B
166,Archer-Daniels-Midland Company,ADM,0.12585,78.43,-0.31,(-0.39%),2023-04-07,"2,413,943",7.70,6.68,10.22,11.79,2.29%,42.92B
167,Microchip Technology Incorporated,MCHP,0.125651,78.55,-0.16,(-0.20%),2023-04-07,"3,417,147",3.70,6.23,21.26,12.63,1.82%,42.60B
168,Exelon Corporation,EXC,0.124698,43.12,0.06,(0.14%),2023-04-07,"8,745,500",2.08,2.51,20.70,17.18,3.34%,42.37B
169,Corteva Inc,CTVA,0.124478,59.73,-0.07,(-0.12%),2023-04-07,"3,045,880",1.65,3.47,36.29,17.24,1.00%,42.36B
170,Autodesk Inc.,ADSK,0.124179,196.82,-0.52,(-0.26%),2023-04-07,"1,174,501",3.78,8.36,52.26,23.61,-,41.05B
171,MSCI Inc. Class A,MSCI,0.124156,534.23,0.58,(0.11%),2023-04-07,"333,500",10.72,14.91,49.79,35.80,1.03%,41.89B
172,Fortinet Inc.,FTNT,0.123591,65.5,-0.02,(-0.03%),2023-04-07,"2,772,246",1.07,1.68,61.29,39.12,-,50.87B
173,Arthur J. Gallagher & Co.,AJG,0.121994,201.28,3.91,(1.98%),2023-04-07,"895,014",5.20,9.90,37.97,19.94,1.11%,41.89B
174,Ecolab Inc.,ECL,0.120621,166.87,-0.17,(-0.10%),2023-04-07,"1,102,448",3.81,5.81,43.83,28.75,1.27%,46.90B
175,Biogen Inc.,BIIB,0.120516,283.37,-3.43,(-1.20%),2023-04-07,"737,111",20.92,16.50,13.71,17.38,-,41.01B
176,Newmont Corporation,NEM,0.120395,51.65,-0.4,(-0.76%),2023-04-07,"8,461,312",-0.57,2.50,-,20.82,3.07%,41.20B
177,Agilent Technologies Inc.,A,0.118876,137.98,-0.06,(-0.04%),2023-04-07,"1,206,189",4.43,6.31,31.12,21.89,0.65%,39.68B
178,Parker-Hannifin Corporation,PH,0.116806,312.5,0.03,(0.01%),2023-04-07,"714,695",9.68,21.45,32.27,14.57,1.70%,40.13B
179,Monster Beverage Corporation,MNST,0.116467,52.51,-0.06,(-0.10%),2023-04-07,"5,512,176",1.40,1.76,37.46,29.83,-,53.37B
180,Travelers Companies Inc.,TRV,0.115344,175.13,3.86,(2.26%),2023-04-07,"787,160",11.76,16.82,14.57,10.18,2.17%,39.61B
