#,Company,Symbol,Weight,Price,Chg,% Chg,date,Volume,EPS (Trailing),EPS (Forward),P/E (Trailing),P/E (Forward),Dividend Yield,Market Cap
1,Apple Inc.,AAPL,7.136544,164.55,-0.11,(-0.07%),2023-04-07,"45,390,286",5.89,6.59,27.97,24.97,0.56%,2565.11B
2,Microsoft Corporation,MSFT,6.3255,291.72,0.12,(0.04%),2023-04-07,"29,770,367",8.99,10.75,32.42,27.12,0.93%,2138.61B
3,Amazon.com Inc.,AMZN,2.651518,101.91,-0.15,(-0.15%),2023-04-07,"43,808,510",-0.27,2.52,-,40.52,-,1032.77B
4,NVIDIA Corporation,NVDA,1.938229,270.58,0.21,(0.08%),2023-04-07,"39,765,456",1.74,6.01,155.30,44.96,0.06%,658.34B
5,Alphabet Inc. Class A,GOOGL,1.881812,108.28,-0.14,(-0.13%),2023-04-07,"48,761,785",4.49,6.08,24.16,17.84,-,1353.20B
6,Alphabet Inc. Class C,GOOG,1.647738,108.75,-0.15,(-0.14%),2023-04-07,"34,684,152",4.68,6.06,23.27,17.97,-,1392.75B
7,Berkshire Hathaway Inc. Class B,BRK.B,1.640823,312.56,0.05,(0.02%),2023-04-07,"3,139,950",-,17.79,-,17.57,-,683.84B
8,Tesla Inc.,TSLA,1.450418,185.01,-0.05,(-0.03%),2023-04-07,"123,859,318",3.62,5.47,51.05,33.83,-,551.17B
9,Meta Platforms Inc. Class A,META,1.401674,216.03,-0.08,(-0.03%),2023-04-07,"26,104,473",8.36,12.13,25.86,17.82,-,549.43B
10,UnitedHealth Group Incorporated,UNH,1.396286,513.04,0.23,(0.04%),2023-04-07,"3,472,553",21.18,28.28,24.21,18.13,1.29%,475.81B
11,Exxon Mobil Corporation,XOM,1.380656,115.08,0.03,(0.03%),2023-04-07,"15,777,959",13.27,9.88,8.67,11.65,3.16%,467.64B
12,Johnson & Johnson,JNJ,1.258278,165.03,-0.13,(-0.08%),2023-04-07,"9,615,410",6.74,10.89,24.51,15.17,2.74%,424.78B
13,JPMorgan Chase & Co.,JPM,1.089587,127.51,0.04,(0.03%),2023-04-07,"8,775,246",12.09,13.46,10.55,9.47,3.14%,370.70B
14,Visa Inc. Class A,V,1.070149,225.83,-0.17,(-0.07%),2023-04-07,"4,285,216",7.16,9.67,31.58,23.37,0.80%,458.74B
15,Procter & Gamble Company,PG,1.046495,152.12,-0.1,(-0.07%),2023-04-07,"5,399,743",5.69,6.33,26.73,24.04,2.40%,356.11B
16,Mastercard Incorporated Class A,MA,0.888751,361.24,-0.23,(-0.06%),2023-04-07,"2,357,712",10.22,14.50,35.36,24.93,0.63%,340.63B
17,Chevron Corporation,CVX,0.86912,167.56,-0.09,(-0.06%),2023-04-07,"5,803,171",18.26,14.91,9.18,11.24,3.60%,318.15B
18,Home Depot Inc.,HD,0.85719,288.4,-0.21,(-0.07%),2023-04-07,"3,193,442",16.69,16.81,17.29,17.16,2.90%,283.24B
19,Eli Lilly and Company,LLY,0.846419,368.01,-0.28,(-0.08%),2023-04-07,"3,531,708",6.91,11.72,53.30,31.42,1.23%,347.95B
20,AbbVie Inc.,ABBV,0.832565,161.12,-0.44,(-0.27%),2023-04-07,"5,498,466",6.63,11.11,24.37,14.54,3.66%,282.40B
21,Merck & Co. Inc.,MRK,0.829951,111.84,-0.5,(-0.44%),2023-04-07,"6,894,456",5.71,8.51,19.66,13.19,2.60%,283.90B
