#,Company,Symbol,Weight,Price,Chg,% Chg,date,Volume,EPS (Trailing),EPS (Forward),P/E (Trailing),P/E (Forward),Dividend Yield,Market Cap
175,IDEXX Laboratories Inc.,IDXX,0.121196,488.79,3.28,(0.67%),2023-03-27,"110,345",8.03,10.93,60.48,44.40,-,40.49B
176,Exelon Corporation,EXC,0.120464,40.7,0.46,(1.14%),2023-03-27,"2,820,253",2.08,2.50,19.35,16.06,3.58%,40.01B
177,Johnson Controls International plc,JCI,0.12019,62.6,4.37,(7.51%),2023-03-27,"2,053,407",1.83,4.02,31.73,14.48,2.47%,41.52B
178,Ecolab Inc.,ECL,0.119706,160.37,0.01,(0.01%),2023-03-27,"383,120",3.81,5.80,42.08,27.65,1.32%,46.85B
179,TE Connectivity Ltd.,TEL,0.119528,125.33,0.65,(0.52%),2023-03-27,"417,634",7.00,7.66,17.81,16.28,1.89%,39.99B
180,Monster Beverage Corporation,MNST,0.119207,103.8,-0.28,(-0.27%),2023-03-27,"920,463",2.23,3.54,46.57,29.43,-,54.59B
181,Arthur J. Gallagher & Co.,AJG,0.118628,186.48,0.82,(0.44%),2023-03-27,"299,856",5.20,9.90,35.72,18.75,1.18%,40.17B
182,Agilent Technologies Inc.,A,0.117483,135.5,3.54,(2.68%),2023-03-27,"751,883",4.43,6.31,29.75,20.93,0.68%,40.09B
183,Biogen Inc.,BIIB,0.117298,267.72,-2.31,(-0.86%),2023-03-27,"218,529",20.92,16.51,12.91,16.36,-,39.32B
184,Newmont Corporation,NEM,0.116089,48.27,-0.28,(-0.58%),2023-03-27,"3,456,122",-0.57,2.40,-,20.20,3.30%,36.66B
185,Realty Income Corporation,O,0.11514,60.78,-0.26,(-0.43%),2023-03-27,"2,289,832",1.42,1.46,42.99,41.92,5.01%,41.01B
186,Travelers Companies Inc.,TRV,0.114809,149.07,-15.8,(-9.60%),2023-03-27,"822,041",11.76,16.82,14.03,9.80,2.26%,39.94B
187,Sysco Corporation,SYY,0.113973,76.12,1.48,(1.98%),2023-03-27,"1,267,764",2.77,4.62,26.91,16.17,2.63%,38.70B
188,Cintas Corporation,CTAS,0.113548,441.13,4.78,(1.09%),2023-03-27,"158,155",12.29,14.15,35.50,30.85,1.05%,44.64B
189,Nucor Corporation,NUE,0.113296,144.25,-4.4,(-2.96%),2023-03-27,"773,951",29.05,11.97,5.12,12.42,1.37%,37.79B
190,Carrier Global Corp.,CARR,0.110804,45.06,1.14,(2.60%),2023-03-27,"979,672",4.09,2.84,10.74,15.47,1.68%,37.28B
191,L3Harris Technologies Inc,LHX,0.110674,196.39,3.26,(1.69%),2023-03-27,"559,384",5.46,13.25,35.37,14.57,2.36%,38.01B
192,TransDigm Group Incorporated,TDG,0.109976,714.39,10.5,(1.49%),2023-03-27,"121,101",14.69,26.76,47.91,26.30,-,39.61B
193,Hershey Company,HSY,0.109736,248.8,0.94,(0.38%),2023-03-27,"627,422",7.19,10.02,34.45,24.73,1.67%,50.96B
194,PACCAR Inc,PCAR,0.109671,71.06,1.16,(1.65%),2023-03-27,"1,018,920",5.17,5.62,13.52,12.43,1.43%,37.67B
195,Dow Inc.,DOW,0.109584,53.86,2.08,(4.02%),2023-03-27,"2,307,147",6.25,4.86,8.29,10.65,5.41%,37.31B
196,Charter Communications Inc. Class A,CHTR,0.109136,349.38,5.43,(1.58%),2023-03-27,"223,029",30.76,40.27,11.18,8.54,-,51.97B
197,Yum! Brands Inc.,YUM,0.108283,128.36,0.53,(0.42%),2023-03-27,"746,453",4.57,5.93,27.98,21.57,1.89%,36.15B
198,Xcel Energy Inc.,XEL,0.107878,64.29,-1.26,(-1.92%),2023-03-27,"1,211,430",3.17,3.61,20.67,18.17,3.17%,36.24B
199,MetLife Inc.,MET,0.107726,56.13,1.78,(3.27%),2023-03-27,"3,024,518",2.54,9.15,21.37,5.94,3.68%,44.25B
200,Aflac Incorporated,AFL,0.107,63.11,0.23,(0.36%),2023-03-27,"1,440,708",6.56,6.04,9.58,10.41,2.67%,39.24B
201,Constellation Brands Inc. Class A,STZ,0.106365,223.0,5.05,(2.32%),2023-03-27,"463,662",0.34,11.71,644.82,18.62,1.47%,41.12B
202,Centene Corporation,CNC,0.106268,65.28,1.23,(1.92%),2023-03-27,"1,272,659",2.03,7.20,31.51,8.90,-,35.67B
203,Ross Stores Inc.,ROST,0.106159,100.97,-0.36,(-0.35%),2023-03-27,"1,076,093",4.38,5.56,23.12,18.21,1.32%,35.30B
204,Hilton Worldwide Holdings Inc,HLT,0.105819,132.41,0.58,(0.44%),2023-03-27,"958,536",4.54,6.63,29.05,19.88,0.46%,35.59B
205,American International Group Inc.,AIG,0.105788,47.56,0.22,(0.47%),2023-03-27,"3,395,513",12.79,7.36,3.70,6.43,2.70%,37.08B
206,IQVIA Holdings Inc,IQV,0.105231,190.98,2.63,(1.40%),2023-03-27,"442,091",5.72,12.04,32.93,15.64,-,36.08B
207,Paychex Inc.,PAYX,0.104998,109.54,0.7,(0.64%),2023-03-27,"704,702",4.04,4.53,26.93,24.01,2.90%,39.65B
208,Williams Companies Inc.,WMB,0.104947,28.93,0.19,(0.65%),2023-03-27,"1,804,026",1.67,1.75,17.18,16.38,6.23%,35.66B
209,Capital One Financial Corp,COF,0.104069,92.37,1.92,(2.13%),2023-03-27,"771,753",17.82,15.11,5.08,5.98,2.65%,35.95B
210,Illumina Inc.,ILMN,0.104068,217.13,-2.87,(-1.31%),2023-03-27,"299,721",-28.06,3.12,-,70.40,-,34.82B
211,Hess Corporation,HES,0.102391,127.69,5.2,(4.24%),2023-03-27,"1,111,076",6.77,9.87,18.10,12.41,1.43%,38.28B
212,Simon Property Group Inc.,SPG,0.10192,103.5,0.02,(0.02%),2023-03-27,"1,154,955",6.52,6.12,15.87,16.92,6.96%,35.42B
213,Consolidated Edison Inc.,ED,0.101472,94.62,-0.46,(-0.48%),2023-03-27,"1,150,337",4.67,5.18,20.36,18.35,3.41%,33.99B
