#,Company,Symbol,Weight,Price,Chg,% Chg,date,Volume,EPS (Trailing),EPS (Forward),P/E (Trailing),P/E (Forward),Dividend Yield,Market Cap
309,Teledyne Technologies Incorporated,TDY,0.059998,427.63,2.67,(0.63%),2023-03-27,"71,975",16.53,20.82,25.71,20.41,-,20.21B
310,Dover Corporation,DOV,0.059692,171.0,29.56,(20.90%),2023-03-27,"430,499",7.27,9.77,19.47,14.47,1.43%,20.37B
311,Baxter International Inc.,BAX,0.059642,40.13,0.9,(2.28%),2023-03-27,"2,847,710",-4.83,3.29,-,11.92,2.96%,20.21B
312,Hologic Inc.,HOLX,0.059481,79.67,0.47,(0.59%),2023-03-27,"738,039",3.92,4.05,20.20,19.54,-,19.85B
313,PPL Corporation,PPL,0.059019,27.13,0.35,(1.29%),2023-03-27,"3,050,450",0.97,1.71,27.64,15.65,3.58%,20.00B
314,M&T Bank Corporation,MTB,0.058612,118.07,3.14,(2.73%),2023-03-27,"415,198",10.98,18.38,10.47,6.25,4.52%,20.11B
315,Clorox Company,CLX,0.058605,158.7,1.2,(0.76%),2023-03-27,"443,106",3.51,5.38,44.86,29.28,3.00%,19.56B
316,Laboratory Corporation of America Holdings,LH,0.058203,154.23,-64.2,(-29.39%),2023-03-27,"112,072",13.84,19.00,15.78,11.49,1.32%,19.85B
317,Equity Residential,EQR,0.057446,55.44,-0.55,(-0.98%),2023-03-27,"985,246",2.07,1.79,27.07,31.35,4.47%,21.69B
318,Alexandria Real Estate Equities Inc.,ARE,0.056871,119.15,-0.71,(-0.59%),2023-03-27,"419,125",3.17,3.79,37.79,31.67,4.04%,21.30B
319,VeriSign Inc.,VRSN,0.056474,201.7,-0.18,(-0.09%),2023-03-27,"208,649",6.24,8.16,32.34,24.73,-,21.26B
320,Take-Two Interactive Software Inc.,TTWO,0.056421,117.23,-0.89,(-0.75%),2023-03-27,"557,301",-2.26,5.23,-,22.59,-,19.80B
321,Coterra Energy Inc.,CTRA,0.056419,23.59,-0.09,(-0.38%),2023-03-27,"1,929,552",5.08,3.18,4.66,7.44,10.56%,18.44B
322,Darden Restaurants Inc.,DRI,0.05606,153.27,0.69,(0.45%),2023-03-27,"858,684",7.26,8.67,21.02,17.59,3.17%,18.80B
323,Cardinal Health Inc.,CAH,0.055483,71.29,0.92,(1.31%),2023-03-27,"793,619",-4.65,6.35,-,11.08,2.82%,18.36B
324,STERIS Plc,STE,0.055263,186.5,1.3,(0.70%),2023-03-27,"259,508",-0.29,8.78,-,21.09,1.02%,18.61B
325,Skyworks Solutions Inc.,SWKS,0.055217,112.64,-2.3,(-2.00%),2023-03-27,"457,768",7.33,10.80,15.69,10.64,2.16%,18.54B
326,Hewlett Packard Enterprise Co.,HPE,0.055198,15.01,0.78,(5.48%),2023-03-27,"3,935,118",0.64,2.15,22.13,6.62,3.37%,18.71B
327,McCormick & Company Incorporated,MKC,0.054926,74.05,1.18,(1.61%),2023-03-27,"1,172,085",2.52,2.83,28.87,25.72,2.14%,19.69B
328,Steel Dynamics Inc.,STLD,0.054111,110.8,2.41,(2.22%),2023-03-27,"1,090,404",20.80,8.51,5.21,12.73,1.57%,19.02B
329,Nasdaq Inc.,NDAQ,0.053915,53.2,0.13,(0.24%),2023-03-27,"554,706",2.26,2.92,23.46,18.17,1.51%,26.13B
330,Waters Corporation,WAT,0.053824,303.05,3.09,(1.03%),2023-03-27,"87,121",11.74,14.13,25.54,21.23,-,18.17B
331,Omnicom Group Inc,OMC,0.053755,88.61,0.98,(1.12%),2023-03-27,"822,157",6.37,7.73,13.75,11.34,3.20%,18.00B
332,CenterPoint Energy Inc.,CNP,0.053746,28.34,0.0,(0.01%),2023-03-27,"868,693",1.60,1.62,17.75,17.54,2.68%,18.02B
333,Xylem Inc.,XYL,0.053538,99.47,0.88,(0.89%),2023-03-27,"754,943",1.96,3.63,50.28,27.17,1.34%,18.23B
334,Las Vegas Sands Corp.,LVS,0.05351,54.15,-0.2,(-0.37%),2023-03-27,"1,201,169",-1.40,2.75,-,19.75,-,41.37B
335,Conagra Brands Inc.,CAG,0.053052,37.22,0.01,(0.01%),2023-03-27,"1,702,852",1.42,2.81,26.30,13.23,3.55%,17.91B
336,CMS Energy Corporation,CMS,0.053022,60.13,-0.3,(-0.50%),2023-03-27,"580,925",2.61,3.35,23.12,18.07,3.23%,17.77B
337,Southwest Airlines Co.,LUV,0.052915,30.17,0.54,(1.81%),2023-03-27,"2,777,451",0.79,3.81,37.51,7.77,2.43%,17.87B
338,Cooper Companies Inc.,COO,0.052786,300.0,-55.0,(-15.50%),2023-03-27,"208,038",7.55,14.40,47.00,24.66,0.02%,17.75B
339,Fifth Third Bancorp,FITB,0.052605,26.32,0.84,(3.30%),2023-03-27,"4,340,086",3.35,4.00,7.61,6.37,5.18%,18.34B
340,Northern Trust Corporation,NTRS,0.052384,85.01,1.58,(1.89%),2023-03-27,"533,791",6.14,7.55,13.59,11.05,3.60%,18.20B
341,Fair Isaac Corporation,FICO,0.052356,550.0,-141.0,(-20.40%),2023-03-27,"85,849",14.95,22.81,46.21,30.29,-,18.05B
342,Westinghouse Air Brake Technologies Corporation,WAB,0.052061,97.47,1.97,(2.06%),2023-03-27,"439,893",3.46,5.98,27.57,15.96,0.71%,17.76B
343,Raymond James Financial Inc.,RJF,0.051738,89.49,0.4,(0.44%),2023-03-27,"1,150,130",7.18,10.64,12.40,8.37,1.89%,19.50B
344,Invitation Homes Inc.,INVH,0.051143,27.33,-2.11,(-7.18%),2023-03-27,"919,848",0.63,0.74,47.03,40.00,3.53%,18.36B
345,Ventas Inc.,VTR,0.051055,42.25,-0.13,(-0.30%),2023-03-27,"1,514,443",-0.12,0.07,-,596.76,4.25%,17.63B
346,Cincinnati Financial Corporation,CINF,0.050851,108.5,1.9,(1.78%),2023-03-27,"401,832",-2.97,5.99,-,17.81,2.81%,17.71B
347,Regions Financial Corporation,RF,0.050452,18.13,0.25,(1.38%),2023-03-27,"8,886,374",2.28,2.55,7.85,7.01,4.47%,17.38B
348,Kellogg Company,K,0.050404,64.21,-1.26,(-1.92%),2023-03-27,"864,742",2.81,4.26,23.33,15.37,3.60%,22.51B
349,Expeditors International of Washington Inc.,EXPD,0.050012,105.53,1.04,(1.00%),2023-03-27,"740,413",8.23,5.15,12.69,20.30,1.28%,16.27B
350,Teradyne Inc.,TER,0.049982,105.51,-0.84,(-0.79%),2023-03-27,"425,300",4.22,5.17,25.20,20.56,0.41%,16.73B
351,Tyson Foods Inc. Class A,TSN,0.049953,58.43,1.37,(2.40%),2023-03-27,"1,337,685",6.73,5.47,8.48,10.43,3.36%,20.29B
352,Ball Corporation,BALL,0.049891,52.67,-0.3,(-0.56%),2023-03-27,"754,669",2.23,3.56,23.75,14.89,1.51%,16.86B
353,Mid-America Apartment Communities Inc.,MAA,0.049865,143.34,-0.0,(-0.00%),2023-03-27,"591,188",5.48,4.83,26.14,29.70,3.91%,17.19B
354,Broadridge Financial Solutions Inc.,BR,0.049756,140.8,0.2,(0.14%),2023-03-27,"450,089",4.49,7.53,31.31,18.66,2.06%,16.83B
355,J.M. Smucker Company,SJM,0.049755,156.44,1.75,(1.13%),2023-03-27,"433,292",6.66,9.47,23.24,16.33,2.64%,16.70B
356,IDEX Corporation,IEX,0.049503,221.96,2.52,(1.15%),2023-03-27,"137,757",7.72,9.17,28.41,23.93,1.09%,16.83B
357,Amcor PLC,AMCR,0.049279,11.03,0.1,(0.91%),2023-03-27,"2,876,918",0.71,0.82,15.35,13.39,4.48%,16.38B
358,NVR Inc.,NVR,0.049,5225.0,-188.0,(-3.47%),2023-03-27,"7,228",492.33,363.32,10.99,14.90,-,17.48B
359,Principal Financial Group Inc.,PFG,0.04899,72.47,0.88,(1.22%),2023-03-27,"434,477",18.82,7.55,3.80,9.48,3.58%,18.04B
360,PerkinElmer Inc.,PKI,0.048548,121.69,-5.89,(-4.62%),2023-03-27,"270,040",4.05,6.17,31.49,20.69,0.22%,16.59B
361,Quest Diagnostics Incorporated,DGX,0.047978,133.0,-7.06,(-5.04%),2023-03-27,"628,498",7.91,9.22,17.70,15.19,2.03%,15.88B
362,SolarEdge Technologies Inc.,SEDG,0.047912,284.88,0.36,(0.13%),2023-03-27,"293,457",1.66,11.61,171.50,24.50,-,17.07B
363,EPAM Systems Inc.,EPAM,0.047887,285.47,6.97,(2.50%),2023-03-27,"247,887",7.08,14.02,39.34,19.87,-,16.07B
364,Atmos Energy Corporation,ATO,0.047174,103.88,-5.5,(-5.03%),2023-03-27,"340,518",5.65,6.41,19.36,17.06,2.71%,15.61B
365,Molina Healthcare Inc.,MOH,0.046649,250.0,-17.7,(-6.62%),2023-03-27,"176,155",13.54,23.10,19.77,11.59,-,15.64B
366,Huntington Bancshares Incorporated,HBAN,0.046356,11.14,0.36,(3.38%),2023-03-27,"10,467,529",1.45,1.54,7.43,6.98,5.75%,16.82B
367,FactSet Research Systems Inc.,FDS,0.045963,370.5,-28.4,(-7.11%),2023-03-27,"142,047",10.96,16.45,36.41,24.25,0.89%,15.23B
368,Citizens Financial Group Inc.,CFG,0.045848,30.57,-0.54,(-1.72%),2023-03-27,"5,407,907",4.09,5.17,7.60,6.02,5.40%,15.91B
369,Targa Resources Corp.,TRGP,0.045704,70.02,2.5,(3.70%),2023-03-27,"395,614",3.89,6.65,17.38,10.15,2.07%,15.57B
370,Best Buy Co. Inc.,BBY,0.044961,74.8,0.48,(0.64%),2023-03-27,"689,511",6.30,7.05,11.79,10.55,4.95%,16.52B
371,Zebra Technologies Corporation Class A,ZBRA,0.044795,289.15,0.42,(0.15%),2023-03-27,"146,260",8.79,19.39,32.83,14.89,-,15.16B
372,AES Corporation,AES,0.044691,22.23,0.02,(0.09%),2023-03-27,"2,724,865",-1.19,1.92,-,11.56,2.99%,15.43B
373,Howmet Aerospace Inc.,HWM,0.044554,40.8,0.55,(1.35%),2023-03-27,"657,794",1.11,2.02,36.33,19.93,0.40%,17.12B
374,FLEETCOR Technologies Inc.,FLT,0.044546,246.89,46.07,(22.94%),2023-03-27,"204,607",12.42,19.71,16.17,10.19,-,15.13B
375,FMC Corporation,FMC,0.044432,118.43,0.74,(0.63%),2023-03-27,"306,827",6.57,8.86,17.91,13.28,1.97%,14.82B
376,Garmin Ltd.,GRMN,0.044358,96.52,0.6,(0.63%),2023-03-27,"643,378",5.04,5.75,19.01,16.69,3.04%,18.60B
377,Iron Mountain Inc.,IRM,0.044183,49.0,-1.45,(-2.87%),2023-03-27,"691,861",1.91,1.87,26.48,26.94,4.90%,15.20B
378,MarketAxess Holdings Inc.,MKTX,0.043541,381.48,-4.51,(-1.17%),2023-03-27,"156,578",6.65,8.88,58.07,43.49,0.75%,14.46B
379,Jacobs Solutions Inc.,J,0.043438,120.21,7.87,(7.00%),2023-03-27,"343,807",5.02,8.20,22.37,13.70,0.93%,14.78B
380,Mosaic Company,MOS,0.043402,43.65,1.26,(2.96%),2023-03-27,"1,440,682",9.99,5.89,4.24,7.20,1.89%,14.75B
381,Lamb Weston Holdings Inc.,LW,0.043119,100.97,0.78,(0.77%),2023-03-27,"753,223",3.27,4.45,30.64,22.52,1.12%,14.56B
382,Textron Inc.,TXT,0.042954,67.8,0.06,(0.09%),2023-03-27,"335,369",4.01,5.69,16.88,11.90,0.12%,14.17B
383,Bunge Limited,BG,0.042488,95.9,1.97,(2.09%),2023-03-27,"650,497",10.52,11.05,8.93,8.50,2.66%,14.79B
384,Marathon Oil Corporation,MRO,0.042324,22.96,0.8,(3.59%),2023-03-27,"4,910,658",5.19,4.43,4.27,5.01,1.81%,14.49B
385,Avery Dennison Corporation,AVY,0.041782,172.23,2.49,(1.47%),2023-03-27,"127,284",9.21,10.58,18.43,16.05,1.77%,14.20B
386,J.B. Hunt Transport Services Inc.,JBHT,0.04147,169.45,3.35,(2.02%),2023-03-27,"174,842",9.21,10.17,18.04,16.33,1.01%,17.67B
387,Tyler Technologies Inc.,TYL,0.041253,256.34,-73.1,(-22.20%),2023-03-27,"138,732",3.88,8.64,85.01,38.15,-,13.98B
388,Evergy Inc.,EVRG,0.041108,59.18,-0.27,(-0.45%),2023-03-27,"580,367",3.27,3.96,18.20,15.02,4.12%,13.80B
389,LKQ Corporation,LKQ,0.041067,54.43,0.63,(1.16%),2023-03-27,"941,578",4.09,4.38,13.15,12.29,2.04%,14.55B
390,Interpublic Group of Companies Inc.,IPG,0.040952,35.55,0.51,(1.44%),2023-03-27,"1,586,688",2.38,3.04,14.75,11.51,3.54%,13.62B
391,Cboe Global Markets Inc,CBOE,0.040928,131.73,2.45,(1.89%),2023-03-27,"228,673",2.18,7.48,59.22,17.28,1.55%,13.50B
392,CF Industries Holdings Inc.,CF,0.04089,69.91,0.61,(0.88%),2023-03-27,"1,496,183",16.32,8.28,4.25,8.37,2.31%,13.97B
393,Everest Re Group Ltd.,RE,0.040813,175.73,-169.0,(-49.04%),2023-03-27,"127,840",14.79,54.69,23.31,6.31,1.91%,14.31B
394,United Airlines Holdings Inc.,UAL,0.040659,42.12,0.76,(1.84%),2023-03-27,"1,119,218",2.08,10.12,19.85,4.09,-,13.70B
395,Expedia Group Inc.,EXPE,0.04053,91.35,0.81,(0.89%),2023-03-27,"1,530,972",2.13,11.61,42.47,7.80,-,14.14B
396,Etsy Inc.,ETSY,0.040286,105.29,-1.56,(-1.46%),2023-03-27,"1,647,863",-5.62,3.28,-,32.57,-,13.20B
397,Royal Caribbean Group,RCL,0.039934,60.59,-0.26,(-0.43%),2023-03-27,"675,457",-8.46,5.99,-,10.17,-,16.29B
398,NetApp Inc.,NTAP,0.039915,61.7,0.64,(1.05%),2023-03-27,"701,198",5.79,5.64,10.54,10.83,3.28%,13.17B
399,Paycom Software Inc.,PAYC,0.039698,273.41,1.85,(0.68%),2023-03-27,"154,482",4.84,9.23,56.10,29.43,-,16.57B
400,MGM Resorts International,MGM,0.039401,41.63,0.52,(1.27%),2023-03-27,"1,498,251",3.38,1.18,12.15,34.75,0.02%,15.63B
401,PulteGroup Inc.,PHM,0.039281,52.8,-3.86,(-6.82%),2023-03-27,"681,911",11.20,7.07,5.06,8.01,1.13%,12.91B
402,Incyte Corporation,INCY,0.039227,70.82,0.59,(0.84%),2023-03-27,"442,913",1.52,4.97,46.14,14.12,-,15.73B
403,Brown & Brown Inc.,BRO,0.039201,55.84,0.48,(0.87%),2023-03-27,"351,691",2.37,2.71,23.40,20.39,0.83%,16.12B
404,Alliant Energy Corp,LNT,0.039194,58.42,6.59,(12.71%),2023-03-27,"748,824",2.73,3.14,19.01,16.51,3.49%,13.09B
405,PTC Inc.,PTC,0.039022,123.32,1.62,(1.33%),2023-03-27,"318,930",2.89,5.25,42.10,23.16,-,14.48B
406,Essex Property Trust Inc.,ESS,0.038728,201.35,0.58,(0.29%),2023-03-27,"255,505",6.28,6.08,31.95,33.00,4.60%,13.25B
407,Pool Corporation,POOL,0.03819,328.39,3.16,(0.97%),2023-03-27,"110,875",18.76,17.97,17.34,18.10,1.23%,13.00B
408,Packaging Corporation of America,PKG,0.037583,72.51,-60.6,(-45.55%),2023-03-27,"208,448",11.01,9.21,12.09,14.46,3.76%,12.12B
409,Snap-on Incorporated,SNA,0.037544,259.2,24.81,(10.58%),2023-03-27,"132,148",16.82,17.76,13.93,13.20,2.76%,12.75B
410,International Paper Company,IP,0.037384,34.7,0.22,(0.64%),2023-03-27,"1,857,285",4.74,2.95,7.28,11.69,5.37%,12.29B
411,Leidos Holdings Inc.,LDOS,0.037358,91.47,0.09,(0.10%),2023-03-27,"631,065",4.95,7.42,18.48,12.32,1.58%,12.80B
412,Trimble Inc.,TRMB,0.036923,49.77,0.33,(0.67%),2023-03-27,"603,713",1.80,2.92,27.53,16.91,-,12.38B
413,Synchrony Financial,SYF,0.036916,29.32,1.28,(4.58%),2023-03-27,"2,374,321",6.11,5.34,4.59,5.25,3.28%,12.54B
414,W. R. Berkley Corporation,WRB,0.036703,61.23,1.2,(1.99%),2023-03-27,"469,657",4.95,5.72,12.14,10.50,0.67%,16.31B
415,Akamai Technologies Inc.,AKAM,0.036189,76.88,0.83,(1.10%),2023-03-27,"539,749",3.27,6.04,23.26,12.59,-,11.71B
416,Seagate Technology Holdings PLC,STX,0.036057,62.03,0.39,(0.63%),2023-03-27,"1,178,603",2.80,4.96,21.99,12.44,4.54%,12.76B
417,UDR Inc.,UDR,0.035618,38.61,-0.09,(-0.23%),2023-03-27,"559,741",0.25,0.64,152.36,60.94,3.93%,13.08B
418,Teleflex Incorporated,TFX,0.035175,260.14,11.21,(4.50%),2023-03-27,"179,116",7.67,14.58,32.45,17.07,0.55%,11.51B
419,Catalent Inc,CTLT,0.034868,67.74,3.47,(5.39%),2023-03-27,"932,936",2.26,3.51,28.44,18.32,-,12.28B
420,Healthpeak Properties Inc.,PEAK,0.034442,21.02,0.11,(0.50%),2023-03-27,"1,823,948",0.91,0.47,23.05,44.49,5.74%,11.79B
421,Bio-Techne Corporation,TECH,0.034368,74.82,2.28,(3.14%),2023-03-27,"345,352",1.61,2.37,45.11,30.67,0.44%,11.59B
422,Brown-Forman Corporation Class B,BF.B,0.034128,62.7,-0.26,(-0.41%),2023-03-27,"582,854",1.51,2.03,41.61,30.98,1.31%,30.55B
423,Viatris Inc.,VTRS,0.034084,9.44,0.11,(1.13%),2023-03-27,"4,229,734",1.71,2.90,5.47,3.22,5.14%,11.25B
424,Nordson Corporation,NDSN,0.033947,192.89,-17.1,(-8.13%),2023-03-27,"64,492",8.58,9.77,24.48,21.50,1.24%,12.16B
425,Western Digital Corporation,WDC,0.033918,35.24,-0.02,(-0.06%),2023-03-27,"2,159,314",-0.29,1.47,-,24.02,-,11.34B
426,BorgWarner Inc.,BWA,0.033872,47.69,0.31,(0.65%),2023-03-27,"592,447",3.99,5.72,11.87,8.29,1.44%,11.38B
427,Match Group Inc.,MTCH,0.033857,40.25,0.05,(0.12%),2023-03-27,"1,415,200",1.24,2.58,32.42,15.61,-,11.20B
428,C.H. Robinson Worldwide Inc.,CHRW,0.033799,95.77,0.29,(0.30%),2023-03-27,"241,025",7.29,5.19,13.09,18.39,2.56%,11.39B
429,APA Corporation,APA,0.033782,35.55,1.04,(3.00%),2023-03-27,"3,304,087",10.83,7.82,3.19,4.42,2.90%,11.09B
430,Wynn Resorts Limited,WYNN,0.03354,106.42,-0.17,(-0.15%),2023-03-27,"357,299",-3.71,4.13,-,25.81,-,12.16B
431,Hormel Foods Corporation,HRL,0.033519,38.89,0.24,(0.61%),2023-03-27,"1,454,901",1.78,1.87,21.74,20.65,2.85%,21.57B
432,Domino's Pizza Inc.,DPZ,0.033495,321.06,9.55,(3.07%),2023-03-27,"363,508",12.56,14.80,24.81,21.05,1.55%,11.15B
433,EQT Corporation,EQT,0.033426,30.48,-0.09,(-0.28%),2023-03-27,"3,113,888",3.29,5.61,9.29,5.45,1.96%,11.29B
434,KeyCorp,KEY,0.033346,12.5,0.64,(5.40%),2023-03-27,"3,635,332",1.92,2.21,6.17,5.37,6.91%,11.77B
435,Camden Property Trust,CPT,0.033141,114.3,14.41,(14.43%),2023-03-27,"214,264",6.04,1.80,16.55,55.34,4.00%,11.02B
436,Kimco Realty Corporation,KIM,0.033088,18.72,0.71,(3.94%),2023-03-27,"2,984,686",0.16,0.71,113.27,25.40,5.11%,11.57B
437,Campbell Soup Company,CPB,0.033083,54.77,0.23,(0.42%),2023-03-27,"868,921",2.70,3.14,20.19,17.36,2.71%,16.54B
438,Stanley Black & Decker Inc.,SWK,0.03285,76.48,2.23,(3.01%),2023-03-27,"908,386",0.97,5.16,76.31,14.40,4.31%,11.73B
439,Masco Corporation,MAS,0.032487,47.8,-0.26,(-0.53%),2023-03-27,"1,012,287",3.62,3.73,13.27,12.90,2.37%,11.07B
440,Host Hotels & Resorts Inc.,HST,0.03244,14.87,-0.2,(-1.29%),2023-03-27,"2,669,983",0.88,0.87,17.06,17.27,3.19%,11.12B
441,NiSource Inc,NI,0.032419,27.14,0.39,(1.47%),2023-03-27,"1,292,187",1.70,1.68,15.77,15.90,3.74%,11.23B
442,Henry Schein Inc.,HSIC,0.032276,79.67,0.5,(0.63%),2023-03-27,"337,863",3.89,5.81,20.34,13.63,-,10.51B
443,Jack Henry & Associates Inc.,JKHY,0.03227,149.19,1.95,(1.32%),2023-03-27,"194,421",4.82,5.33,30.54,27.62,1.41%,10.87B
444,Loews Corporation,L,0.031894,54.0,-0.56,(-1.02%),2023-03-27,"705,821",4.16,-,13.11,-,0.46%,13.37B
445,Juniper Networks Inc.,JNPR,0.031534,32.88,0.2,(0.61%),2023-03-27,"2,852,271",1.43,2.57,22.85,12.73,2.69%,10.67B
446,Ceridian HCM Holding Inc.,CDAY,0.03143,69.06,0.55,(0.80%),2023-03-27,"184,785",-0.48,1.62,-,42.34,-,10.54B
447,Qorvo Inc.,QRVO,0.031247,100.15,-0.78,(-0.77%),2023-03-27,"391,345",4.26,4.38,23.70,23.02,-,10.13B
448,Paramount Global Class B,PARA,0.030608,20.79,0.56,(2.74%),2023-03-27,"2,602,182",1.03,1.73,19.72,11.73,4.75%,13.48B
449,Fox Corporation Class A,FOXA,0.030391,33.7,0.64,(1.92%),2023-03-27,"1,957,837",2.72,3.24,12.17,10.20,1.51%,17.21B
450,Celanese Corporation,CE,0.030349,103.38,1.8,(1.77%),2023-03-27,"466,107",17.42,14.50,5.83,7.00,2.76%,11.41B
451,Charles River Laboratories International Inc.,CRL,0.029703,189.99,-3.8,(-1.96%),2023-03-27,"119,203",9.47,12.28,20.45,15.78,-,9.91B
452,Bio-Rad Laboratories Inc. Class A,BIO,0.029397,448.14,-12.6,(-2.74%),2023-03-27,"91,320",-121.14,18.11,-,25.44,-,13.75B
453,Tapestry Inc.,TPR,0.029169,42.97,2.72,(6.77%),2023-03-27,"1,353,432",3.36,4.24,11.99,9.50,2.98%,9.56B
454,Globe Life Inc.,GL,0.028936,101.0,-5.69,(-5.33%),2023-03-27,"238,764",7.48,11.23,14.27,9.50,0.84%,10.66B
455,Eastman Chemical Company,EMN,0.028714,86.64,7.06,(8.87%),2023-03-27,"405,642",6.29,8.87,12.65,8.97,3.97%,9.78B
456,Molson Coors Beverage Company Class B,TAP,0.028537,50.92,0.22,(0.42%),2023-03-27,"690,323",-0.82,4.31,-,11.76,3.23%,10.62B
457,Gen Digital Inc.,GEN,0.028316,16.74,0.34,(2.05%),2023-03-27,"3,253,120",0.90,2.04,18.14,8.03,3.05%,10.39B
458,Live Nation Entertainment Inc.,LYV,0.028073,67.28,1.33,(2.02%),2023-03-27,"692,699",0.54,1.27,123.27,51.89,-,15.58B
459,CarMax Inc.,KMX,0.027953,59.7,1.92,(3.31%),2023-03-27,"1,287,816",3.56,2.97,16.24,19.46,-,9.49B
460,Carnival Corporation,CCL,0.027865,8.86,-0.38,(-4.06%),2023-03-27,"34,946,606",-5.19,0.90,-,10.23,-,12.11B
461,Regency Centers Corporation,REG,0.027067,58.56,0.22,(0.38%),2023-03-27,"749,949",2.81,2.16,20.75,27.05,4.46%,10.28B
462,Caesars Entertainment Inc,CZR,0.027001,43.21,0.81,(1.92%),2023-03-27,"2,071,291",-2.40,2.35,-,18.03,-,9.44B
463,American Airlines Group Inc.,AAL,0.026892,13.95,0.23,(1.64%),2023-03-27,"7,624,947",0.11,2.87,124.73,4.78,-,9.03B
464,Allegion Public Limited Company,ALLE,0.026797,102.51,1.91,(1.89%),2023-03-27,"351,231",5.19,6.94,19.38,14.49,1.79%,9.08B
465,Pinnacle West Capital Corporation,PNW,0.026015,80.22,3.0,(3.88%),2023-03-27,"325,724",3.94,4.72,19.58,16.34,4.48%,8.86B
466,A. O. Smith Corporation,AOS,0.02567,67.56,0.82,(1.23%),2023-03-27,"536,562",1.48,3.59,45.03,18.59,1.80%,10.36B
467,Rollins Inc.,ROL,0.025492,36.75,0.13,(0.37%),2023-03-27,"556,427",0.75,0.94,48.89,39.12,1.42%,18.24B
468,Pentair plc,PNR,0.02548,41.78,-10.0,(-19.31%),2023-03-27,"787,919",2.92,3.99,17.75,12.99,1.70%,8.72B
469,F5 Inc.,FFIV,0.025145,139.72,-1.4,(-0.99%),2023-03-27,"147,085",4.97,13.23,28.41,10.66,-,7.78B
470,Robert Half International Inc.,RHI,0.024654,76.28,1.58,(2.12%),2023-03-27,"472,079",6.02,5.67,12.40,13.18,2.57%,8.23B
471,Bath & Body Works Inc.,BBWI,0.024335,36.23,0.62,(1.74%),2023-03-27,"1,304,349",3.42,3.64,10.42,9.77,2.25%,8.33B
472,DENTSPLY SIRONA Inc.,XRAY,0.024167,37.36,0.11,(0.28%),2023-03-27,"1,089,689",-4.42,2.23,-,16.67,1.50%,8.14B
473,Huntington Ingalls Industries Inc.,HII,0.02383,205.0,4.97,(2.48%),2023-03-27,"319,650",14.45,16.71,13.84,11.97,2.48%,8.21B
474,Universal Health Services Inc. Class B,UHS,0.023658,124.0,1.37,(1.12%),2023-03-27,"268,298",9.15,11.28,13.39,10.87,0.65%,8.79B
475,Franklin Resources Inc.,BEN,0.022587,26.2,-0.1,(-0.36%),2023-03-27,"955,724",1.97,2.69,13.37,9.79,4.56%,13.50B
476,NRG Energy Inc.,NRG,0.022213,32.21,0.72,(2.28%),2023-03-27,"2,038,488",4.86,5.45,6.48,5.78,4.80%,7.27B
477,WestRock Company,WRK,0.021783,29.03,0.42,(1.45%),2023-03-27,"671,884",3.14,3.21,9.11,8.92,3.84%,7.48B
478,Generac Holdings Inc.,GNRC,0.020833,110.05,-1.17,(-1.05%),2023-03-27,"205,434",5.41,8.12,20.54,13.69,-,7.03B
479,Boston Properties Inc.,BXP,0.02083,52.4,2.98,(6.02%),2023-03-27,"1,087,851",5.40,2.45,9.16,20.17,7.93%,8.12B
480,Whirlpool Corporation,WHR,0.020761,133.83,6.66,(5.24%),2023-03-27,"126,662",-28.02,18.20,-,6.99,5.50%,6.99B
481,Invesco Ltd.,IVZ,0.020513,15.39,0.34,(2.29%),2023-03-27,"1,675,289",1.49,1.93,10.11,7.82,4.98%,7.06B
482,Federal Realty Investment Trust,FRT,0.020344,94.96,2.45,(2.65%),2023-03-27,"365,838",4.62,2.61,20.01,35.49,4.67%,7.79B
483,V.F. Corporation,VFC,0.020192,21.06,0.77,(3.77%),2023-03-27,"1,833,741",1.06,2.22,19.05,9.15,5.91%,7.87B
484,Advance Auto Parts Inc.,AAP,0.020122,115.07,4.24,(3.82%),2023-03-27,"404,527",8.26,11.48,13.41,9.66,5.41%,6.71B
485,Sealed Air Corporation,SEE,0.019059,43.47,0.67,(1.55%),2023-03-27,"294,933",3.33,4.22,12.86,10.14,1.87%,6.26B
486,News Corporation Class A,NWSA,0.018969,16.52,0.3,(1.82%),2023-03-27,"635,867",0.51,0.74,31.80,21.92,1.23%,9.56B
487,Hasbro Inc.,HAS,0.01873,49.88,0.84,(1.70%),2023-03-27,"1,015,398",1.46,4.99,33.64,9.83,5.71%,6.78B
488,Assurant Inc.,AIZ,0.01801,114.48,1.71,(1.51%),2023-03-27,"137,241",5.04,13.47,22.36,8.37,2.48%,6.31B
489,Organon & Co.,OGN,0.016535,22.1,0.24,(1.10%),2023-03-27,"514,330",3.59,4.72,6.08,4.63,5.12%,5.57B
490,DXC Technology Co.,DXC,0.016088,23.88,0.52,(2.22%),2023-03-27,"570,343",2.94,4.00,7.96,5.84,-,5.45B
491,Comerica Incorporated,CMA,0.015939,43.08,2.68,(6.62%),2023-03-27,"3,921,990",8.47,9.76,4.77,4.14,7.03%,5.80B
492,Norwegian Cruise Line Holdings Ltd.,NCLH,0.01555,12.24,-0.28,(-2.24%),2023-03-27,"2,514,772",-5.42,1.59,-,7.89,-,5.51B
493,Mohawk Industries Inc.,MHK,0.014677,95.47,0.07,(0.07%),2023-03-27,"91,683",0.29,11.25,333.57,8.48,-,6.20B
