Symbol,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume
VICI,32.35,32.52,32.38 x 1000,32.39 x 800,32.27 - 32.58,26.42 - 35.69,"2,797,884","6,610,014"
CPRT,75.67,75.33,74.96 x 800,74.98 x 1100,74.74 - 75.57,51.10 - 76.23,"447,342","1,966,611"
PPG,138.32,137.26,137.75 x 900,137.84 x 1100,137.20 - 139.32,107.06 - 140.22,"558,828","1,486,963"
RMD,220.24,220.50,222.01 x 2200,222.13 x 800,220.13 - 222.38,189.40 - 253.67,"104,156","635,929"
KR,49.46,49.49,47.91 x 800,47.92 x 1300,47.60 - 49.60,41.82 - 62.78,"3,864,864","5,463,039"
DD,70.22,69.51,69.84 x 900,69.87 x 800,69.30 - 70.03,49.52 - 78.40,"993,409","3,203,118"
AME,139.06,138.06,136.34 x 900,136.38 x 800,135.65 - 138.51,106.17 - 148.06,"354,070","1,023,354"
AMP,300.23,296.32,295.84 x 1000,296.12 x 800,294.89 - 298.42,219.99 - 357.46,"235,176","630,649"
ROK,278.76,276.41,274.96 x 800,275.25 x 800,273.80 - 278.05,190.08 - 309.36,"313,250","705,304"
FIS,52.95,52.51,53.29 x 1000,53.32 x 900,52.59 - 53.52,48.57 - 106.65,"2,261,919","6,722,280"
DLTR,148.89,148.90,148.83 x 2200,148.85 x 800,148.48 - 149.43,124.76 - 177.19,"488,156","2,318,367"
CTSH,60.67,60.46,60.43 x 1200,60.46 x 800,60.25 - 61.17,51.33 - 89.32,"1,326,115","4,716,550"
PEG,61.43,61.59,62.92 x 900,62.94 x 1300,61.51 - 63.16,52.51 - 75.61,"885,526","2,508,965"
KHC,38.61,38.79,38.98 x 1200,38.99 x 1300,38.74 - 39.14,32.73 - 44.87,"1,640,462","6,745,737"
DHI,97.41,97.51,96.93 x 900,96.93 x 800,96.54 - 98.26,59.25 - 104.14,"1,443,104","2,993,086"
FAST,53.01,52.71,51.77 x 800,51.78 x 1000,51.51 - 52.84,43.73 - 59.83,"1,508,523","3,305,160"
PRU,82.24,80.92,82.50 x 800,82.50 x 800,80.92 - 82.60,75.37 - 122.54,"776,826","2,401,095"
HAL,33.23,33.26,32.83 x 1000,32.84 x 800,32.45 - 33.39,23.30 - 43.99,"2,921,890","9,767,950"
ALL,113.17,111.69,114.71 x 1000,114.78 x 800,111.14 - 115.04,103.20 - 144.46,"480,328","1,977,934"
KDP,35.36,35.50,35.57 x 3100,35.58 x 2200,35.49 - 35.88,33.35 - 41.31,"3,149,998","7,670,744"
WEC,94.79,95.36,97.58 x 900,97.62 x 800,95.31 - 97.91,80.82 - 108.39,"658,864","1,372,040"
VRSK,190.59,190.50,191.70 x 900,191.77 x 900,190.50 - 193.34,156.05 - 222.11,"352,728","1,092,845"
ODFL,328.72,326.23,322.54 x 800,323.02 x 800,321.61 - 326.79,231.31 - 381.81,"267,657","789,101"
GWW,656.68,650.57,640.83 x 800,641.39 x 800,637.00 - 653.17,440.48 - 709.21,"144,527","295,875"
GEHC,81.59,81.50,80.85 x 1100,80.96 x 2900,80.66 - 81.80,53.00 - 82.62,"511,898","2,679,427"
BKR,29.25,29.29,29.16 x 800,29.17 x 1100,28.97 - 29.51,20.42 - 38.66,"1,625,014","6,768,219"
OKE,65.04,65.20,65.46 x 800,65.46 x 800,64.84 - 65.67,50.50 - 75.07,"738,613","2,586,016"
APTV,107.22,106.20,104.58 x 1100,104.64 x 800,104.25 - 107.32,77.96 - 124.88,"431,514","1,839,239"
ANSS,328.76,327.27,324.39 x 900,325.18 x 800,323.46 - 328.37,194.23 - 333.89,"106,299","511,614"
AWK,147.13,148.17,150.03 x 800,149.99 x 1200,147.32 - 150.64,122.77 - 173.87,"288,450","1,234,688"
KEYS,157.30,156.49,155.70 x 2200,155.82 x 800,155.53 - 157.19,127.93 - 189.45,"320,970","1,187,600"
ULTA,546.17,544.90,534.56 x 900,535.26 x 1000,530.19 - 546.29,330.80 - 553.06,"389,279","583,245"
RSG,136.12,136.85,135.59 x 1100,135.62 x 1000,135.45 - 137.51,119.72 - 149.17,"365,070","1,556,891"
SBAC,256.74,257.00,259.38 x 800,259.64 x 900,256.74 - 260.57,236.20 - 379.99,"180,960","837,934"
CSGP,68.02,67.67,67.83 x 800,67.84 x 1300,67.67 - 68.15,53.51 - 85.37,"613,328","2,208,400"
ENPH,202.54,200.00,188.79 x 1000,189.09 x 1000,187.73 - 201.62,128.67 - 339.92,"2,314,715","4,274,131"
ES,78.05,78.56,80.15 x 800,80.20 x 800,78.17 - 80.62,70.54 - 94.63,"645,929","1,803,478"
GPN,103.31,102.40,103.18 x 1000,103.24 x 800,102.24 - 104.56,92.27 - 146.71,"855,956","1,826,629"
ZBH,127.92,128.37,128.85 x 800,128.87 x 1300,127.85 - 129.18,100.39 - 135.05,"361,345","1,417,998"
EIX,70.29,70.59,71.95 x 800,71.98 x 800,70.31 - 72.03,54.45 - 73.32,"638,310","2,097,411"
DLR,92.78,92.40,91.61 x 1000,91.66 x 1100,91.39 - 92.81,85.76 - 153.50,"1,186,183","2,273,686"
TSCO,239.59,237.54,233.29 x 800,233.54 x 800,233.00 - 238.89,166.49 - 242.02,"486,079","1,041,749"
ABC,162.97,163.97,166.86 x 900,167.00 x 1300,163.31 - 167.48,135.14 - 174.63,"550,636","1,286,781"
LEN,103.83,103.74,103.49 x 1100,103.54 x 1100,103.41 - 105.01,62.54 - 109.28,"597,368","2,270,608"
DFS,98.58,97.19,96.56 x 1000,96.56 x 900,96.36 - 97.99,87.64 - 121.17,"720,292","2,531,278"
GLW,34.43,34.19,34.28 x 800,34.29 x 1100,34.16 - 34.53,28.98 - 37.73,"886,135","4,340,791"
STT,74.62,73.57,74.73 x 800,74.75 x 900,73.43 - 74.96,58.62 - 94.74,"712,994","3,028,288"
FANG,141.65,142.33,141.25 x 1100,141.33 x 1100,140.61 - 143.74,103.71 - 168.95,"854,236","2,445,704"
PCG,16.13,16.19,16.26 x 3100,16.27 x 4000,16.14 - 16.31,9.64 - 16.83,"3,311,158","14,681,985"
WST,348.10,348.04,347.11 x 800,347.56 x 1000,345.80 - 349.72,206.19 - 424.00,"86,091","593,354"
WBA,35.85,35.71,36.00 x 1300,36.01 x 1100,35.71 - 36.03,30.39 - 47.28,"2,877,873","6,874,872"
CDW,189.27,188.42,187.69 x 900,187.82 x 900,187.41 - 189.36,147.91 - 215.00,"184,620","833,960"
HPQ,29.55,29.36,29.34 x 1100,29.35 x 900,29.26 - 29.70,24.08 - 41.47,"2,147,168","6,311,988"
WTW,234.23,232.97,236.07 x 900,236.26 x 800,232.97 - 236.38,187.89 - 258.93,"135,648","549,921"
ACGL,67.89,67.65,68.50 x 800,68.50 x 800,67.27 - 68.50,41.05 - 72.28,"460,145","2,133,178"
URI,359.13,352.20,349.07 x 1000,349.31 x 800,348.25 - 359.73,230.54 - 481.99,"847,826","899,416"
CEG,76.02,75.88,76.62 x 800,76.66 x 1000,75.69 - 76.94,52.64 - 97.89,"335,800","2,150,373"
TROW,110.60,109.69,108.96 x 800,109.04 x 800,108.86 - 110.41,93.53 - 153.01,"272,414","1,795,831"
IT,314.08,313.08,311.51 x 800,311.75 x 1000,311.11 - 317.39,221.39 - 358.25,"169,517","459,067"
EFX,202.11,201.46,201.01 x 800,201.22 x 800,200.75 - 202.71,145.98 - 234.14,"192,463","802,450"
ALB,209.57,200.96,195.65 x 900,195.93 x 1100,193.26 - 201.12,185.15 - 334.55,"2,828,199","1,684,478"
EBAY,44.33,44.25,43.95 x 800,43.96 x 1000,43.71 - 44.26,35.92 - 56.23,"1,178,836","4,891,652"
ALGN,326.85,324.44,316.59 x 1100,317.42 x 1100,314.16 - 324.44,172.05 - 431.27,"221,358","1,051,290"
LYB,93.43,92.45,93.26 x 1000,93.28 x 1100,91.92 - 93.35,71.46 - 117.22,"810,525","2,141,640"
GPC,164.84,164.64,163.00 x 800,163.11 x 1000,162.45 - 164.64,125.32 - 187.73,"199,857","1,193,639"
PWR,162.65,161.64,158.81 x 1200,158.96 x 800,158.29 - 162.27,106.33 - 168.75,"424,725","936,714"
AVB,166.29,165.93,166.87 x 800,166.88 x 800,165.60 - 167.32,153.07 - 258.81,"182,123","882,211"
FTV,65.52,65.11,64.65 x 800,64.68 x 800,64.50 - 65.20,52.47 - 69.78,"467,514","1,934,834"
IFF,90.08,89.54,89.61 x 800,89.65 x 1300,89.42 - 90.24,81.53 - 135.17,"363,570","2,185,670"
VMC,168.86,166.85,164.72 x 900,164.72 x 1000,164.29 - 167.95,137.54 - 197.76,"370,465","808,895"
IR,55.26,54.72,54.44 x 800,54.45 x 900,54.26 - 54.98,39.28 - 60.39,"3,550,730","2,464,095"
CBRE,70.91,70.23,69.90 x 1000,69.90 x 900,69.58 - 70.30,66.31 - 90.37,"768,949","1,643,949"
AEE,86.41,86.98,88.63 x 1200,88.66 x 900,86.81 - 88.98,73.28 - 99.20,"503,596","1,434,295"
PODD,319.91,319.18,317.52 x 900,318.03 x 900,315.83 - 319.93,181.00 - 326.74,"103,820","841,470"
WY,29.95,29.71,29.49 x 1300,29.50 x 800,29.45 - 29.81,27.37 - 42.86,"1,754,972","4,388,275"
HIG,69.06,68.29,69.32 x 1000,69.43 x 800,68.31 - 69.47,60.17 - 79.44,"434,123","2,281,183"
ETR,107.48,108.18,110.09 x 800,110.16 x 800,107.91 - 110.64,94.94 - 126.82,"398,425","1,420,129"
DAL,33.92,33.56,33.05 x 1000,33.06 x 1400,32.96 - 33.63,27.20 - 46.27,"4,054,637","10,130,680"
CHD,88.83,89.26,89.89 x 1000,89.89 x 900,89.16 - 90.49,70.16 - 105.28,"460,994","1,366,480"
FE,40.10,40.30,41.21 x 1000,41.22 x 1000,40.22 - 41.31,35.32 - 48.85,"1,245,073","3,955,880"
MPWR,483.01,478.74,470.51 x 800,472.12 x 1000,469.01 - 479.24,301.69 - 541.39,"217,434","512,659"
MLM,347.55,343.54,339.31 x 900,339.71 x 800,338.33 - 345.15,284.99 - 386.73,"130,241","389,893"
EXR,160.17,160.25,158.84 x 900,159.04 x 1100,158.32 - 161.32,139.97 - 222.36,"1,473,520","1,291,214"
MKC,85.14,85.68,85.27 x 800,85.24 x 800,85.15 - 86.23,70.60 - 105.19,"580,979","1,536,145"
DTE,108.71,109.13,111.55 x 900,111.62 x 1100,109.13 - 111.82,100.64 - 140.23,"472,916","1,251,011"
HPE,16.11,16.01,15.81 x 1100,15.82 x 4000,15.76 - 16.10,11.90 - 17.25,"4,190,313","13,797,877"
FSLR,208.14,207.53,200.44 x 1100,200.78 x 800,199.83 - 209.02,59.60 - 219.55,"904,109","2,470,775"
TDY,438.34,435.98,433.36 x 800,434.01 x 1000,432.77 - 437.78,325.00 - 493.97,"33,625","182,573"
BAX,40.50,40.69,41.56 x 2200,41.57 x 1100,40.61 - 41.81,37.35 - 80.58,"4,958,710","6,697,503"
LH,230.62,229.88,233.15 x 1000,233.35 x 800,229.21 - 233.79,200.32 - 280.72,"174,233","617,626"
DOV,145.07,143.85,142.16 x 800,142.32 x 800,142.00 - 144.58,114.49 - 160.66,"169,288","894,778"
EQR,59.39,59.27,59.62 x 800,59.64 x 800,59.05 - 59.72,54.60 - 94.32,"355,592","2,313,900"
PPL,27.55,27.65,28.22 x 900,28.23 x 1200,27.68 - 28.35,23.47 - 31.74,"1,606,906","5,741,814"
HOLX,80.79,80.96,81.85 x 900,81.92 x 800,80.64 - 82.03,59.78 - 86.65,"286,904","1,573,706"
CAH,76.66,77.04,78.45 x 1000,78.47 x 1100,76.93 - 78.55,49.70 - 81.57,"658,611","2,560,321"
VRSN,213.85,214.00,212.95 x 800,213.13 x 800,212.74 - 214.36,155.25 - 224.56,"180,299","591,245"
CTRA,25.09,25.20,25.09 x 1800,25.10 x 2200,24.82 - 25.33,22.25 - 36.55,"2,278,212","9,392,888"
MTB,117.18,115.49,116.59 x 1000,116.67 x 1100,114.77 - 117.44,110.00 - 193.42,"410,222","1,934,988"
ARE,124.02,123.57,123.84 x 1000,123.93 x 800,123.18 - 124.57,114.95 - 206.65,"191,853","1,112,562"
OMC,94.79,94.00,93.23 x 800,93.26 x 1000,92.67 - 94.00,61.31 - 96.52,"443,330","1,949,439"
TTWO,121.64,121.49,119.72 x 800,119.89 x 1000,118.99 - 121.49,90.00 - 152.00,"377,752","1,779,454"
CLX,155.90,156.71,157.06 x 800,157.19 x 800,156.01 - 158.64,120.50 - 160.59,"400,624","1,226,254"
STE,191.27,191.25,192.67 x 800,192.93 x 800,189.91 - 193.50,159.21 - 255.93,"82,442","546,365"
LVS,57.66,57.73,56.13 x 800,56.19 x 1000,56.08 - 57.73,28.88 - 60.99,"1,001,562","4,945,470"
LUV,31.72,31.40,31.21 x 900,31.22 x 2200,31.12 - 31.50,28.95 - 50.10,"1,536,216","6,714,585"
DRI,153.09,152.94,153.15 x 800,153.30 x 800,151.84 - 153.59,110.96 - 155.90,"463,822","1,289,980"
CNP,29.44,29.54,30.22 x 1400,30.23 x 1000,29.54 - 30.33,25.03 - 33.50,"1,685,291","3,920,216"
NDAQ,54.70,54.66,54.33 x 800,54.34 x 900,54.29 - 55.08,46.77 - 69.22,"954,922","2,532,596"
COO,370.06,368.72,371.98 x 800,372.43 x 900,365.44 - 373.00,244.22 - 424.36,"71,680","310,704"
XYL,101.18,100.21,100.02 x 1100,100.05 x 1100,99.83 - 101.06,72.08 - 118.58,"668,243","1,747,413"
SWKS,114.05,113.00,111.17 x 800,111.19 x 800,111.06 - 113.20,76.16 - 127.69,"541,150","1,840,801"
NTRS,87.00,86.28,87.48 x 800,87.51 x 1000,86.14 - 87.63,76.15 - 116.58,"243,110","1,221,662"
WAT,302.73,301.98,303.18 x 800,303.48 x 1100,300.95 - 305.20,265.61 - 369.00,"137,348","372,791"
INVH,31.25,31.19,31.35 x 800,31.36 x 1300,31.12 - 31.41,28.52 - 44.36,"654,971","3,222,914"
CAG,37.58,37.59,38.74 x 1000,38.75 x 1300,37.55 - 38.79,31.02 - 41.30,"4,835,007","4,424,172"
CMS,60.83,61.14,61.76 x 800,61.80 x 900,60.63 - 62.10,52.41 - 73.76,"2,054,069","1,892,921"
WAB,97.61,96.92,96.19 x 800,96.25 x 800,95.74 - 97.58,78.26 - 107.86,"463,077","969,372"
CINF,110.85,110.00,110.88 x 800,111.08 x 1100,109.62 - 111.13,88.66 - 143.22,"145,635","792,601"
FITB,25.61,25.11,25.47 x 1000,25.48 x 1400,24.98 - 25.74,22.11 - 41.87,"2,898,183","9,100,573"
RJF,90.16,88.81,88.88 x 900,88.87 x 800,88.70 - 89.88,84.86 - 126.00,"359,960","1,594,844"
TSN,59.68,59.83,59.75 x 1100,59.77 x 2200,59.57 - 60.35,55.81 - 99.54,"959,548","3,174,765"
FICO,689.29,687.53,678.28 x 800,680.93 x 1100,678.65 - 693.41,340.48 - 711.85,"26,879","292,678"
MAA,149.16,149.04,149.73 x 1100,149.91 x 1200,148.54 - 149.90,138.68 - 217.64,"155,697","789,483"
K,67.29,67.60,68.02 x 1000,68.03 x 800,67.29 - 68.15,63.74 - 77.17,"633,002","2,195,149"
RF,18.31,18.13,18.16 x 1000,18.17 x 3000,17.96 - 18.42,13.94 - 24.33,"3,642,708","11,929,608"
STLD,103.29,100.73,102.45 x 1300,102.53 x 800,100.74 - 104.65,62.44 - 136.46,"834,526","1,880,165"
BALL,54.25,54.17,53.66 x 900,53.71 x 800,53.55 - 54.54,46.00 - 89.89,"445,389","1,768,778"
EXPD,106.46,106.38,105.51 x 1000,105.56 x 1400,105.18 - 106.97,86.08 - 119.90,"268,010","1,430,154"
VTR,42.26,42.23,42.07 x 800,42.09 x 800,41.86 - 42.44,35.33 - 62.33,"866,852","2,228,908"
BR,143.53,143.13,141.56 x 800,141.61 x 800,141.08 - 143.90,131.35 - 183.33,"143,465","569,790"
AMCR,11.22,11.19,11.25 x 1100,11.26 x 4000,11.16 - 11.29,10.42 - 13.61,"1,778,351","8,149,419"
TRGP,74.68,74.63,74.40 x 800,74.43 x 900,73.50 - 74.86,55.56 - 81.50,"417,410","1,638,468"
PKI,131.89,131.39,133.70 x 800,133.79 x 900,130.49 - 134.30,113.46 - 174.10,"232,254","880,675"
IEX,222.23,221.11,217.76 x 800,217.91 x 1100,217.18 - 222.69,172.19 - 246.23,"106,725","379,998"
SJM,155.74,155.93,157.65 x 900,157.72 x 900,156.47 - 158.01,119.82 - 163.07,"226,040","970,254"
EPAM,291.06,288.23,282.05 x 1000,282.20 x 800,281.35 - 289.67,260.68 - 462.99,"261,008","447,459"
NVR,"5,526.81","5,539.30","5,500.00 x 1000","5,512.00 x 900","5,490.00 - 5,570.00","3,576.01 - 5,620.00","7,645","22,439"
PFG,72.40,71.60,72.60 x 1000,72.63 x 800,71.18 - 72.81,61.05 - 96.17,"913,032","1,944,139"
SEDG,292.77,290.82,277.13 x 900,277.29 x 800,275.36 - 293.75,190.15 - 375.90,"599,339","1,151,855"
MRO,25.73,25.61,25.42 x 1800,25.43 x 1400,25.13 - 25.73,19.42 - 33.42,"5,373,284","10,807,501"
TER,103.09,102.10,100.75 x 900,100.83 x 800,100.25 - 102.25,67.81 - 117.42,"571,559","1,643,447"
DGX,141.20,141.29,143.13 x 800,143.18 x 1300,141.00 - 143.25,120.40 - 158.34,"398,949","1,195,895"
ATO,111.15,111.47,113.78 x 1800,113.81 x 1100,111.92 - 114.11,97.71 - 122.96,"273,022","812,688"
AES,23.82,23.78,24.12 x 900,24.13 x 1300,23.79 - 24.24,18.62 - 29.89,"1,082,603","4,385,754"
ZBRA,308.71,308.48,299.71 x 1000,300.53 x 900,300.00 - 308.48,224.87 - 427.02,"66,633","362,350"
MOH,272.89,275.48,282.00 x 1200,282.25 x 900,274.37 - 282.43,249.78 - 374.00,"207,694","506,304"
MOS,46.19,45.88,45.40 x 1100,45.41 x 800,45.26 - 46.34,41.16 - 79.28,"1,564,356","4,326,854"
FDS,409.77,409.91,405.01 x 900,405.53 x 800,404.00 - 412.81,345.92 - 474.13,"75,854","240,795"
HBAN,10.98,10.76,10.88 x 1400,10.89 x 3000,10.71 - 11.03,9.94 - 15.74,"5,529,574","20,417,304"
BBY,77.84,77.40,76.09 x 800,76.12 x 1200,75.76 - 77.25,60.79 - 98.18,"987,573","2,401,809"
HWM,42.12,41.98,41.94 x 900,41.92 x 900,41.74 - 42.23,29.84 - 44.37,"1,433,390","3,065,116"
GRMN,100.08,99.75,98.33 x 1300,98.40 x 900,98.12 - 99.82,76.37 - 117.20,"156,722","981,580"
IRM,52.59,52.40,52.36 x 1000,52.41 x 900,52.15 - 52.88,43.33 - 58.61,"337,182","1,507,216"
FMC,121.59,121.27,120.44 x 1100,120.50 x 1000,120.23 - 121.66,98.24 - 140.99,"269,761","786,055"
FLT,206.78,205.57,205.52 x 1200,205.65 x 900,204.63 - 208.16,161.69 - 265.30,"123,759","607,734"
TYL,359.22,359.00,346.82 x 800,347.25 x 1100,346.45 - 356.98,281.11 - 440.07,"62,768","289,731"
LW,103.58,103.89,104.31 x 800,104.35 x 800,103.42 - 104.58,59.40 - 104.99,"689,404","1,349,337"
MKTX,392.29,386.75,346.53 x 900,347.18 x 900,342.30 - 387.87,217.44 - 399.78,"562,944","359,078"
J,113.54,113.01,112.71 x 1000,112.84 x 800,112.50 - 113.34,106.78 - 150.32,"100,733","665,131"
TXT,69.08,68.56,67.81 x 900,67.84 x 800,67.61 - 68.80,57.11 - 76.11,"494,239","1,442,621"
IPG,37.43,37.10,36.71 x 1800,36.72 x 800,36.17 - 37.20,25.14 - 39.52,"1,985,853","3,492,406"
AVY,175.37,174.81,176.16 x 800,176.26 x 800,175.01 - 176.38,151.62 - 204.37,"131,749","503,011"
CFG,29.17,28.55,28.56 x 1400,28.57 x 800,28.27 - 29.12,28.27 - 45.34,"3,395,458","6,269,232"
CF,72.87,72.16,71.46 x 1000,71.53 x 800,71.35 - 72.57,67.95 - 119.60,"921,800","2,877,921"
CBOE,135.24,135.00,135.34 x 800,135.43 x 1200,134.84 - 136.58,103.82 - 136.58,"160,695","703,686"
PAYC,292.78,291.00,282.88 x 800,283.01 x 900,281.37 - 293.26,255.82 - 402.78,"130,719","518,345"
BG,94.51,94.05,92.14 x 900,92.18 x 800,91.90 - 94.13,80.41 - 128.40,"639,928","1,916,481"
JBHT,171.14,170.55,168.88 x 800,168.96 x 800,168.58 - 171.82,153.92 - 200.64,"208,832","727,475"
LKQ,55.74,55.60,54.61 x 800,54.64 x 1000,54.42 - 55.60,43.37 - 59.33,"209,845","1,702,159"
RE,358.56,356.74,361.91 x 1200,362.45 x 2200,356.83 - 362.31,244.58 - 395.00,"65,926","295,083"
MGM,44.03,43.78,42.97 x 1200,42.98 x 800,42.85 - 43.94,26.41 - 46.24,"1,195,719","4,248,000"
EVRG,60.72,60.98,62.44 x 1100,62.46 x 800,60.98 - 62.68,54.12 - 73.13,"412,970","1,426,180"
EXPE,93.77,93.00,90.58 x 1000,90.61 x 1100,90.15 - 93.14,82.39 - 196.78,"897,570","2,681,693"
RCL,63.80,63.31,62.28 x 900,62.31 x 800,61.89 - 63.97,31.09 - 87.68,"1,161,747","3,845,111"
UAL,42.54,42.32,41.32 x 1100,41.33 x 1200,41.26 - 42.59,31.58 - 55.04,"4,149,290","8,566,491"
ETSY,109.64,108.72,106.15 x 1300,106.23 x 800,104.61 - 108.80,67.01 - 149.91,"1,169,827","3,273,375"
NTAP,62.69,62.42,62.15 x 800,62.17 x 900,62.06 - 62.99,58.08 - 81.00,"824,090","1,889,947"
BRO,57.79,57.60,58.54 x 800,58.57 x 900,57.51 - 58.60,52.82 - 73.86,"276,952","1,158,386"
PTC,127.60,127.45,126.63 x 900,126.87 x 1000,126.15 - 127.45,96.55 - 139.91,"213,386","720,186"
INCY,72.65,72.88,73.81 x 800,73.85 x 800,72.68 - 73.87,65.07 - 86.29,"427,617","1,630,044"
PHM,58.42,58.1600,58.40 x 800,58.41 x 1200,58.06 - 58.85,35.03 - 60.89,"614,122","2,680,931"
ESS,208.28,208.26,209.40 x 800,209.59 x 800,207.82 - 209.72,195.03 - 363.36,"92,475","546,559"
LNT,52.94,53.15,54.47 x 800,54.48 x 1200,53.15 - 54.66,47.19 - 65.37,"616,089","1,585,078"
PKG,138.93,138.92,139.10 x 800,139.18 x 900,138.09 - 139.61,110.56 - 168.50,"188,262","762,273"
POOL,327.48,325.00,320.84 x 1000,321.07 x 900,318.46 - 325.00,278.10 - 473.98,"213,937","429,178"
IP,35.36,35.10,35.21 x 1200,35.22 x 900,35.01 - 35.55,30.69 - 50.23,"781,953","3,161,868"
STX,65.34,64.79,64.14 x 1300,64.17 x 800,63.81 - 64.85,47.47 - 88.25,"493,608","2,547,909"
WRB,62.41,62.17,62.70 x 900,62.74 x 1200,61.97 - 62.95,58.92 - 76.99,"288,164","1,497,613"
SYF,28.93,28.51,28.13 x 900,28.14 x 900,28.02 - 28.85,27.15 - 41.88,"2,382,401","5,832,396"
SNA,236.74,235.11,230.71 x 800,230.89 x 800,229.78 - 235.54,190.08 - 259.78,"157,587","303,426"
TRMB,50.34,50.33,49.42 x 900,49.45 x 800,49.26 - 50.33,47.09 - 73.17,"235,049","1,283,526"
UDR,40.78,40.61,40.72 x 1100,40.73 x 800,40.51 - 41.02,37.18 - 60.01,"653,365","2,478,265"
LDOS,91.59,91.39,91.61 x 800,91.60 x 1200,91.36 - 92.38,87.24 - 111.12,"257,595","938,714"
APA,38.10,37.89,37.52 x 800,37.53 x 800,37.15 - 38.15,30.15 - 51.95,"2,294,481","6,185,124"
AKAM,77.57,77.71,77.07 x 900,77.11 x 900,76.93 - 77.74,70.65 - 123.25,"268,567","1,717,034"
TFX,256.09,256.18,260.84 x 900,261.23 x 800,254.13 - 261.13,182.65 - 349.39,"77,747","342,795"
PEAK,21.68,21.56,21.62 x 2200,21.63 x 1000,21.57 - 21.86,20.21 - 35.72,"1,472,010","4,589,139"
KIM,19.34,19.15,19.15 x 3100,19.16 x 2900,19.02 - 19.25,17.34 - 26.57,"1,092,818","4,827,157"
EQT,32.48,32.69,32.07 x 800,32.09 x 900,31.67 - 32.82,28.11 - 51.97,"1,892,243","7,000,555"
HRL,40.90,41.09,40.88 x 800,40.89 x 900,40.84 - 41.35,37.78 - 55.11,"739,633","2,038,870"
DPZ,328.97,329.05,328.19 x 900,328.54 x 800,327.60 - 332.48,291.00 - 426.44,"245,368","837,347"
WYNN,112.10,111.41,108.74 x 900,108.78 x 1100,108.16 - 111.95,50.20 - 117.17,"802,956","2,529,211"
TECH,73.80,73.74,74.45 x 800,74.50 x 800,72.58 - 74.53,68.00 - 113.81,"192,819","989,981"
VTRS,9.53,9.52,9.63 x 4000,9.64 x 3200,9.51 - 9.69,8.42 - 12.40,"7,416,670","9,569,562"
HST,16.16,16.14,16.03 x 2200,16.04 x 3200,15.99 - 16.18,14.51 - 21.63,"1,470,675","7,610,691"
NDSN,214.65,213.82,210.69 x 900,210.96 x 900,210.18 - 214.02,194.89 - 251.26,"58,102","275,391"
WDC,35.94,35.58,34.78 x 900,34.79 x 2200,34.74 - 35.58,29.73 - 63.26,"2,527,753","4,345,227"
CPT,103.58,103.25,103.70 x 800,103.90 x 900,103.29 - 104.17,97.74 - 175.69,"179,616","910,295"
SWK,77.13,76.46,74.26 x 800,74.32 x 1000,73.91 - 76.59,70.24 - 147.37,"751,180","1,907,416"
BWA,47.43,47.15,46.42 x 800,46.43 x 1000,46.24 - 47.11,31.14 - 51.14,"630,658","2,076,093"
CTLT,62.25,61.60,62.13 x 900,62.18 x 800,61.06 - 62.43,40.69 - 115.33,"389,218","2,324,104"
NI,27.76,27.85,28.42 x 1800,28.43 x 1100,27.81 - 28.58,23.78 - 32.59,"1,143,577","3,971,791"
HSIC,82.49,82.64,83.08 x 900,83.13 x 800,82.40 - 83.14,64.75 - 92.68,"236,516","880,468"
CHRW,94.67,94.63,93.83 x 1000,93.88 x 800,93.39 - 95.43,86.60 - 121.23,"408,581","1,466,268"
CPB,54.61,54.89,55.52 x 1000,55.53 x 800,54.86 - 55.66,44.35 - 57.78,"867,155","2,420,242"
CDAY,72.51,71.94,69.68 x 900,69.75 x 1300,69.44 - 72.22,43.23 - 79.66,"349,800","1,199,375"
KEY,11.73,11.51,11.46 x 2200,11.47 x 3000,11.22 - 11.67,9.61 - 22.17,"13,487,015","20,718,418"
JNPR,34.14,34.17,34.01 x 1800,34.02 x 900,33.96 - 34.38,25.18 - 37.18,"868,616","3,742,067"
L,56.21,55.76,56.01 x 800,56.03 x 1000,55.60 - 56.32,49.36 - 68.20,"186,832","904,990"
MAS,48.54,48.22,47.54 x 1000,47.56 x 800,47.37 - 48.46,42.33 - 58.18,"824,943","1,906,698"
PARA,21.61,21.32,20.97 x 900,20.98 x 3200,20.90 - 21.40,15.29 - 37.00,"4,088,646","11,333,272"
JKHY,148.81,148.66,147.76 x 800,147.93 x 800,147.45 - 149.70,139.28 - 212.62,"143,682","612,395"
CE,106.25,105.22,105.28 x 1100,105.37 x 900,104.36 - 105.72,86.71 - 161.37,"258,546","1,141,977"
MTCH,37.03,36.77,35.71 x 800,35.75 x 800,35.39 - 36.77,34.62 - 106.66,"1,925,606","4,199,288"
FOXA,33.87,33.57,33.58 x 800,33.59 x 800,33.44 - 33.92,28.01 - 40.12,"930,957","2,902,359"
CZR,48.84,48.25,45.55 x 900,45.56 x 900,45.33 - 48.44,31.31 - 75.78,"1,477,263","3,046,919"
KMX,63.50,62.97,61.39 x 900,61.43 x 800,61.15 - 63.37,52.10 - 106.24,"829,081","2,298,665"
TPR,42.16,41.74,40.74 x 800,40.76 x 800,40.48 - 41.99,26.39 - 47.48,"1,257,325","3,333,559"
