Symbol,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume
UPS,190.61,189.84,190.94 x 800,190.90 x 1000,189.81 - 191.88,154.87 - 209.39,"771,716","3,141,514"
INTC,33.10,32.79,32.66 x 1800,32.67 x 3200,32.33 - 32.99,24.59 - 48.90,"18,190,815","47,948,755"
QCOM,122.30,121.42,121.69 x 900,121.69 x 1000,121.25 - 122.57,101.93 - 156.66,"2,420,839","7,721,049"
AMGN,247.53,248.57,252.61 x 1100,252.79 x 800,248.23 - 253.16,223.30 - 296.67,"1,036,156","2,539,119"
COP,106.30,106.91,107.17 x 1100,107.22 x 1000,105.93 - 107.45,78.30 - 138.49,"1,832,417","6,870,859"
HON,190.94,190.29,190.25 x 900,190.29 x 900,189.41 - 191.01,166.63 - 220.96,"1,020,199","3,163,740"
INTU,439.81,439.63,436.18 x 800,436.81 x 900,432.01 - 439.63,339.36 - 498.45,"523,374","1,617,073"
LOW,203.00,203.01,199.31 x 800,199.36 x 800,198.99 - 203.30,170.12 - 223.31,"852,905","3,130,340"
BA,213.90,212.23,210.09 x 1300,210.31 x 900,209.50 - 214.23,113.02 - 221.33,"1,944,831","6,204,909"
UNP,195.88,195.13,194.87 x 900,194.84 x 1200,194.14 - 196.28,183.69 - 250.52,"696,925","3,653,283"
SBUX,104.00,103.98,104.54 x 1100,104.55 x 1100,103.93 - 105.70,68.39 - 110.83,"2,241,205","6,081,829"
IBM,131.60,131.37,132.27 x 1100,132.33 x 1100,131.47 - 132.61,115.55 - 153.21,"931,550","5,197,360"
PLD,124.08,123.76,123.10 x 800,123.11 x 800,122.91 - 124.31,98.03 - 174.54,"710,698","3,054,937"
SPGI,346.41,345.76,345.43 x 800,345.79 x 800,344.72 - 348.55,279.32 - 416.36,"291,735","1,432,877"
ELV,475.43,478.77,482.79 x 1000,483.15 x 800,474.05 - 484.64,440.02 - 549.52,"488,382","1,129,214"
CAT,217.45,216.20,213.95 x 900,214.15 x 900,213.23 - 217.88,160.60 - 266.04,"1,733,304","3,394,465"
LMT,488.54,488.00,492.24 x 1100,492.43 x 800,487.29 - 493.83,373.67 - 498.95,"527,531","1,483,837"
MS,84.82,83.83,83.78 x 1800,83.82 x 1300,83.20 - 84.53,72.05 - 100.99,"2,151,047","8,048,542"
GS,322.65,319.62,320.45 x 800,320.55 x 1400,319.37 - 322.20,277.84 - 389.58,"449,123","3,055,039"
DE,397.66,393.37,375.88 x 1000,376.08 x 800,373.02 - 394.20,283.81 - 448.40,"1,467,610","1,541,786"
MDT,79.47,79.73,80.05 x 800,80.07 x 800,79.07 - 80.22,75.77 - 114.31,"1,762,761","6,232,481"
GE,95.05,94.98,93.96 x 1300,94.08 x 1400,93.77 - 95.32,46.78 - 97.87,"4,380,147","7,848,573"
GILD,82.12,82.30,83.55 x 1200,83.59 x 1200,81.94 - 83.65,57.17 - 89.74,"1,607,667","6,222,832"
BKNG,"2,638.33","2,633.02","2,592.54 x 800","2,598.34 x 800","2,590.00 - 2,635.15","1,616.85 - 2,677.18","111,892","328,611"
AMAT,120.12,119.59,116.59 x 800,116.59 x 900,115.92 - 118.86,71.12 - 125.62,"2,256,017","6,581,970"
ADI,195.12,194.36,190.33 x 900,190.39 x 900,189.70 - 194.51,133.48 - 198.25,"1,174,305","3,461,993"
BLK,659.11,652.38,654.13 x 800,655.07 x 800,651.28 - 656.87,503.12 - 785.65,"153,670","728,818"
CVS,76.25,76.39,77.05 x 900,77.05 x 800,76.10 - 77.30,72.11 - 107.73,"3,229,957","9,311,859"
AXP,161.96,160.56,160.67 x 900,160.76 x 1000,160.19 - 161.60,130.65 - 192.42,"922,100","3,692,272"
SYK,287.10,287.25,288.84 x 900,289.14 x 800,286.79 - 289.90,188.84 - 290.12,"408,990","1,341,293"
NOW,476.05,475.75,465.40 x 800,466.02 x 900,460.29 - 476.00,337.00 - 542.82,"487,385","1,651,172"
MDLZ,70.52,70.94,71.39 x 1000,71.40 x 900,70.85 - 71.54,54.72 - 71.54,"2,087,828","6,047,977"
AMT,203.45,203.51,206.70 x 800,206.88 x 1000,203.44 - 207.50,178.17 - 282.47,"714,400","2,125,057"
TJX,78.64,78.70,78.21 x 800,78.21 x 800,78.11 - 78.74,53.69 - 83.13,"1,059,384","5,354,444"
ISRG,254.71,254.23,257.16 x 1300,257.37 x 1000,253.74 - 257.88,180.07 - 308.00,"429,259","1,715,559"
C,46.09,45.47,45.56 x 1200,45.57 x 1000,45.31 - 46.19,40.01 - 54.56,"5,606,020","20,373,626"
ADP,214.04,213.41,212.54 x 800,212.73 x 800,211.32 - 214.56,196.61 - 274.92,"933,811","2,133,790"
REGN,822.09,824.70,834.16 x 1100,834.92 x 1300,823.86 - 837.55,538.01 - 837.55,"203,179","650,534"
TMUS,146.31,147.02,148.45 x 900,148.46 x 800,147.05 - 148.97,120.90 - 154.38,"2,407,634","5,232,008"
PYPL,75.26,75.11,73.33 x 800,73.34 x 1100,73.11 - 75.11,66.39 - 115.52,"4,754,211","12,779,647"
PGR,144.18,143.64,146.72 x 800,146.74 x 900,143.85 - 146.99,106.35 - 146.99,"804,147","2,471,465"
MMC,167.72,167.69,168.65 x 800,168.70 x 800,167.44 - 169.46,143.33 - 183.14,"438,642","1,648,959"
CB,195.46,194.32,196.38 x 800,196.46 x 900,194.50 - 197.13,173.78 - 231.37,"344,766","1,897,047"
VRTX,314.42,316.40,319.18 x 800,319.28 x 800,314.33 - 319.48,233.01 - 325.19,"292,031","1,274,909"
MO,44.45,44.46,44.48 x 1800,44.49 x 900,44.19 - 44.70,40.35 - 57.05,"2,451,800","8,567,667"
ZTS,167.07,167.00,167.92 x 900,168.04 x 1800,166.35 - 168.60,124.15 - 201.32,"347,172","2,182,749"
CI,256.54,258.70,264.07 x 800,264.14 x 800,257.15 - 264.95,240.11 - 340.11,"1,131,724","1,778,744"
TGT,166.05,165.80,164.78 x 1000,164.92 x 800,164.06 - 166.99,137.16 - 254.87,"1,071,224","3,233,909"
SCHW,50.00,49.07,48.61 x 800,48.62 x 900,48.56 - 49.37,45.00 - 86.63,"18,684,478","22,883,285"
SO,69.63,70.00,71.30 x 1400,71.33 x 800,69.77 - 71.56,60.71 - 80.57,"2,046,666","4,416,288"
DUK,96.23,97.00,98.55 x 800,98.54 x 1000,96.77 - 98.84,83.76 - 116.33,"2,013,659","3,113,922"
SLB,50.46,50.58,50.36 x 1100,50.36 x 800,49.91 - 51.15,30.65 - 59.45,"3,898,836","9,985,426"
BSX,50.07,50.18,50.78 x 1400,50.79 x 1800,50.14 - 50.87,34.98 - 50.87,"2,922,313","7,909,970"
FISV,111.59,111.29,111.72 x 900,111.73 x 800,111.10 - 112.45,87.03 - 119.48,"694,785","3,637,624"
BDX,248.25,249.41,251.29 x 800,251.38 x 800,248.60 - 251.68,215.90 - 277.29,"241,649","1,094,301"
EOG,119.62,120.02,118.89 x 800,118.96 x 1000,117.82 - 120.59,92.16 - 150.88,"1,364,371","3,988,309"
CME,193.04,193.38,194.56 x 800,194.58 x 900,193.15 - 195.32,166.55 - 247.02,"454,653","1,918,254"
LRCX,504.29,499.90,489.46 x 800,490.11 x 900,487.90 - 499.90,299.59 - 548.85,"661,172","1,302,696"
NOC,468.10,467.22,471.75 x 800,472.24 x 1000,467.85 - 473.30,430.94 - 556.27,"250,983","1,117,132"
AON,318.85,319.91,320.70 x 900,320.98 x 800,317.56 - 322.87,246.21 - 341.98,"255,402","862,209"
EQIX,710.48,710.00,713.17 x 800,714.03 x 1200,710.00 - 718.40,494.89 - 776.35,"154,913","401,906"
ITW,234.49,232.91,230.44 x 1000,230.62 x 800,230.03 - 233.43,173.52 - 253.37,"353,311","1,118,690"
ETN,162.25,160.53,158.83 x 1000,158.89 x 900,158.38 - 161.26,122.50 - 178.75,"848,390","2,032,504"
APD,285.25,283.73,285.04 x 800,285.22 x 900,283.19 - 286.89,218.88 - 328.56,"271,070","1,149,019"
HUM,503.31,507.75,508.88 x 800,508.90 x 800,502.47 - 509.80,410.87 - 571.30,"605,553","1,058,772"
MU,57.27,56.82,56.30 x 900,56.33 x 800,56.01 - 56.83,48.43 - 76.23,"9,658,953","15,457,214"
CL,74.73,75.33,75.78 x 800,75.79 x 800,75.47 - 76.09,67.84 - 83.81,"1,461,970","4,508,673"
CSX,29.51,29.47,29.35 x 1400,29.36 x 3200,29.27 - 29.69,25.80 - 38.17,"5,248,149","13,935,800"
WM,163.53,164.28,163.05 x 900,163.12 x 800,162.86 - 165.29,138.89 - 175.98,"587,975","1,894,285"
ATVI,85.11,85.20,85.20 x 1000,85.20 x 800,84.90 - 85.65,70.94 - 85.74,"2,317,322","6,684,660"
ICE,106.04,106.46,105.73 x 1000,105.75 x 800,105.53 - 107.19,88.60 - 132.30,"1,133,080","2,830,411"
SNPS,384.93,383.25,378.13 x 900,378.56 x 800,377.58 - 384.48,255.02 - 392.79,"416,095","792,972"
CDNS,211.51,210.12,207.58 x 800,207.69 x 900,207.26 - 211.08,132.32 - 214.14,"468,800","1,759,736"
CCI,133.69,134.00,135.04 x 1000,135.11 x 800,133.42 - 135.34,121.71 - 199.97,"384,158","2,010,844"
FCX,40.26,39.87,39.71 x 1000,39.72 x 3000,39.57 - 40.21,24.80 - 51.34,"4,205,931","13,044,031"
MPC,125.82,125.50,130.31 x 1300,130.35 x 1200,125.06 - 130.39,77.62 - 138.83,"2,552,510","3,970,345"
EL,244.56,244.21,241.60 x 900,241.84 x 800,241.15 - 245.37,186.47 - 285.79,"329,768","1,426,039"
HCA,267.23,266.70,269.34 x 1200,269.35 x 800,266.22 - 270.26,164.47 - 279.02,"353,949","1,263,277"
MMM,102.25,102.36,101.84 x 1100,101.85 x 3000,101.70 - 102.76,100.16 - 154.66,"1,095,723","3,653,301"
KLAC,392.85,388.30,380.09 x 800,380.46 x 800,379.00 - 388.91,250.20 - 429.46,"266,986","1,170,239"
ORLY,864.44,864.18,860.52 x 800,861.52 x 1000,859.28 - 868.21,562.90 - 873.94,"108,954","462,277"
SHW,223.24,222.40,220.81 x 800,220.94 x 800,220.71 - 224.68,195.24 - 285.00,"463,637","1,641,532"
FDX,226.49,232.10,228.75 x 1800,228.73 x 1300,227.91 - 235.64,141.92 - 248.76,"3,005,323","2,045,619"
MRNA,156.52,155.79,154.42 x 900,154.54 x 4000,152.25 - 156.86,115.03 - 217.25,"1,184,879","3,585,788"
GD,229.32,229.05,229.21 x 800,229.40 x 1000,228.71 - 230.75,207.42 - 256.86,"395,116","1,229,762"
EW,83.20,83.52,83.40 x 1000,83.42 x 900,82.77 - 83.58,67.13 - 131.10,"838,535","3,560,447"
GIS,86.07,86.49,87.18 x 900,87.18 x 1000,86.27 - 87.23,64.94 - 88.34,"1,919,065","3,601,134"
PXD,210.76,211.50,208.87 x 1000,209.18 x 1100,207.73 - 212.43,177.27 - 288.46,"706,007","2,621,926"
F,12.72,12.58,12.33 x 21500,12.34 x 21500,12.22 - 12.65,10.61 - 16.68,"25,964,763","69,673,888"
GM,35.74,35.27,34.73 x 900,34.74 x 3000,34.40 - 35.38,30.33 - 43.63,"5,277,603","15,553,760"
MCK,362.99,365.70,371.67 x 1300,371.94 x 1000,364.42 - 371.96,298.69 - 401.78,"550,053","988,434"
PNC,122.83,120.81,120.76 x 1100,120.80 x 800,120.48 - 123.19,119.27 - 188.59,"1,350,741","3,457,842"
VLO,127.43,127.61,132.56 x 900,132.66 x 800,127.18 - 133.70,96.71 - 150.39,"4,175,529","4,313,963"
USB,35.06,34.83,34.92 x 1300,34.93 x 1100,34.49 - 35.26,32.72 - 53.88,"5,102,906","12,963,526"
PSA,308.26,307.88,306.60 x 900,306.56 x 900,304.15 - 308.91,270.13 - 421.76,"516,215","1,108,988"
EMR,85.18,84.62,83.46 x 1300,83.47 x 800,83.31 - 84.90,72.41 - 99.65,"709,347","3,621,534"
CMG,"1,734.84","1,731.00","1,700.77 x 1100","1,702.84 x 800","1,695.34 - 1,726.35","1,196.28 - 1,754.56","106,201","284,296"
DG,214.19,215.00,213.87 x 900,213.87 x 1000,213.29 - 215.37,183.25 - 262.21,"618,884","2,059,614"
MSI,285.90,286.01,283.99 x 800,284.21 x 1100,283.08 - 286.02,195.18 - 286.24,"442,389","683,703"
MCO,303.94,303.23,300.97 x 1200,301.21 x 900,300.28 - 304.04,230.16 - 346.22,"131,837","886,960"
APH,79.63,79.16,78.18 x 800,78.19 x 800,78.05 - 79.31,61.67 - 82.86,"623,638","2,472,434"
SRE,150.26,151.00,153.64 x 900,153.66 x 1300,151.55 - 154.15,136.54 - 176.47,"347,306","1,372,818"
OXY,64.83,64.37,64.16 x 900,64.14 x 1000,63.58 - 65.18,51.53 - 77.13,"5,979,933","14,064,362"
AZO,"2,502.05","2,502.07","2,499.97 x 800","2,503.93 x 1000","2,491.67 - 2,511.77","1,703.32 - 2,610.05","45,765","155,557"
D,56.31,56.65,57.53 x 800,57.54 x 800,56.45 - 57.72,52.03 - 88.78,"1,790,555","4,846,944"
AEP,91.17,91.82,94.27 x 1000,94.29 x 800,91.79 - 94.59,80.30 - 105.60,"1,864,807","2,984,544"
NSC,205.02,205.00,204.04 x 800,204.33 x 900,203.69 - 205.69,196.33 - 276.65,"585,227","1,672,134"
ROP,436.33,437.41,434.76 x 800,434.96 x 900,434.70 - 437.73,356.22 - 488.23,"137,666","579,509"
PSX,98.28,98.40,100.48 x 1000,100.51 x 800,98.16 - 101.14,74.02 - 113.53,"1,533,574","3,711,693"
NXPI,176.12,174.41,172.01 x 1200,172.31 x 800,171.35 - 174.99,132.08 - 198.28,"725,772","2,067,690"
KMB,134.46,135.38,135.49 x 1000,135.56 x 1200,134.92 - 136.79,108.74 - 144.53,"492,918","1,738,190"
MCHP,81.64,80.99,79.19 x 4000,79.20 x 1000,78.95 - 80.99,54.33 - 87.76,"2,040,759","4,859,759"
DXCM,115.64,115.69,114.03 x 1200,114.12 x 800,113.94 - 115.71,66.89 - 130.18,"372,652","2,476,227"
MAR,164.38,163.62,162.59 x 800,162.71 x 1200,162.08 - 163.89,131.01 - 195.90,"390,955","1,850,886"
MSCI,550.38,546.46,543.37 x 1000,543.91 x 1000,541.86 - 550.99,376.41 - 572.50,"89,846","435,109"
ADSK,203.32,201.62,196.87 x 900,196.99 x 800,196.18 - 202.37,163.20 - 235.01,"470,452","1,435,513"
ADM,79.38,79.16,78.87 x 800,78.88 x 1000,78.77 - 79.55,70.02 - 98.88,"627,461","3,309,411"
CTVA,60.40,60.04,60.44 x 800,60.46 x 1400,60.05 - 60.55,50.03 - 68.43,"657,895","3,601,440"
FTNT,65.97,65.68,65.13 x 1200,65.16 x 1000,64.71 - 66.25,42.61 - 71.52,"1,292,221","5,146,057"
TFC,31.95,31.59,31.66 x 1300,31.67 x 1000,31.35 - 32.10,28.70 - 55.28,"4,833,143","12,539,470"
EXC,41.86,42.01,42.88 x 1000,42.89 x 1400,42.01 - 43.07,35.19 - 50.71,"3,150,543","7,319,444"
ANET,166.74,165.45,163.41 x 800,163.47 x 900,162.70 - 165.74,89.11 - 171.44,"933,095","2,561,039"
AJG,193.92,193.58,195.13 x 900,195.27 x 800,192.96 - 196.15,148.24 - 202.37,"235,136","914,491"
PH,320.64,319.66,311.05 x 900,311.31 x 900,310.99 - 320.42,230.44 - 364.57,"677,302","979,539"
ECL,164.87,164.42,165.51 x 800,165.64 x 800,163.96 - 166.12,131.04 - 185.50,"419,295","1,191,834"
A,138.21,137.74,138.63 x 900,138.73 x 1000,136.67 - 139.27,112.52 - 160.26,"578,403","1,416,762"
NEM,51.35,51.74,51.70 x 800,51.72 x 800,51.19 - 52.76,37.45 - 86.37,"4,974,353","7,909,195"
MNST,53.16,53.32,53.10 x 900,53.11 x 1400,53.06 - 53.73,39.58 - 54.52,"1,070,721","4,129,934"
TEL,126.27,125.39,124.37 x 800,124.45 x 800,124.02 - 125.74,104.76 - 138.24,"478,755","1,831,336"
