Symbol,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume
ABBV,160.80,160.80,161.52 x 900,161.27 x 800,160.62 - 162.12,134.09 - 175.91,"3,944,977","6,387,319"
MRK,111.91,113.00,112.24 x 800,112.39 x 800,111.64 - 114.17,83.05 - 115.49,"6,890,858","8,734,927"
AVGO,629.01,624.16,620.67 x 2200,622.51 x 800,618.97 - 628.33,415.07 - 648.50,"1,448,921","2,264,932"
PEP,183.64,183.30,184.21 x 1300,185.00 x 1000,183.10 - 184.74,154.86 - 186.84,"3,389,510","4,749,955"
KO,62.80,62.86,62.63 x 3200,62.71 x 3200,62.38 - 63.03,54.02 - 67.20,"9,639,912","13,987,180"
PFE,41.55,41.93,41.43 x 4000,41.50 x 1200,41.38 - 42.10,39.23 - 56.32,"23,294,094","23,174,996"
TMO,579.86,580.85,569.00 x 800,574.37 x 800,572.34 - 581.78,475.77 - 618.36,"579,544","1,354,427"
COST,497.13,482.00,485.18 x 1100,485.21 x 1000,477.50 - 487.79,406.51 - 612.27,"4,111,879","1,896,506"
CSCO,51.82,50.92,51.22 x 1300,51.21 x 1200,50.72 - 51.56,38.60 - 54.91,"14,746,047","18,236,837"
WMT,149.67,148.80,150.81 x 1000,150.82 x 800,148.52 - 151.04,117.27 - 160.77,"5,960,749","6,647,809"
MCD,282.02,282.43,282.50 x 900,283.55 x 1200,281.64 - 283.40,228.34 - 284.98,"1,729,775","2,740,880"
CRM,195.31,194.00,192.36 x 1000,192.55 x 800,189.60 - 194.03,126.34 - 202.72,"6,248,223","8,894,362"
BAC,27.64,27.72,27.81 x 21500,27.85 x 900,27.62 - 28.01,26.32 - 40.40,"36,274,185","57,329,273"
DIS,99.91,99.44,99.93 x 1000,99.97 x 900,98.56 - 100.32,84.07 - 133.59,"7,025,964","10,636,878"
ABT,104.21,104.49,104.97 x 800,104.98 x 800,104.18 - 105.55,93.25 - 124.36,"5,064,978","5,313,468"
ACN,281.33,280.66,281.10 x 800,284.80 x 1100,278.86 - 282.24,242.80 - 344.81,"2,032,387","2,436,724"
LIN,355.61,352.25,347.85 x 1100,356.75 x 1200,352.01 - 357.21,262.47 - 362.74,"1,627,387","2,622,980"
ADBE,382.02,379.31,380.04 x 800,380.21 x 800,375.99 - 382.40,274.73 - 455.92,"1,766,495","3,082,057"
VZ,39.46,39.50,39.48 x 2900,39.67 x 3100,39.16 - 39.78,34.55 - 55.51,"21,363,066","19,882,726"
DHR,247.70,248.41,245.44 x 800,247.65 x 900,244.59 - 248.71,233.71 - 303.82,"2,042,866","2,539,903"
TXN,177.20,175.97,175.05 x 1000,179.98 x 900,174.57 - 179.23,144.46 - 186.30,"3,742,991","5,283,688"
CMCSA,37.92,38.04,37.62 x 800,37.85 x 3100,37.55 - 38.08,28.39 - 48.42,"18,953,564","19,343,721"
NEE,78.33,78.80,78.80 x 800,78.89 x 900,77.97 - 79.00,67.22 - 91.35,"4,138,863","9,389,047"
PM,98.74,98.75,98.99 x 1200,99.00 x 800,98.74 - 99.91,82.85 - 109.81,"3,468,899","4,665,967"
NFLX,342.35,339.34,338.68 x 900,339.49 x 800,332.71 - 340.48,162.71 - 379.43,"4,544,911","7,636,659"
NKE,120.90,119.51,120.01 x 800,120.99 x 1100,117.85 - 120.49,82.22 - 139.14,"4,255,691","6,154,219"
AMD,92.56,91.47,92.44 x 1200,92.48 x 1100,90.62 - 92.91,54.57 - 109.57,"47,317,818","62,611,009"
BMY,69.25,69.69,70.74 x 3100,70.79 x 1100,69.60 - 71.07,65.28 - 81.44,"9,668,409","8,162,962"
ORCL,94.89,94.33,95.81 x 1300,95.92 x 900,93.99 - 96.08,60.78 - 96.08,"9,141,033","7,172,614"
RTX,98.76,98.77,98.16 x 800,98.61 x 800,98.06 - 99.51,80.27 - 106.02,"3,430,348","4,731,883"
T,19.60,19.65,19.61 x 1300,19.64 x 21500,19.51 - 19.78,14.46 - 21.53,"23,047,274","31,994,559"
WFC,36.89,37.11,37.85 x 1800,37.86 x 900,37.06 - 38.10,35.25 - 50.19,"22,919,107","23,601,629"
UPS,189.40,188.33,186.00 x 1000,188.45 x 1000,186.53 - 189.56,154.87 - 209.39,"2,206,111","3,125,540"
QCOM,123.04,122.34,123.24 x 900,123.03 x 1000,121.05 - 123.84,101.93 - 156.66,"5,075,165","7,666,357"
INTC,32.83,32.60,32.81 x 800,32.83 x 3200,32.46 - 33.00,24.59 - 48.90,"28,517,431","48,076,872"
AMGN,253.37,254.36,246.09 x 1100,253.51 x 800,252.93 - 255.43,223.30 - 296.67,"1,906,304","2,532,232"
COP,107.75,106.90,106.03 x 1200,107.80 x 1000,105.89 - 107.74,78.30 - 138.49,"5,086,206","6,893,249"
HON,189.43,189.61,190.51 x 900,190.52 x 900,189.05 - 192.11,166.63 - 220.96,"2,780,387","3,146,913"
INTU,438.37,433.83,446.01 x 800,446.91 x 900,432.36 - 447.94,339.36 - 498.45,"1,673,506","1,620,057"
LOW,199.43,198.12,198.38 x 800,198.50 x 800,195.50 - 199.48,170.12 - 223.31,"1,909,714","3,118,806"
SBUX,104.90,104.90,104.68 x 900,104.69 x 1000,104.02 - 105.16,68.39 - 110.83,"2,977,603","6,008,486"
IBM,132.14,132.16,130.40 x 900,130.45 x 800,130.32 - 132.60,115.55 - 153.21,"3,048,099","5,186,304"
UNP,194.21,194.60,197.99 x 900,198.52 x 800,194.09 - 198.70,183.69 - 250.52,"2,289,365","3,637,004"
BA,210.00,210.00,211.37 x 900,211.07 x 1000,208.22 - 212.37,113.02 - 221.33,"5,597,088","6,088,254"
ELV,484.69,486.77,482.89 x 1000,485.80 x 800,480.72 - 488.41,440.02 - 549.52,"815,898","1,114,445"
SPGI,344.60,343.40,339.80 x 800,352.66 x 800,334.50 - 343.40,279.32 - 416.36,"1,292,672","1,419,232"
PLD,122.27,122.27,122.64 x 800,122.59 x 800,121.15 - 122.77,98.03 - 174.54,"2,104,836","3,031,180"
LMT,489.99,491.47,489.91 x 900,495.00 x 800,489.01 - 496.98,373.67 - 498.95,"1,093,286","1,472,957"
CAT,213.53,212.67,208.80 x 800,209.18 x 800,208.94 - 213.00,160.60 - 266.04,"4,158,189","3,399,800"
MS,83.82,83.90,84.19 x 1100,84.34 x 800,83.21 - 84.39,72.05 - 100.99,"3,876,818","8,054,021"
GS,321.53,320.38,321.83 x 800,321.86 x 1400,319.98 - 323.23,277.84 - 389.58,"1,310,625","3,026,050"
MDT,80.27,80.85,80.32 x 800,80.35 x 2200,80.08 - 81.32,75.77 - 114.31,"4,311,469","6,208,301"
GILD,83.65,84.07,83.47 x 800,83.49 x 900,83.26 - 84.83,57.17 - 89.74,"3,502,597","6,201,121"
GE,94.25,94.12,93.61 x 800,93.73 x 900,93.54 - 94.39,46.78 - 97.87,"6,402,807","7,817,491"
BKNG,"2,615.60","2,605.75","2,550.00 x 800","2,598.90 x 800","2,552.00 - 2,605.75","1,616.85 - 2,677.18","272,671","327,144"
DE,373.82,372.19,369.25 x 1000,372.65 x 1400,366.10 - 373.20,283.81 - 448.40,"1,846,703","1,578,226"
CVS,77.75,77.95,77.38 x 800,77.68 x 1300,77.16 - 78.48,72.11 - 107.73,"7,528,036","9,290,352"
AMAT,117.32,114.18,114.49 x 800,114.69 x 1100,111.87 - 115.29,71.12 - 125.62,"6,094,217","6,572,963"
BLK,656.04,656.60,656.40 x 800,670.00 x 800,653.98 - 659.06,503.12 - 785.65,"437,934","715,873"
MDLZ,71.40,71.66,70.80 x 2900,71.01 x 800,70.86 - 71.84,54.72 - 71.84,"4,983,027","6,047,055"
SYK,288.03,288.07,282.95 x 900,287.25 x 900,286.24 - 288.75,188.84 - 290.12,"1,113,434","1,339,911"
ADI,190.37,188.74,187.17 x 1000,186.91 x 1000,186.83 - 189.80,133.48 - 198.25,"3,008,991","3,460,100"
AXP,161.08,160.63,158.10 x 1100,158.75 x 800,158.23 - 160.79,130.65 - 192.42,"3,670,768","3,680,236"
AMT,204.69,205.37,205.00 x 900,208.08 x 1000,203.53 - 207.01,178.17 - 282.47,"1,132,724","2,126,368"
NOW,467.33,463.95,472.01 x 800,473.00 x 900,457.46 - 473.65,337.00 - 541.90,"1,691,080","1,629,349"
TJX,78.04,77.89,77.41 x 800,78.05 x 800,77.38 - 78.17,53.69 - 83.13,"2,502,622","5,341,670"
ISRG,257.99,258.33,250.49 x 800,259.50 x 1000,255.24 - 259.29,180.07 - 308.00,"1,026,316","1,710,752"
REGN,825.22,823.43,820.30 x 1100,830.02 x 800,823.43 - 834.00,538.01 - 837.55,"533,860","649,839"
C,45.77,45.80,45.89 x 3200,45.90 x 2900,45.52 - 46.21,40.01 - 54.56,"11,580,311","20,291,708"
ADP,213.17,213.18,212.00 x 900,219.99 x 2200,212.66 - 216.37,196.61 - 274.92,"1,966,558","2,141,203"
TMUS,149.12,149.40,147.05 x 1400,151.00 x 800,148.44 - 149.94,120.90 - 154.38,"3,544,873","5,259,621"
PGR,146.43,146.47,147.30 x 800,147.31 x 900,146.46 - 147.85,106.35 - 147.85,"1,902,929","2,473,263"
MMC,168.20,168.02,169.17 x 800,169.45 x 800,167.79 - 169.69,143.33 - 183.14,"840,570","1,652,677"
PYPL,73.61,73.27,74.77 x 800,74.95 x 800,72.28 - 75.00,66.39 - 114.34,"9,521,090","12,724,634"
VRTX,321.94,321.41,320.80 x 800,325.00 x 1200,321.13 - 324.63,233.01 - 325.19,"862,096","1,277,904"
CB,195.99,197.16,196.04 x 800,196.56 x 900,195.73 - 198.34,173.78 - 231.37,"1,188,359","1,887,406"
MO,44.43,44.40,44.35 x 4000,44.42 x 1800,44.26 - 44.62,40.35 - 57.05,"5,281,798","8,581,339"
CI,265.88,267.73,263.00 x 800,268.70 x 800,264.55 - 269.26,240.11 - 340.11,"1,660,163","1,764,667"
ZTS,167.65,168.27,167.47 x 900,170.00 x 1800,166.37 - 169.01,124.15 - 201.32,"1,528,754","2,173,819"
SO,71.50,71.91,72.14 x 900,72.25 x 800,71.67 - 72.55,60.71 - 80.57,"4,504,668","4,424,186"
DUK,98.84,99.50,98.87 x 800,99.99 x 800,98.40 - 99.78,83.76 - 116.33,"2,765,168","3,151,690"
TGT,165.24,162.57,165.59 x 900,166.00 x 1100,160.68 - 165.84,137.16 - 254.87,"2,551,542","3,198,145"
SCHW,48.87,48.80,49.34 x 800,49.22 x 1000,48.58 - 49.74,45.00 - 86.63,"25,011,280","23,396,642"
BSX,50.74,50.80,49.72 x 2200,50.52 x 800,49.74 - 50.80,34.98 - 50.87,"8,554,161","7,880,372"
SLB,50.70,50.68,49.50 x 2200,49.63 x 1100,49.50 - 50.84,30.65 - 59.45,"6,732,126","9,967,880"
BDX,251.67,252.62,249.79 x 800,259.96 x 800,251.98 - 255.16,215.90 - 277.29,"1,337,303","1,089,591"
FISV,112.34,112.34,113.02 x 900,114.68 x 800,111.98 - 113.39,87.03 - 119.48,"2,456,058","3,626,734"
EOG,120.37,119.66,119.50 x 1100,119.89 x 1000,118.90 - 120.27,92.16 - 150.88,"2,755,814","3,999,262"
CME,195.19,195.30,195.16 x 900,194.84 x 800,193.78 - 196.30,166.55 - 247.02,"1,370,085","1,912,277"
NOC,470.91,474.68,461.93 x 800,477.00 x 1000,468.29 - 476.20,430.94 - 556.27,"575,542","1,110,942"
LRCX,493.48,486.04,489.80 x 800,494.19 x 900,480.45 - 496.39,299.59 - 548.85,"960,471","1,304,778"
AON,321.56,321.25,321.36 x 900,321.80 x 800,320.50 - 322.62,246.21 - 341.98,"465,825","863,296"
EQIX,703.82,705.27,705.13 x 800,709.48 x 1200,697.96 - 711.64,494.89 - 776.35,"262,715","402,960"
HUM,516.23,519.78,516.23 x 800,529.95 x 800,515.29 - 524.62,410.87 - 571.30,"1,057,358","1,068,091"
ITW,229.41,228.46,223.47 x 1000,231.65 x 1100,226.45 - 228.86,173.52 - 253.37,"1,061,449","1,123,296"
ETN,158.47,157.80,154.01 x 1000,156.18 x 1000,155.71 - 158.90,122.50 - 178.75,"2,593,119","2,054,027"
CL,75.36,75.59,74.41 x 900,75.62 x 1300,75.01 - 76.07,67.84 - 83.81,"3,259,895","4,552,526"
APD,283.88,282.34,278.11 x 800,285.88 x 900,280.62 - 283.65,218.88 - 328.56,"789,823","1,150,173"
MU,56.90,56.95,58.57 x 3000,58.48 x 1400,56.80 - 59.15,48.43 - 76.23,"21,384,090","15,431,057"
CSX,29.29,29.34,29.65 x 3000,30.05 x 3000,29.15 - 30.10,25.80 - 38.17,"17,923,356","13,972,581"
ATVI,85.38,85.50,85.11 x 800,85.40 x 800,85.18 - 85.65,70.94 - 85.88,"6,007,122","6,719,004"
WM,162.82,163.08,163.51 x 900,164.60 x 800,162.56 - 164.76,138.89 - 175.98,"3,290,464","1,892,729"
MPC,132.71,132.95,128.68 x 800,129.20 x 800,128.38 - 133.10,77.62 - 138.83,"3,276,528","4,024,255"
ICE,106.22,106.31,108.18 x 900,109.10 x 800,106.24 - 108.32,88.60 - 132.30,"2,625,665","2,852,872"
CCI,133.72,134.67,131.50 x 900,137.88 x 1000,133.34 - 135.28,121.71 - 199.97,"1,081,406","2,012,213"
SNPS,378.36,375.62,376.56 x 800,375.89 x 1100,373.40 - 378.31,255.02 - 392.79,"772,359","796,632"
FCX,40.32,40.23,40.24 x 1200,40.46 x 1800,39.55 - 40.46,24.80 - 51.34,"7,761,652","12,946,329"
HCA,271.31,271.30,270.97 x 1100,276.40 x 900,269.49 - 272.56,164.47 - 279.02,"912,080","1,262,219"
CDNS,207.56,205.39,205.00 x 800,210.80 x 1100,205.33 - 209.26,132.32 - 214.14,"1,840,726","1,764,013"
MMM,102.29,102.35,101.62 x 1000,101.82 x 800,101.52 - 102.79,100.16 - 154.66,"2,407,112","3,657,162"
EL,239.43,240.63,240.41 x 900,242.27 x 900,236.57 - 242.08,186.47 - 285.79,"1,171,073","1,423,126"
ORLY,858.35,856.02,844.31 x 900,879.02 x 1000,855.89 - 864.31,562.90 - 873.94,"247,165","461,296"
FDX,229.93,231.01,232.00 x 1800,232.37 x 800,230.97 - 235.81,141.92 - 248.76,"3,639,032","2,120,340"
KLAC,381.61,374.32,372.66 x 800,374.73 x 800,367.94 - 378.89,250.20 - 429.46,"746,520","1,163,062"
SHW,222.83,220.22,223.62 x 800,223.16 x 800,220.22 - 224.01,195.24 - 285.00,"1,366,221","1,640,896"
VLO,135.09,135.51,132.43 x 1000,132.65 x 1100,131.93 - 135.95,96.71 - 150.39,"3,167,797","4,366,732"
GIS,86.52,86.74,85.05 x 1000,87.00 x 800,86.44 - 87.16,64.94 - 88.34,"3,407,001","3,639,393"
EW,83.45,83.42,83.77 x 1200,84.13 x 800,82.76 - 83.92,67.13 - 131.10,"1,529,150","3,540,196"
GD,228.98,229.36,227.85 x 1300,227.68 x 900,226.52 - 231.08,207.42 - 256.86,"1,441,862","1,233,977"
MCK,373.17,375.06,369.49 x 900,370.20 x 1000,369.72 - 376.19,298.69 - 401.78,"667,608","991,424"
MRNA,154.61,155.00,158.35 x 900,158.50 x 1000,153.49 - 159.06,115.03 - 217.25,"2,610,822","3,564,577"
PXD,210.40,209.33,208.37 x 1000,215.00 x 1100,207.67 - 209.90,177.27 - 288.46,"1,693,486","2,629,259"
GM,35.09,35.00,34.58 x 2200,34.61 x 900,34.47 - 35.09,30.33 - 43.63,"10,056,176","15,572,945"
USB,35.11,35.25,35.72 x 1400,35.67 x 1100,35.20 - 36.25,32.72 - 53.88,"10,797,189","13,037,886"
PNC,121.43,120.00,121.73 x 800,121.76 x 800,119.79 - 124.10,119.27 - 188.59,"3,463,835","3,479,068"
F,12.43,12.41,12.29 x 42300,12.31 x 27000,12.29 - 12.48,10.61 - 16.68,"35,622,935","69,678,298"
PSX,104.43,104.81,102.79 x 800,103.35 x 800,102.47 - 105.34,74.02 - 113.53,"3,295,628","3,764,983"
PSA,307.26,308.49,305.49 x 900,315.80 x 900,306.37 - 310.79,270.13 - 421.76,"990,141","1,119,763"
AEP,94.54,95.33,94.56 x 800,94.87 x 1100,93.93 - 96.05,80.30 - 105.60,"2,588,767","3,016,431"
SRE,153.14,153.90,152.49 x 900,158.19 x 1300,153.71 - 155.67,136.54 - 176.47,"1,187,729","1,373,981"
MSI,286.14,283.95,279.77 x 800,283.23 x 800,281.94 - 284.65,195.18 - 286.24,"795,140","694,916"
D,57.41,57.81,57.55 x 1000,59.10 x 800,57.22 - 58.14,52.03 - 88.78,"3,082,375","4,788,895"
MCO,302.85,302.02,298.61 x 1200,307.70 x 900,296.37 - 302.38,230.16 - 346.22,"564,260","887,147"
EMR,83.09,82.82,83.19 x 1000,84.00 x 800,82.07 - 83.78,72.41 - 99.65,"2,868,803","3,622,137"
DG,212.01,210.86,210.33 x 900,216.14 x 1000,210.39 - 212.88,183.25 - 262.21,"1,094,655","2,050,359"
CMG,"1,697.42","1,687.26","1,682.50 x 1100","1,717.00 x 800","1,670.03 - 1,695.36","1,196.28 - 1,754.56","216,158","283,544"
OXY,64.57,64.05,63.09 x 1100,63.06 x 1200,62.97 - 64.11,51.53 - 77.13,"9,819,494","14,100,855"
AZO,"2,494.44","2,500.81","2,521.00 x 800","2,522.44 x 1000","2,491.10 - 2,531.38","1,703.32 - 2,610.05","139,007","155,708"
APH,78.05,77.54,77.60 x 1000,77.62 x 2200,77.11 - 78.00,61.67 - 82.86,"1,714,564","2,480,686"
ROP,437.40,438.30,430.06 x 800,436.12 x 900,433.35 - 436.60,356.22 - 488.23,"363,451","579,227"
NSC,203.04,203.37,204.85 x 800,205.58 x 900,202.12 - 205.78,196.33 - 276.65,"3,111,547","1,695,834"
KMB,135.66,136.20,134.52 x 800,137.20 x 1200,135.72 - 137.10,108.74 - 144.53,"1,465,650","1,742,852"
NXPI,173.02,172.10,170.53 x 800,170.72 x 1000,169.98 - 172.77,132.08 - 198.28,"1,930,589","2,069,785"
MAR,162.56,163.00,163.03 x 900,163.08 x 900,161.38 - 163.48,131.01 - 195.90,"1,050,643","1,847,462"
MCHP,79.52,78.46,78.70 x 800,78.84 x 800,77.34 - 79.90,54.33 - 87.76,"3,262,806","4,881,788"
ADM,79.41,79.45,78.72 x 800,78.73 x 1100,78.13 - 79.48,70.02 - 98.88,"2,338,681","3,280,291"
DXCM,112.82,112.94,111.25 x 800,113.06 x 900,111.44 - 112.94,66.89 - 130.18,"1,834,680","2,461,119"
CTVA,60.72,60.47,58.84 x 900,59.80 x 800,59.09 - 60.48,50.03 - 68.43,"3,045,857","3,602,901"
MSCI,538.37,534.21,529.38 x 1000,533.94 x 800,532.55 - 537.39,376.41 - 572.50,"327,996","434,329"
EXC,42.93,43.13,43.06 x 1000,43.06 x 2200,42.77 - 43.32,35.19 - 50.71,"8,366,682","7,329,660"
ADSK,197.55,196.89,195.50 x 900,200.87 x 900,194.69 - 198.32,163.20 - 235.01,"1,174,472","1,439,168"
TFC,32.02,32.17,32.74 x 900,32.63 x 1400,32.04 - 33.06,28.70 - 55.07,"10,842,058","12,642,101"
FTNT,65.15,64.75,65.54 x 1000,65.70 x 800,64.26 - 65.58,42.61 - 71.52,"2,771,484","5,123,781"
AJG,195.28,195.40,197.37 x 900,205.19 x 800,195.33 - 197.41,148.24 - 202.37,"855,013","921,236"
NEM,52.07,51.60,52.05 x 1200,52.19 x 1000,51.04 - 52.15,37.45 - 86.37,"8,403,955","7,980,452"
ECL,166.10,165.10,166.96 x 800,168.00 x 800,164.13 - 167.15,131.04 - 185.50,"1,061,644","1,203,714"
BIIB,283.99,285.06,281.01 x 800,290.00 x 800,283.80 - 287.77,187.16 - 311.88,"710,345","932,144"
A,138.09,138.01,137.73 x 800,137.69 x 1300,136.59 - 138.12,112.52 - 160.26,"1,113,386","1,414,583"
ANET,162.86,158.69,159.51 x 800,159.48 x 800,157.19 - 161.04,89.11 - 171.44,"2,642,374","2,558,044"
MNST,52.80,52.36,52.57 x 900,52.58 x 1200,51.29 - 53.05,40.09 - 54.52,"5,084,137","4,149,281"
PH,312.58,311.49,303.71 x 900,320.37 x 900,308.26 - 314.48,230.44 - 364.57,"560,813","988,640"
TEL,124.49,123.72,124.06 x 800,124.10 x 900,122.37 - 124.58,104.76 - 138.24,"1,559,008","1,826,519"
IDXX,476.69,474.94,471.61 x 800,483.34 x 900,468.86 - 475.19,317.06 - 554.97,"513,238","481,336"
HES,142.21,141.01,140.58 x 900,142.78 x 900,140.00 - 141.95,90.34 - 160.52,"1,419,077","1,865,036"
TRV,170.31,170.75,170.93 x 1000,170.97 x 800,170.32 - 171.79,149.65 - 194.51,"787,138","1,560,583"
O,62.71,62.97,62.47 x 1100,62.52 x 900,62.10 - 62.97,55.50 - 75.40,"2,537,765","3,572,598"
SYY,77.45,77.36,77.17 x 900,77.16 x 900,77.06 - 77.96,70.61 - 91.53,"2,125,447","2,363,193"
TT,170.49,170.09,163.38 x 1000,170.68 x 1100,168.43 - 172.55,120.64 - 196.22,"2,860,059","1,499,447"
CTAS,451.74,451.50,442.66 x 800,452.05 x 1100,449.57 - 452.96,343.86 - 470.23,"213,217","351,227"
XEL,71.12,71.63,69.60 x 800,72.48 x 800,70.71 - 71.94,56.89 - 77.66,"2,316,478","3,027,811"
MET,58.66,59.00,59.02 x 1400,59.15 x 1000,58.78 - 59.40,52.83 - 77.36,"4,004,505","5,191,401"
DOW,54.64,54.38,54.64 x 2900,54.69 x 1000,54.21 - 55.06,42.91 - 71.86,"4,771,166","5,241,870"
JCI,55.70,55.55,55.85 x 1200,56.03 x 1000,54.90 - 56.24,45.52 - 69.60,"7,722,249","3,844,813"
HSY,259.43,259.93,259.82 x 1200,259.97 x 1000,258.00 - 261.17,201.42 - 261.17,"976,177","1,073,186"
LHX,197.40,198.22,196.83 x 800,197.96 x 800,195.77 - 199.65,189.73 - 264.71,"888,827","1,314,098"
TDG,722.62,721.54,714.00 x 800,740.27 x 800,719.56 - 726.84,499.63 - 772.01,"175,877","340,837"
AIG,50.24,50.47,51.03 x 3200,51.04 x 900,50.47 - 51.27,45.66 - 65.73,"3,342,046","5,495,211"
CHTR,353.12,353.41,343.26 x 800,356.85 x 1000,349.33 - 354.67,297.66 - 572.08,"764,975","1,139,055"
HLT,139.49,139.82,140.41 x 900,140.36 x 1100,139.09 - 140.77,108.41 - 167.99,"1,253,374","1,655,726"
YUM,131.94,132.15,131.87 x 800,132.39 x 900,131.62 - 132.39,103.97 - 133.77,"1,044,151","1,538,572"
ROST,106.46,106.19,106.30 x 1100,106.31 x 1100,104.94 - 106.53,69.24 - 122.45,"1,645,668","2,400,896"
IQV,197.09,197.00,190.90 x 800,200.21 x 900,194.12 - 197.00,165.75 - 254.94,"626,252","983,250"
AFL,64.46,64.61,64.26 x 1100,64.27 x 1400,64.12 - 64.80,52.07 - 74.02,"2,296,817","2,691,185"
NUE,143.47,142.99,145.33 x 1100,147.00 x 800,141.89 - 146.32,100.13 - 187.90,"2,130,048","1,872,439"
WMB,29.94,30.07,29.30 x 3200,29.94 x 1400,29.47 - 30.09,27.80 - 37.97,"6,385,430","7,369,350"
ILMN,230.92,230.17,228.31 x 1400,230.82 x 900,226.55 - 230.96,173.45 - 370.54,"1,035,423","1,370,406"
CNC,65.79,66.28,64.90 x 800,66.70 x 1000,65.77 - 66.71,61.71 - 98.53,"3,629,454","3,930,057"
COF,94.84,94.90,93.10 x 800,96.75 x 1200,94.37 - 95.68,86.84 - 144.73,"1,987,377","3,496,750"
SPG,109.95,110.31,108.92 x 1000,109.90 x 1100,108.73 - 110.57,86.02 - 134.80,"1,145,074","1,695,014"
STZ,221.44,224.00,224.61 x 900,223.57 x 800,221.01 - 226.50,208.12 - 261.52,"2,025,486","1,331,096"
PCAR,68.48,68.60,67.75 x 1000,68.51 x 800,68.00 - 69.23,51.33 - 76.72,"2,331,598","3,305,635"
CARR,42.10,42.11,41.84 x 1000,43.78 x 1800,41.29 - 42.31,33.10 - 49.17,"4,753,417","4,584,708"
KMI,17.71,17.74,17.69 x 3000,17.78 x 1800,17.63 - 17.79,15.78 - 20.20,"7,615,577","13,232,352"
ED,98.51,98.92,98.92 x 1000,99.75 x 900,97.57 - 99.35,78.10 - 102.21,"1,484,062","1,886,749"
DVN,53.53,53.23,52.94 x 1100,52.94 x 1100,52.72 - 53.53,44.03 - 79.40,"6,126,801","10,566,304"
PAYX,108.83,108.62,109.07 x 1100,109.08 x 800,108.09 - 109.39,105.66 - 141.59,"2,090,085","1,926,077"
MTD,"1,529.87","1,529.59","1,199.79 x 800","1,580.00 x 800","1,496.26 - 1,529.59","1,065.55 - 1,609.25","94,394","88,765"
WELL,70.56,71.67,69.60 x 900,71.45 x 1000,70.49 - 72.15,56.50 - 98.42,"1,742,640","2,319,555"
OTIS,79.39,79.09,76.84 x 1400,80.07 x 1100,77.88 - 79.10,62.49 - 87.33,"1,751,825","1,826,062"
EA,126.15,125.80,124.00 x 800,125.14 x 800,124.75 - 126.05,108.53 - 142.79,"1,990,974","2,599,490"
ON,76.54,75.24,75.27 x 1800,75.49 x 900,74.39 - 76.36,44.76 - 87.55,"3,526,250","7,099,736"
BK,44.88,44.91,44.85 x 900,44.94 x 1800,44.78 - 45.27,36.22 - 52.26,"3,018,597","5,979,583"
WBD,14.79,14.70,15.07 x 4000,15.14 x 800,14.41 - 15.24,8.82 - 27.50,"21,818,830","19,323,886"
PPG,138.95,137.14,135.90 x 900,140.23 x 1100,136.98 - 138.44,107.06 - 140.22,"1,316,542","1,496,603"
