Symbol,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume
AAPL,163.76,162.43,164.39 x 1200,164.39 x 900,162.03 - 164.96,124.17 - 176.15,"42,804,972","66,485,773"
MSFT,284.34,283.21,291.63 x 1000,291.64 x 1000,282.03 - 292.08,213.43 - 303.65,"28,523,364","31,842,393"
AMZN,101.10,100.75,101.97 x 1000,102.00 x 800,99.80 - 102.38,81.43 - 160.08,"42,277,954","66,801,631"
NVDA,268.81,265.84,270.25 x 800,270.37 x 800,264.27 - 270.80,108.13 - 280.00,"37,335,436","50,431,742"
GOOGL,104.47,105.26,108.33 x 1300,108.44 x 4000,104.33 - 109.17,83.34 - 137.16,"48,612,709","39,860,014"
GOOG,104.95,105.77,108.75 x 900,108.82 x 1800,104.82 - 109.63,83.45 - 137.70,"33,667,069","32,318,731"
TSLA,185.52,183.08,184.96 x 1300,184.98 x 1400,179.74 - 186.39,101.81 - 364.07,"122,836,410","171,679,950"
XOM,116.99,116.86,114.95 x 900,114.93 x 800,114.77 - 117.18,79.29 - 119.63,"15,748,601","17,197,219"
UNH,509.23,511.00,511.50 x 800,513.59 x 800,507.30 - 514.24,449.70 - 558.10,"3,470,932","3,555,565"
META,211.48,209.25,215.95 x 900,216.02 x 1100,208.65 - 216.94,88.09 - 225.52,"26,074,371","31,940,213"
JNJ,165.61,165.99,165.00 x 800,165.11 x 800,164.80 - 167.23,150.11 - 186.69,"8,255,592","8,438,893"
JPM,127.61,127.00,127.30 x 800,127.47 x 800,126.86 - 128.07,101.28 - 144.34,"8,750,619","13,602,498"
V,228.17,226.16,225.83 x 1100,226.16 x 1100,224.68 - 226.73,174.60 - 234.30,"4,284,619","6,286,029"
PG,151.26,151.87,151.74 x 800,152.30 x 900,151.43 - 152.96,122.18 - 164.90,"5,399,179","6,859,639"
MA,363.79,361.21,361.13 x 800,361.98 x 900,355.97 - 362.04,276.87 - 390.00,"2,357,623","2,850,129"
CVX,169.88,169.35,167.55 x 900,167.69 x 1300,167.13 - 169.84,132.54 - 189.68,"4,234,347","9,034,760"
HD,288.67,287.25,286.00 x 1100,288.65 x 1000,284.30 - 289.77,264.51 - 347.25,"3,192,757","3,927,070"
LLY,362.24,364.85,368.44 x 1000,368.44 x 800,364.10 - 369.49,276.83 - 375.25,"3,530,424","3,271,149"
