Symbol,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,YTD Return,Expense Ratio (net),Category,Last Cap Gain,Morningstar Rating,Morningstar Risk Rating,Sustainability Rating
CAG,37.39,37.51,37.20 x 900,39.98 x 1800,37.29 - 37.76,31.02 - 41.30,"4,441,018","4,437,972",,,,,,,
FICO,696.40,696.40,699.22 x 800,700.15 x 1100,694.71 - 703.09,340.48 - 711.85,"364,009","286,548",,,,,,,
CINF,110.36,111.35,85.95 x 800,145.00 x 1100,110.97 - 112.24,88.66 - 143.22,"636,480","785,385",,,,,,,
RF,18.33,18.55,18.60 x 2900,19.25 x 1200,18.25 - 18.59,13.94 - 24.33,"12,739,478","11,651,559",,,,,,,
MAA,148.48,148.84,147.22 x 1100,154.25 x 800,148.50 - 151.17,138.68 - 217.64,"773,692","777,041",,,,,,,
BR,145.11,146.02,144.86 x 800,148.62 x 800,145.79 - 147.21,131.35 - 183.33,"578,550","566,695",,,,,,,
K,66.66,67.00,66.92 x 800,68.94 x 800,66.62 - 67.15,63.74 - 77.17,"1,933,072","2,210,804",,,,,,,
EXPD,107.06,107.44,107.46 x 1000,112.92 x 900,107.35 - 110.46,86.08 - 119.90,"1,576,071","1,433,654",,,,,,,
IEX,226.96,228.05,230.00 x 800,230.20 x 1100,227.33 - 231.16,172.19 - 246.23,"298,644","382,501",,,,,,,
BALL,54.28,54.62,49.51 x 1100,57.45 x 800,54.33 - 55.15,46.00 - 90.67,"1,101,888","1,747,414",,,,,,,
TSN,58.32,58.55,57.70 x 800,59.70 x 800,58.24 - 59.43,55.81 - 99.54,"2,782,645","3,199,048",,,,,,,
PFG,74.14,74.13,72.87 x 800,76.00 x 900,73.10 - 74.66,61.05 - 96.17,"2,445,757","1,929,743",,,,,,,
SJM,157.54,158.30,157.37 x 800,158.75 x 900,156.54 - 158.55,119.82 - 163.07,"994,891","960,962",,,,,,,
TER,107.60,107.21,107.04 x 800,109.30 x 800,106.60 - 108.72,67.81 - 120.20,"1,598,239","1,638,201",,,,,,,
EPAM,293.69,295.36,296.08 x 1200,313.15 x 800,294.55 - 300.00,260.68 - 462.99,"355,077","448,567",,,,,,,
AMCR,11.14,11.21,11.21 x 1300,11.50 x 3100,11.18 - 11.39,10.42 - 13.61,"6,976,862","8,128,785",,,,,,,
PKI,131.00,131.64,131.72 x 800,134.94 x 800,131.30 - 133.60,113.46 - 174.10,"679,168","872,570",,,,,,,
SEDG,296.03,296.18,303.62 x 900,304.99 x 1200,296.18 - 306.64,190.15 - 375.90,"831,564","1,141,337",,,,,,,
NVR,"5,417.11","5,425.72","5,275.00 x 1000","5,565.57 x 900","5,404.00 - 5,586.33","3,576.01 - 5,586.33","21,579","22,308",,,,,,,
TRGP,71.61,71.76,72.98 x 900,73.93 x 900,71.76 - 73.05,55.56 - 81.50,"2,256,252","1,622,180",,,,,,,
ATO,111.94,112.35,99.41 x 1800,112.00 x 1100,110.76 - 112.40,97.71 - 122.96,"1,245,457","816,966",,,,,,,
ZBRA,309.11,310.00,311.71 x 1000,325.26 x 900,310.00 - 318.80,224.87 - 437.30,"373,445","363,409",,,,,,,
HBAN,11.14,11.26,11.07 x 900,11.18 x 21500,11.03 - 11.30,9.94 - 15.74,"15,360,472","20,117,319",,,,,,,
