#,Company,Symbol,Weight,Price,Chg,% Chg,date,Volume,EPS (Trailing),EPS (Forward),P/E (Trailing),P/E (Forward),Dividend Yield,Market Cap
1,Apple Inc.,AAPL,7.139484,165.65,0.75,(0.45%),2023-04-03,"36,607,187",5.89,6.61,28.02,24.96,0.56%,2587.55B
2,Microsoft Corporation,MSFT,6.247385,286.08,-2.22,(-0.77%),2023-04-03,"17,008,050",8.99,10.75,32.05,26.82,0.94%,2123.79B
3,Amazon.com Inc.,AMZN,2.680672,101.96,-1.34,(-1.29%),2023-04-03,"29,999,015",-0.27,2.52,-,41.07,-,1064.70B
4,NVIDIA Corporation,NVDA,1.989199,277.07,-0.71,(-0.25%),2023-04-03,"29,175,826",1.74,5.99,159.55,46.35,0.06%,696.65B
5,Alphabet Inc. Class A,GOOGL,1.798529,103.62,-0.11,(-0.11%),2023-04-03,"14,883,535",4.49,6.10,23.12,16.99,-,1334.36B
6,Tesla Inc.,TSLA,1.624283,194.21,-13.3,(-6.39%),2023-04-03,"144,482,853",3.62,5.47,57.23,37.93,-,662.66B
7,Berkshire Hathaway Inc. Class B,BRK.B,1.619496,310.81,2.04,(0.66%),2023-04-03,"2,189,291",-,17.79,-,17.36,-,677.07B
8,Alphabet Inc. Class C,GOOG,1.571954,103.95,-0.05,(-0.05%),2023-04-03,"12,344,955",4.72,6.09,22.03,17.08,-,1327.77B
9,Meta Platforms Inc. Class A,META,1.373253,212.49,0.55,(0.26%),2023-04-03,"12,735,657",8.36,12.06,25.36,17.57,-,544.87B
10,Exxon Mobil Corporation,XOM,1.3146,116.16,6.5,(5.93%),2023-04-03,"17,653,146",13.27,9.96,8.26,11.01,3.32%,445.91B
11,UnitedHealth Group Incorporated,UNH,1.285433,495.39,22.8,(4.82%),2023-04-03,"3,262,009",21.18,28.28,22.31,16.71,1.40%,435.22B
12,Johnson & Johnson,JNJ,1.179712,156.78,1.78,(1.15%),2023-04-03,"3,330,209",6.74,10.89,23.01,14.23,2.92%,478.76B
13,JPMorgan Chase & Co.,JPM,1.1127,130.3,-0.01,(-0.01%),2023-04-03,"6,423,937",12.09,13.45,10.78,9.69,3.07%,389.47B
14,Visa Inc. Class A,V,1.066523,228.53,3.07,(1.36%),2023-04-03,"3,270,734",7.16,9.67,31.51,23.32,0.80%,467.30B
15,Procter & Gamble Company,PG,1.02116,149.71,1.02,(0.69%),2023-04-03,"2,714,844",5.69,6.33,26.11,23.48,2.46%,343.78B
16,Mastercard Incorporated Class A,MA,0.89259,366.35,2.94,(0.81%),2023-04-03,"1,408,836",10.22,14.51,35.54,25.05,0.63%,349.12B
17,Home Depot Inc.,HD,0.875608,296.9,1.78,(0.60%),2023-04-03,"2,230,357",16.69,16.81,17.68,17.55,2.83%,300.48B
18,Chevron Corporation,CVX,0.84496,170.22,7.06,(4.33%),2023-04-03,"8,845,586",18.26,14.97,8.94,10.90,3.70%,308.02B
19,AbbVie Inc.,ABBV,0.820473,159.86,0.49,(0.30%),2023-04-03,"2,491,368",6.63,11.12,24.04,14.34,3.71%,276.31B
20,Eli Lilly and Company,LLY,0.788438,351.11,7.69,(2.24%),2023-04-03,"1,907,399",6.91,11.71,49.70,29.32,1.32%,323.66B
21,Merck & Co. Inc.,MRK,0.785243,109.18,2.79,(2.62%),2023-04-03,"3,631,403",5.71,8.58,18.62,12.41,2.74%,268.61B
22,Broadcom Inc.,AVGO,0.780446,641.97,0.43,(0.07%),2023-04-03,"823,689",29.74,44.20,21.57,14.51,2.87%,268.76B
23,PepsiCo Inc.,PEP,0.7309,182.55,0.25,(0.14%),2023-04-03,"2,178,036",6.48,7.88,28.15,23.14,2.52%,246.26B
24,Coca-Cola Company,KO,0.702813,62.46,0.43,(0.69%),2023-04-03,"7,295,467",2.19,2.80,28.29,22.18,2.97%,264.04B
25,Pfizer Inc.,PFE,0.666712,41.43,0.63,(1.53%),2023-04-03,"11,380,433",5.47,3.78,7.45,10.79,4.02%,229.09B
26,Thermo Fisher Scientific Inc.,TMO,0.658055,567.96,-8.41,(-1.46%),2023-04-03,"608,227",17.64,26.75,32.68,21.54,0.24%,220.93B
27,Costco Wholesale Corporation,COST,0.64183,497.08,0.21,(0.04%),2023-04-03,"923,538",13.61,15.69,36.51,31.67,0.72%,217.01B
