#,Company,Symbol,Weight,Price,Chg,% Chg,date,Volume,EPS (Trailing),EPS (Forward),P/E (Trailing),P/E (Forward),Dividend Yield,Market Cap
1,Apple Inc.,AAPL,7.130985,164.91,0.01,(0.00%),2023-04-02,"68,749,834",5.89,6.61,28.02,24.96,0.56%,2587.55B
2,Microsoft Corporation,MSFT,6.244143,288.46,0.16,(0.05%),2023-04-02,"32,766,309",8.99,10.75,32.05,26.82,0.94%,2123.79B
3,Amazon.com Inc.,AMZN,2.685407,103.31,0.02,(0.02%),2023-04-02,"56,750,410",-0.27,2.52,-,41.07,-,1064.70B
4,NVIDIA Corporation,NVDA,1.989291,277.96,0.19,(0.07%),2023-04-02,"43,393,953",1.74,5.99,159.55,46.35,0.06%,696.65B
5,Alphabet Inc. Class A,GOOGL,1.774537,103.6,-0.13,(-0.13%),2023-04-02,"36,863,671",4.49,6.10,23.12,16.99,-,1334.36B
6,Berkshire Hathaway Inc. Class B,BRK.B,1.623244,308.85,0.08,(0.02%),2023-04-02,"5,022,206",-,17.79,-,17.36,-,677.07B
7,Alphabet Inc. Class C,GOOG,1.553552,103.9,-0.11,(-0.10%),2023-04-02,"28,107,962",4.72,6.09,22.03,17.08,-,1327.77B
8,Tesla Inc.,TSLA,1.550994,207.64,0.18,(0.08%),2023-04-02,"170,230,040",3.62,5.47,57.23,37.93,-,662.66B
9,Meta Platforms Inc. Class A,META,1.366125,212.14,0.2,(0.09%),2023-04-02,"25,215,275",8.36,12.06,25.36,17.57,-,544.87B
10,Exxon Mobil Corporation,XOM,1.331509,109.55,-0.11,(-0.10%),2023-04-02,"14,417,963",13.27,9.96,8.26,11.01,3.32%,445.91B
11,UnitedHealth Group Incorporated,UNH,1.297011,485.5,12.91,(2.73%),2023-04-02,"3,996,698",21.18,28.28,22.31,16.71,1.40%,435.22B
12,Johnson & Johnson,JNJ,1.18462,154.93,-0.08,(-0.05%),2023-04-02,"9,890,048",6.74,10.89,23.01,14.23,2.92%,478.76B
13,JPMorgan Chase & Co.,JPM,1.115249,129.49,-0.82,(-0.63%),2023-04-02,"13,111,617",12.09,13.45,10.78,9.69,3.07%,389.47B
14,Visa Inc. Class A,V,1.067039,226.31,0.85,(0.38%),2023-04-02,"9,508,980",7.16,9.67,31.51,23.32,0.80%,467.30B
15,Procter & Gamble Company,PG,1.027263,148.7,0.01,(0.01%),2023-04-02,"7,685,943",5.69,6.33,26.11,23.48,2.46%,343.78B
16,Mastercard Incorporated Class A,MA,0.895138,363.54,0.13,(0.04%),2023-04-02,"3,376,796",10.22,14.51,35.54,25.05,0.63%,349.12B
17,Home Depot Inc.,HD,0.858868,294.78,-0.35,(-0.12%),2023-04-02,"5,800,562",16.69,16.81,17.68,17.55,2.83%,300.48B
