#,Company,Symbol,Weight,Price,Chg,% Chg,date,Volume,EPS (Trailing),EPS (Forward),P/E (Trailing),P/E (Forward),Dividend Yield,Market Cap
1,Apple Inc.,AAPL,7.186312,162.35,-3.28,(-1.98%),2023-04-05,"22,878,735",5.89,6.59,28.14,25.11,0.56%,2580.22B
2,Microsoft Corporation,MSFT,6.236324,283.13,-4.05,(-1.41%),2023-04-05,"10,422,027",8.99,10.75,31.93,26.70,0.95%,2106.20B
3,Amazon.com Inc.,AMZN,2.703526,101.04,-2.91,(-2.80%),2023-04-05,"22,184,706",-0.27,2.52,-,41.27,-,1051.90B
4,NVIDIA Corporation,NVDA,1.97017,264.91,-9.62,(-3.50%),2023-04-05,"28,723,564",1.74,6.01,157.69,45.66,0.06%,668.47B
5,Alphabet Inc. Class A,GOOGL,1.819548,103.93,-0.79,(-0.75%),2023-04-05,"15,324,576",4.49,6.08,23.34,17.23,-,1307.02B
6,Berkshire Hathaway Inc. Class B,BRK.B,1.624509,309.83,0.76,(0.25%),2023-04-05,"795,493",-,17.79,-,17.37,-,676.31B
7,Alphabet Inc. Class C,GOOG,1.592255,104.43,-0.69,(-0.66%),2023-04-05,"10,636,558",4.68,6.06,22.46,17.35,-,1344.41B
8,Tesla Inc.,TSLA,1.510982,184.02,-8.56,(-4.44%),2023-04-05,"73,365,695",3.62,5.47,53.13,35.21,-,573.57B
9,Meta Platforms Inc. Class A,META,1.39422,210.8,-3.92,(-1.82%),2023-04-05,"10,023,183",8.36,12.13,25.69,17.71,-,545.92B
10,Exxon Mobil Corporation,XOM,1.381782,115.58,0.56,(0.48%),2023-04-05,"6,638,086",13.27,9.88,8.67,11.65,3.16%,467.52B
11,UnitedHealth Group Incorporated,UNH,1.344475,508.57,15.32,(3.11%),2023-04-05,"2,206,367",21.18,28.28,23.28,17.44,1.34%,457.66B
12,Johnson & Johnson,JNJ,1.208835,163.68,5.19,(3.28%),2023-04-05,"7,792,967",6.74,10.89,23.53,14.56,2.85%,407.65B
13,JPMorgan Chase & Co.,JPM,1.098889,127.45,-0.98,(-0.76%),2023-04-05,"3,787,372",12.09,13.46,10.62,9.54,3.11%,373.46B
14,Visa Inc. Class A,V,1.079216,227.93,0.27,(0.12%),2023-04-05,"1,773,352",7.16,9.67,31.81,23.55,0.79%,462.13B
15,Procter & Gamble Company,PG,1.033926,152.08,1.85,(1.23%),2023-04-05,"2,279,526",5.69,6.33,26.38,23.73,2.43%,351.46B
16,Mastercard Incorporated Class A,MA,0.89569,363.48,-0.42,(-0.12%),2023-04-05,"677,654",10.22,14.50,35.59,25.10,0.63%,342.92B
17,Chevron Corporation,CVX,0.877269,168.66,-0.38,(-0.22%),2023-04-05,"2,425,414",18.26,14.91,9.26,11.34,3.57%,320.78B
18,Home Depot Inc.,HD,0.876992,288.85,-6.11,(-2.07%),2023-04-05,"1,342,699",16.69,16.81,17.67,17.54,2.83%,289.47B
19,AbbVie Inc.,ABBV,0.82433,161.39,1.61,(1.00%),2023-04-05,"2,462,237",6.63,11.11,24.10,14.38,3.71%,279.31B
20,Eli Lilly and Company,LLY,0.815879,362.77,8.15,(2.30%),2023-04-05,"1,471,781",6.91,11.72,51.32,30.26,1.27%,335.04B
21,Merck & Co. Inc.,MRK,0.804957,112.02,3.19,(2.93%),2023-04-05,"3,229,350",5.71,8.51,19.05,12.78,2.68%,275.05B
22,Broadcom Inc.,AVGO,0.773411,628.04,-6.37,(-1.00%),2023-04-05,"512,262",29.74,44.20,21.33,14.35,2.90%,261.29B
23,PepsiCo Inc.,PEP,0.730643,184.35,2.5,(1.38%),2023-04-05,"1,359,249",6.48,7.87,28.08,23.10,2.53%,248.45B
24,Coca-Cola Company,KO,0.706349,62.87,0.66,(1.06%),2023-04-05,"5,082,799",2.19,2.80,28.37,22.23,2.96%,268.36B
25,Pfizer Inc.,PFE,0.669765,42.13,1.23,(3.00%),2023-04-05,"10,014,518",5.47,3.77,7.47,10.86,4.01%,228.48B
26,Thermo Fisher Scientific Inc.,TMO,0.659233,577.1,0.92,(0.16%),2023-04-05,"464,527",17.64,26.75,32.67,21.54,0.24%,216.91B
27,Costco Wholesale Corporation,COST,0.644308,495.84,-1.89,(-0.38%),2023-04-05,"719,871",13.61,15.69,36.57,31.73,0.72%,218.34B
28,Cisco Systems Inc.,CSCO,0.621038,51.72,-0.1,(-0.19%),2023-04-05,"4,850,511",2.73,4.03,18.98,12.86,3.01%,208.81B
29,McDonald's Corporation,MCD,0.603147,283.75,1.47,(0.52%),2023-04-05,"824,344",8.34,11.70,33.83,24.13,2.15%,205.14B
30,Walmart Inc.,WMT,0.602318,149.26,2.03,(1.38%),2023-04-05,"3,703,405",4.27,6.75,34.46,21.82,1.55%,392.09B
31,Salesforce Inc.,CRM,0.575287,194.74,-2.46,(-1.25%),2023-04-05,"1,576,873",0.21,8.88,957.28,22.20,-,194.06B
32,Bank of America Corp,BAC,0.569708,27.5,-0.48,(-1.70%),2023-04-05,"21,821,864",3.19,3.64,8.78,7.69,3.15%,221.47B
