#,Company,Symbol,Weight,Price,Chg,% Chg,date,Volume,EPS (Trailing),EPS (Forward),P/E (Trailing),P/E (Forward),Dividend Yield,Market Cap
33,Walt Disney Company,DIS,0.530638,99.45,-0.12,(-0.12%),2023-04-05,"3,100,322",1.82,5.52,54.77,18.05,-,178.21B
34,Accenture Plc Class A,ACN,0.52513,281.17,-4.67,(-1.63%),2023-04-05,"769,784",10.86,12.57,26.31,22.75,1.57%,187.31B
35,Abbott Laboratories,ABT,0.522894,103.27,0.47,(0.46%),2023-04-05,"2,231,933",3.92,4.83,26.19,21.31,1.98%,174.81B
36,Adobe Incorporated,ADBE,0.514379,377.52,-7.63,(-1.98%),2023-04-05,"993,539",10.14,17.61,37.98,21.88,-,174.73B
37,Linde plc,LIN,0.514074,354.07,-3.74,(-1.04%),2023-04-05,"766,269",8.24,14.76,43.43,24.25,1.43%,174.16B
38,Verizon Communications Inc.,VZ,0.485802,39.88,0.23,(0.59%),2023-04-05,"8,045,109",5.06,4.72,7.84,8.40,6.58%,165.54B
39,Texas Instruments Incorporated,TXN,0.476808,175.86,-4.54,(-2.52%),2023-04-05,"2,035,337",9.40,8.44,19.18,21.37,2.75%,162.13B
40,Danaher Corporation,DHR,0.476097,248.85,-0.13,(-0.05%),2023-04-05,"1,212,018",9.66,11.07,25.77,22.49,0.43%,179.79B
41,Comcast Corporation Class A,CMCSA,0.463509,37.9,0.13,(0.33%),2023-04-05,"5,170,114",1.19,4.10,31.71,9.21,3.07%,156.05B
42,Advanced Micro Devices Inc.,AMD,0.450943,92.05,-3.82,(-3.99%),2023-04-05,"29,131,878",0.89,4.34,108.33,22.08,-,154.28B
43,Netflix Inc.,NFLX,0.450504,337.87,-8.88,(-2.56%),2023-04-05,"1,902,002",9.14,14.38,37.95,24.10,-,151.27B
44,NIKE Inc. Class B,NKE,0.449485,121.15,-2.54,(-2.05%),2023-04-05,"1,581,078",3.47,4.05,35.69,30.53,1.10%,187.82B
45,NextEra Energy Inc.,NEE,0.447306,78.34,1.18,(1.53%),2023-04-05,"3,190,581",2.09,3.38,36.92,22.84,2.42%,152.38B
46,Philip Morris International Inc.,PM,0.441122,98.51,0.97,(1.00%),2023-04-05,"1,098,518",5.81,6.97,16.78,13.99,5.21%,150.42B
47,Bristol-Myers Squibb Company,BMY,0.427423,70.04,1.13,(1.64%),2023-04-05,"3,389,273",2.95,8.21,23.34,8.40,3.31%,142.62B
48,Raytheon Technologies Corporation,RTX,0.425274,99.15,-0.36,(-0.36%),2023-04-05,"1,282,125",3.51,5.82,28.33,17.09,2.21%,144.77B
49,Oracle Corporation,ORCL,0.421447,94.29,0.29,(0.31%),2023-04-05,"2,406,240",3.04,5.58,30.89,16.85,1.70%,247.20B
50,Wells Fargo & Company,WFC,0.409191,36.58,-0.23,(-0.62%),2023-04-05,"6,618,364",3.14,5.24,11.71,7.02,3.26%,139.03B
51,AT&T Inc.,T,0.408402,19.75,0.11,(0.53%),2023-04-05,"11,858,579",-1.26,2.51,-,7.84,5.65%,138.76B
52,United Parcel Service Inc. Class B,UPS,0.405826,190.65,0.04,(0.02%),2023-04-05,"759,571",13.21,12.35,14.43,15.44,3.40%,160.85B
53,Intel Corporation,INTC,0.399478,32.57,-0.53,(-1.61%),2023-04-05,"18,022,346",1.95,1.88,16.97,17.64,1.51%,134.50B
54,QUALCOMM Incorporated,QCOM,0.39861,121.57,-0.73,(-0.60%),2023-04-05,"2,378,965",10.46,11.40,11.70,10.72,2.45%,136.17B
55,Amgen Inc.,AMGN,0.385592,252.37,4.84,(1.95%),2023-04-05,"1,029,697",12.12,18.93,20.43,13.07,3.44%,132.04B
56,ConocoPhillips,COP,0.379527,106.97,0.67,(0.63%),2023-04-05,"1,795,402",14.56,10.89,7.30,9.76,5.02%,129.61B
57,Honeywell International Inc.,HON,0.372172,189.71,-1.23,(-0.65%),2023-04-05,"999,269",7.27,10.04,26.26,19.01,2.16%,126.24B
58,Intuit Inc.,INTU,0.361066,435.39,-4.43,(-1.01%),2023-04-05,"512,082",6.81,15.53,64.57,28.32,0.71%,121.80B
59,Lowe's Companies Inc.,LOW,0.358114,199.02,-3.98,(-1.96%),2023-04-05,"839,927",10.01,14.73,20.29,13.79,2.07%,116.63B
60,Boeing Company,BA,0.350906,209.8,-4.1,(-1.91%),2023-04-05,"1,900,252",-8.30,5.53,-,38.71,-,127.33B
61,Union Pacific Corporation,UNP,0.349648,194.48,-1.4,(-0.71%),2023-04-05,"683,727",11.22,12.62,17.46,15.53,2.65%,118.13B
62,Starbucks Corporation,SBUX,0.348696,104.45,0.45,(0.43%),2023-04-05,"2,209,831",2.88,4.07,36.09,25.54,2.04%,116.30B
63,International Business Machines Corporation,IBM,0.347108,132.23,0.63,(0.48%),2023-04-05,"917,434",1.90,10.13,69.30,12.99,5.02%,117.67B
64,Prologis Inc.,PLD,0.3336,123.07,-1.01,(-0.81%),2023-04-05,"700,386",4.36,2.85,28.49,43.49,2.80%,111.96B
65,S&P Global Inc.,SPGI,0.332688,344.96,-1.45,(-0.42%),2023-04-05,"284,289",10.50,14.37,33.00,24.11,1.04%,112.45B
66,Elevance Health Inc.,ELV,0.331256,484.14,8.71,(1.83%),2023-04-05,"480,194",24.79,36.99,19.18,12.85,1.25%,112.68B
67,Caterpillar Inc.,CAT,0.330127,213.57,-3.88,(-1.79%),2023-04-05,"1,678,072",12.64,17.21,17.20,12.64,2.21%,110.17B
68,Lockheed Martin Corporation,LMT,0.323829,490.85,2.31,(0.47%),2023-04-05,"521,409",21.72,27.97,22.49,17.47,2.46%,124.46B
69,Morgan Stanley,MS,0.323286,83.7,-1.12,(-1.32%),2023-04-05,"2,124,490",6.14,8.13,13.82,10.44,3.65%,139.92B
70,Goldman Sachs Group Inc.,GS,0.31874,320.08,-2.57,(-0.80%),2023-04-05,"440,366",30.06,40.08,10.73,8.05,3.10%,105.73B
71,Deere & Company,DE,0.31371,373.46,-24.2,(-6.09%),2023-04-05,"1,412,893",26.96,32.11,14.75,12.38,1.26%,115.21B
72,Medtronic Plc,MDT,0.308384,80.15,0.68,(0.86%),2023-04-05,"1,736,924",3.04,5.28,26.12,15.04,3.42%,103.84B
73,General Electric Company,GE,0.301534,93.86,-1.19,(-1.25%),2023-04-05,"4,375,701",0.54,3.90,175.05,24.38,0.34%,101.95B
74,Gilead Sciences Inc.,GILD,0.298742,83.47,1.35,(1.65%),2023-04-05,"1,576,007",3.64,7.22,22.57,11.38,3.65%,100.67B
75,Booking Holdings Inc.,BKNG,0.298109,2592.81,-45.5,(-1.73%),2023-04-05,"110,728",77.88,154.83,33.88,17.04,-,97.72B
76,Applied Materials Inc.,AMAT,0.295437,116.25,-3.87,(-3.22%),2023-04-05,"2,199,110",7.46,6.84,16.10,17.56,1.07%,100.92B
77,Analog Devices Inc.,ADI,0.288513,190.25,-4.87,(-2.50%),2023-04-05,"1,131,117",6.62,10.93,29.46,17.85,1.76%,97.20B
78,BlackRock Inc.,BLK,0.288444,653.23,-5.88,(-0.89%),2023-04-05,"152,228",33.95,39.62,19.41,16.63,3.03%,97.83B
79,CVS Health Corporation,CVS,0.285642,77.27,1.02,(1.34%),2023-04-05,"3,130,714",3.12,9.07,24.43,8.40,3.17%,98.43B
80,American Express Company,AXP,0.282984,160.5,-2.06,(-1.27%),2023-04-05,"911,040",9.83,12.55,16.53,12.95,1.48%,119.09B
81,Stryker Corporation,SYK,0.282386,288.79,1.69,(0.59%),2023-04-05,"399,120",6.17,11.13,46.52,25.80,1.04%,107.03B
82,ServiceNow Inc.,NOW,0.281927,466.33,-9.72,(-2.04%),2023-04-05,"477,459",1.60,11.35,298.09,41.94,-,90.97B
83,Mondelez International Inc. Class A,MDLZ,0.280533,71.45,0.93,(1.32%),2023-04-05,"2,019,781",1.96,3.44,35.98,20.51,2.18%,95.95B
84,American Tower Corporation,AMT,0.275908,206.87,3.42,(1.68%),2023-04-05,"695,750",3.84,5.01,52.98,40.63,3.07%,93.27B
85,TJX Companies Inc,TJX,0.265909,78.15,-0.49,(-0.63%),2023-04-05,"1,041,049",2.97,3.90,26.45,20.17,1.69%,89.19B
86,Intuitive Surgical Inc.,ISRG,0.260362,257.33,2.62,(1.03%),2023-04-05,"422,699",3.65,6.21,69.75,41.02,-,87.76B
87,Citigroup Inc.,C,0.25999,45.56,-0.54,(-1.16%),2023-04-05,"5,477,091",7.11,6.65,6.48,6.93,4.43%,88.14B
88,Automatic Data Processing Inc.,ADP,0.258729,212.71,-1.33,(-0.62%),2023-04-05,"913,666",7.53,9.02,28.44,23.74,2.34%,87.44B
89,Regeneron Pharmaceuticals Inc.,REGN,0.257822,834.91,12.82,(1.56%),2023-04-05,"201,568",38.24,45.08,21.50,18.24,-,88.76B
90,T-Mobile US Inc.,TMUS,0.252812,148.56,2.25,(1.54%),2023-04-05,"2,367,291",2.33,9.68,62.93,15.12,-,178.08B
91,PayPal Holdings Inc.,PYPL,0.2484,73.33,-1.93,(-2.56%),2023-04-05,"4,614,859",2.10,5.63,35.92,13.38,-,83.41B
92,Progressive Corporation,PGR,0.245867,146.76,2.48,(1.72%),2023-04-05,"786,275",1.16,7.94,124.38,18.16,0.28%,84.89B
93,Marsh & McLennan Companies Inc.,MMC,0.242282,168.78,1.06,(0.63%),2023-04-05,"429,949",6.03,8.33,27.82,20.14,1.41%,82.12B
94,Chubb Limited,CB,0.236267,196.36,0.9,(0.46%),2023-04-05,"302,488",12.52,20.09,15.62,9.73,1.70%,80.81B
95,Vertex Pharmaceuticals Incorporated,VRTX,0.235817,319.27,4.85,(1.54%),2023-04-05,"284,782",12.82,15.49,24.53,20.29,-,80.09B
96,Altria Group Inc.,MO,0.232348,44.48,0.03,(0.07%),2023-04-05,"2,335,159",3.19,5.30,13.94,8.39,8.46%,79.15B
97,Zoetis Inc. Class A,ZTS,0.226777,167.8,0.73,(0.44%),2023-04-05,"328,607",4.50,6.08,37.17,27.48,0.90%,76.35B
98,Cigna Group,CI,0.223528,264.7,8.16,(3.18%),2023-04-05,"1,110,175",21.37,28.24,12.00,9.08,1.92%,75.77B
99,Target Corporation,TGT,0.222586,164.36,-1.69,(-1.02%),2023-04-05,"1,041,949",5.98,10.57,27.75,15.71,2.60%,73.97B
100,Charles Schwab Corp,SCHW,0.222489,48.6,-1.4,(-2.80%),2023-04-05,"18,340,270",3.50,4.89,14.27,10.21,2.00%,92.28B
101,Southern Company,SO,0.220776,71.26,1.63,(2.33%),2023-04-05,"1,996,862",3.27,4.03,21.29,17.29,3.91%,75.25B
102,Duke Energy Corporation,DUK,0.215837,98.48,2.25,(2.34%),2023-04-05,"1,995,952",4.89,5.98,19.67,16.09,4.18%,73.92B
103,Schlumberger N.V.,SLB,0.209061,50.45,-0.02,(-0.03%),2023-04-05,"3,791,577",2.39,3.73,21.09,13.55,1.98%,71.14B
104,Boston Scientific Corporation,BSX,0.208875,50.72,0.65,(1.30%),2023-04-05,"2,873,275",0.45,2.15,112.26,23.27,-,71.35B
105,Fiserv Inc.,FISV,0.206366,111.68,0.09,(0.08%),2023-04-05,"681,173",3.91,8.38,28.56,13.32,-,70.07B
106,Becton Dickinson and Company,BDX,0.205462,251.25,3.0,(1.21%),2023-04-05,"235,603",5.18,13.62,47.96,18.22,1.47%,69.67B
107,EOG Resources Inc.,EOG,0.204624,118.86,-0.76,(-0.64%),2023-04-05,"1,334,962",13.21,13.13,9.05,9.11,2.76%,69.63B
108,CME Group Inc. Class A,CME,0.202257,194.51,1.47,(0.76%),2023-04-05,"441,145",7.40,8.80,26.09,21.94,2.28%,68.50B
109,Lam Research Corporation,LRCX,0.198518,488.64,-15.7,(-3.10%),2023-04-05,"641,618",37.20,27.14,13.56,18.58,1.37%,68.21B
110,Northrop Grumman Corp.,NOC,0.197389,470.85,2.75,(0.59%),2023-04-05,"239,873",31.50,24.45,14.86,19.15,1.48%,71.53B
111,Aon Plc Class A,AON,0.192118,321.04,2.19,(0.69%),2023-04-05,"244,768",12.12,16.28,26.30,19.58,0.70%,64.93B
112,Equinix Inc.,EQIX,0.191494,713.59,3.11,(0.44%),2023-04-05,"148,705",7.67,10.46,92.57,67.92,1.92%,64.18B
113,Illinois Tool Works Inc.,ITW,0.190906,230.15,-4.34,(-1.85%),2023-04-05,"344,195",9.77,10.34,24.00,22.69,2.23%,70.43B
114,Eaton Corp. Plc,ETN,0.188244,158.54,-3.71,(-2.29%),2023-04-05,"826,006",6.14,9.14,26.42,17.74,2.12%,63.81B
115,Air Products and Chemicals Inc.,APD,0.184274,285.16,-0.09,(-0.03%),2023-04-05,"257,129",10.13,12.49,28.15,22.83,2.45%,61.70B
116,Humana Inc.,HUM,0.183506,508.54,5.23,(1.04%),2023-04-05,"593,087",22.04,31.94,22.84,15.76,0.70%,63.33B
117,Micron Technology Inc.,MU,0.182307,56.33,-0.94,(-1.65%),2023-04-05,"9,447,323",1.39,0.46,41.14,124.50,0.80%,65.34B
118,Colgate-Palmolive Company,CL,0.182084,75.79,1.06,(1.41%),2023-04-05,"1,404,235",2.12,3.41,35.18,21.91,2.57%,62.14B
119,CSX Corporation,CSX,0.1807,29.3,-0.21,(-0.70%),2023-04-05,"4,660,828",1.95,2.03,15.15,14.52,1.49%,59.97B
120,Waste Management Inc.,WM,0.177902,163.01,-0.52,(-0.32%),2023-04-05,"568,715",5.39,6.72,30.32,24.35,1.71%,65.85B
121,Activision Blizzard Inc.,ATVI,0.17683,85.19,0.08,(0.09%),2023-04-05,"2,250,344",1.92,4.15,44.37,20.49,0.55%,66.20B
122,Intercontinental Exchange Inc.,ICE,0.172879,105.61,-0.43,(-0.41%),2023-04-05,"1,067,886",2.57,5.97,41.24,17.75,1.58%,58.37B
123,Synopsys Inc.,SNPS,0.171154,378.35,-6.58,(-1.71%),2023-04-05,"412,508",6.05,12.11,63.62,31.80,-,57.06B
124,Cadence Design Systems Inc.,CDNS,0.169267,207.32,-4.19,(-1.98%),2023-04-05,"448,839",3.09,5.59,68.52,37.83,-,56.94B
125,Crown Castle Inc.,CCI,0.168596,135.02,1.33,(0.99%),2023-04-05,"365,500",3.86,3.56,34.64,37.52,4.68%,57.38B
126,Freeport-McMoRan Inc.,FCX,0.167875,39.83,-0.43,(-1.07%),2023-04-05,"4,089,215",2.38,2.36,16.92,17.08,0.75%,56.60B
127,Marathon Petroleum Corporation,MPC,0.16664,130.1,4.28,(3.40%),2023-04-05,"2,502,778",28.44,13.53,4.42,9.30,2.38%,55.20B
128,Estee Lauder Companies Inc. Class A,EL,0.165289,241.34,-3.22,(-1.32%),2023-04-05,"304,942",4.12,7.31,59.29,33.46,1.08%,87.45B
129,HCA Healthcare Inc,HCA,0.16502,269.57,2.34,(0.88%),2023-04-05,"343,882",19.24,19.36,13.89,13.80,0.90%,72.90B
130,3M Company,MMM,0.164616,101.9,-0.35,(-0.35%),2023-04-05,"1,072,768",10.14,9.51,10.08,10.75,5.87%,55.14B
131,KLA Corporation,KLAC,0.158705,379.68,-13.2,(-3.35%),2023-04-05,"259,802",24.32,19.17,16.15,20.50,1.32%,53.97B
132,O'Reilly Automotive Inc.,ORLY,0.157598,860.66,-3.78,(-0.44%),2023-04-05,"107,414",33.49,41.05,25.81,21.06,-,52.98B
133,Sherwin-Williams Company,SHW,0.153575,220.8,-2.44,(-1.09%),2023-04-05,"448,067",7.72,9.86,28.91,22.63,1.08%,55.62B
134,FedEx Corporation,FDX,0.153431,228.1,1.61,(0.71%),2023-04-05,"2,908,003",11.60,18.33,19.53,12.36,2.03%,55.91B
135,Moderna Inc.,MRNA,0.150589,155.11,-1.41,(-0.90%),2023-04-05,"1,147,314",19.96,-3.37,7.84,-,-,57.95B
136,General Dynamics Corporation,GD,0.150549,228.78,-0.54,(-0.24%),2023-04-05,"362,446",12.19,14.76,18.81,15.54,2.30%,62.52B
137,Edwards Lifesciences Corporation,EW,0.149905,83.34,0.14,(0.17%),2023-04-05,"825,194",2.44,2.85,34.11,29.20,-,49.72B
138,General Mills Inc.,GIS,0.148862,87.2,1.13,(1.31%),2023-04-05,"1,869,916",4.63,4.48,18.58,19.22,2.51%,50.26B
139,Pioneer Natural Resources Company,PXD,0.145998,208.81,-1.95,(-0.92%),2023-04-05,"684,029",31.01,23.39,6.80,9.01,12.92%,49.00B
140,Ford Motor Company,F,0.145791,12.36,-0.36,(-2.85%),2023-04-05,"25,137,770",-0.49,1.64,-,7.75,4.72%,49.46B
141,General Motors Company,GM,0.14541,34.72,-1.02,(-2.85%),2023-04-05,"5,035,455",6.13,6.34,5.83,5.63,1.01%,48.91B
142,McKesson Corporation,MCK,0.145009,371.79,8.8,(2.42%),2023-04-05,"521,765",21.85,26.45,16.62,13.72,0.60%,49.95B
143,PNC Financial Services Group Inc.,PNC,0.144293,120.55,-2.28,(-1.86%),2023-04-05,"1,320,317",13.84,15.19,8.87,8.09,4.88%,49.07B
144,Valero Energy Corporation,VLO,0.143094,132.19,4.76,(3.73%),2023-04-05,"4,109,712",29.12,16.12,4.38,7.91,3.20%,46.01B
145,U.S. Bancorp,USB,0.142498,34.83,-0.23,(-0.66%),2023-04-05,"4,963,328",3.69,5.35,9.49,6.55,5.48%,52.81B
146,Public Storage,PSA,0.142157,306.22,-2.04,(-0.66%),2023-04-05,"498,621",23.49,12.06,13.12,25.55,3.89%,52.85B
147,Emerson Electric Co.,EMR,0.141981,83.37,-1.81,(-2.12%),2023-04-05,"684,989",4.48,4.50,19.01,18.92,2.44%,47.81B
148,Chipotle Mexican Grill Inc.,CMG,0.13981,1699.31,-35.5,(-2.05%),2023-04-05,"105,164",32.06,51.22,54.11,33.87,-,46.91B
149,Dollar General Corporation,DG,0.139702,214.14,-0.05,(-0.02%),2023-04-05,"600,083",10.68,12.55,20.05,17.07,1.10%,46.31B
150,Motorola Solutions Inc.,MSI,0.139454,283.65,-2.25,(-0.79%),2023-04-05,"434,457",7.93,12.48,36.05,22.90,1.23%,47.07B
151,Moody's Corporation,MCO,0.139164,300.9,-3.04,(-1.00%),2023-04-05,"125,398",7.69,11.14,39.53,27.28,1.01%,54.78B
152,Amphenol Corporation Class A,APH,0.138022,78.09,-1.54,(-1.94%),2023-04-05,"605,973",3.06,3.30,25.99,24.10,1.05%,46.73B
153,Sempra Energy,SRE,0.137571,153.34,3.08,(2.05%),2023-04-05,"337,405",6.62,9.59,22.70,15.67,3.17%,46.77B
154,Occidental Petroleum Corporation,OXY,0.137288,64.13,-0.7,(-1.08%),2023-04-05,"5,826,402",12.43,5.83,5.22,11.11,1.11%,58.12B
155,AutoZone Inc.,AZO,0.136973,2500.27,-1.78,(-0.07%),2023-04-05,"44,497",122.14,146.03,20.49,17.13,-,45.06B
156,Dominion Energy Inc,D,0.136884,57.51,1.2,(2.13%),2023-04-05,"1,753,246",1.06,3.82,53.07,14.74,4.74%,46.85B
157,American Electric Power Company Inc.,AEP,0.136438,94.16,2.99,(3.28%),2023-04-05,"1,817,112",4.50,5.64,20.26,16.17,3.64%,46.56B
158,Norfolk Southern Corporation,NSC,0.136236,203.71,-1.31,(-0.64%),2023-04-05,"576,756",13.88,14.87,14.77,13.79,2.63%,46.00B
159,Roper Technologies Inc.,ROP,0.134995,435.14,-1.87,(-0.43%),2023-04-05,"132,650",9.23,17.31,47.36,25.25,0.62%,46.04B
160,Phillips 66,PSX,0.133607,100.34,2.06,(2.10%),2023-04-05,"1,504,228",22.93,13.27,4.29,7.40,4.27%,44.97B
161,NXP Semiconductors NV,NXPI,0.132913,171.82,-4.3,(-2.44%),2023-04-05,"696,557",10.56,13.84,16.68,12.73,2.30%,44.52B
162,Kimberly-Clark Corporation,KMB,0.132392,135.44,0.98,(0.73%),2023-04-05,"483,045",5.72,6.75,23.52,19.93,3.51%,44.96B
163,Microchip Technology Incorporated,MCHP,0.130485,79.02,-2.62,(-3.21%),2023-04-05,"1,971,215",3.70,6.23,22.06,13.10,1.75%,44.19B
164,DexCom Inc.,DXCM,0.130089,114.08,-1.56,(-1.35%),2023-04-05,"359,424",0.80,1.46,144.37,79.37,-,44.00B
165,Marriott International Inc. Class A,MAR,0.128823,162.47,-1.91,(-1.16%),2023-04-05,"379,476",7.25,8.60,22.67,19.11,0.97%,49.74B
166,MSCI Inc. Class A,MSCI,0.128189,542.33,-8.05,(-1.46%),2023-04-05,"82,872",10.72,14.91,51.35,36.92,1.00%,43.20B
167,Autodesk Inc.,ADSK,0.12808,197.06,-6.26,(-3.08%),2023-04-05,"450,904",3.78,8.36,53.85,24.32,-,42.29B
168,Archer-Daniels-Midland Company,ADM,0.127009,78.89,-0.5,(-0.62%),2023-04-05,"603,546",7.70,6.68,10.31,11.89,2.27%,43.27B
169,Corteva Inc,CTVA,0.125862,60.41,0.01,(0.01%),2023-04-05,"637,942",1.65,3.47,36.65,17.41,0.99%,42.78B
170,Fortinet Inc.,FTNT,0.124574,65.11,-0.86,(-1.31%),2023-04-05,"1,252,845",1.07,1.68,61.71,39.39,-,51.22B
171,Truist Financial Corporation,TFC,0.123458,31.62,-0.33,(-1.04%),2023-04-05,"4,560,083",4.43,5.06,7.21,6.31,6.51%,42.12B
172,Exelon Corporation,EXC,0.121353,42.85,0.99,(2.37%),2023-04-05,"3,067,355",2.08,2.51,20.13,16.70,3.44%,41.18B
173,Arista Networks Inc.,ANET,0.120389,163.13,-3.61,(-2.17%),2023-04-05,"886,393",4.28,6.48,38.99,25.74,-,49.45B
174,Arthur J. Gallagher & Co.,AJG,0.11999,195.2,1.28,(0.66%),2023-04-05,"228,195",5.20,9.90,37.31,19.59,1.13%,41.16B
175,Parker-Hannifin Corporation,PH,0.119987,311.46,-9.19,(-2.86%),2023-04-05,"655,575",9.68,21.45,33.11,14.95,1.66%,41.18B
176,Ecolab Inc.,ECL,0.119183,165.39,0.52,(0.32%),2023-04-05,"369,575",3.81,5.81,43.26,28.37,1.29%,46.30B
177,Agilent Technologies Inc.,A,0.119159,138.61,0.4,(0.29%),2023-04-05,"559,068",4.43,6.31,31.16,21.92,0.65%,39.73B
178,Newmont Corporation,NEM,0.118904,51.8,0.45,(0.87%),2023-04-05,"4,807,966",-0.57,2.50,-,20.54,3.12%,40.65B
179,Monster Beverage Corporation,MNST,0.117924,53.12,-0.04,(-0.07%),2023-04-05,"1,014,453",1.40,1.76,37.89,30.17,-,53.98B
180,TE Connectivity Ltd.,TEL,0.117227,124.29,-1.98,(-1.57%),2023-04-05,"461,398",7.00,7.63,18.04,16.54,1.87%,39.35B
181,IDEXX Laboratories Inc.,IDXX,0.117005,480.81,-3.2,(-0.66%),2023-04-05,"99,730",8.03,10.93,60.29,44.29,-,39.60B
182,Trane Technologies plc,TT,0.116558,170.58,-3.21,(-1.84%),2023-04-05,"1,411,397",7.58,9.11,22.93,19.08,1.73%,39.58B
