#,Company,Symbol,Weight,Price,Chg,% Chg,date,Volume,EPS (Trailing),EPS (Forward),P/E (Trailing),P/E (Forward),Dividend Yield,Market Cap
13,JPMorgan Chase & Co.,JPM,1.094687,127.39,-0.23,(-0.18%),2023-04-06,"8,765,645",12.09,13.46,10.56,9.48,3.13%,371.11B
14,Visa Inc. Class A,V,1.084337,225.8,-2.37,(-1.04%),2023-04-06,"4,284,629",7.16,9.67,31.89,23.60,0.79%,463.16B
15,Procter & Gamble Company,PG,1.043617,152.16,0.9,(0.59%),2023-04-06,"5,399,181",5.69,6.33,26.56,23.89,2.42%,353.87B
16,Mastercard Incorporated Class A,MA,0.897657,361.24,-2.55,(-0.70%),2023-04-06,"2,357,623",10.22,14.50,35.58,25.09,0.63%,342.82B
17,Chevron Corporation,CVX,0.883832,167.62,-2.26,(-1.33%),2023-04-06,"5,796,155",18.26,14.91,9.30,11.39,3.56%,322.38B
18,Home Depot Inc.,HD,0.860435,288.52,-0.16,(-0.05%),2023-04-06,"3,192,758",16.69,16.81,17.30,17.17,2.90%,283.30B
19,Eli Lilly and Company,LLY,0.835493,368.0,5.76,(1.59%),2023-04-06,"3,530,420",6.91,11.72,52.42,30.91,1.25%,342.24B
20,AbbVie Inc.,ABBV,0.831665,160.87,0.07,(0.04%),2023-04-06,"5,497,996",6.63,11.11,24.26,14.47,3.68%,281.09B
21,Merck & Co. Inc.,MRK,0.829807,111.89,-0.02,(-0.02%),2023-04-06,"6,890,859",5.71,8.51,19.59,13.14,2.61%,282.84B
22,Broadcom Inc.,AVGO,0.768744,622.45,-6.56,(-1.04%),2023-04-06,"1,448,922",29.74,44.20,21.15,14.23,2.93%,259.06B
23,PepsiCo Inc.,PEP,0.739679,184.36,0.72,(0.39%),2023-04-06,"3,389,511",6.48,7.87,28.35,23.33,2.50%,250.89B
24,Coca-Cola Company,KO,0.71483,62.8,-0.0,(-0.00%),2023-04-06,"9,639,877",2.19,2.80,28.64,22.44,2.93%,270.90B
25,Pfizer Inc.,PFE,0.682109,41.53,-0.02,(-0.05%),2023-04-06,"25,919,326",5.47,3.77,7.59,11.03,3.95%,232.11B
26,Thermo Fisher Scientific Inc.,TMO,0.665101,576.6,-3.26,(-0.56%),2023-04-06,"780,737",17.64,26.75,32.88,21.68,0.24%,218.30B
27,Costco Wholesale Corporation,COST,0.645139,485.62,-11.5,(-2.32%),2023-04-06,"4,111,880",13.61,15.69,36.53,31.69,0.72%,218.08B
28,Cisco Systems Inc.,CSCO,0.62259,51.23,-0.6,(-1.15%),2023-04-06,"14,746,046",2.73,4.03,18.98,12.86,3.01%,208.81B
29,Walmart Inc.,WMT,0.613831,150.8,1.13,(0.75%),2023-04-06,"5,961,904",4.27,6.75,35.03,22.18,1.52%,398.59B
30,McDonald's Corporation,MCD,0.604097,282.8,0.78,(0.28%),2023-04-06,"1,729,776",8.34,11.70,33.80,24.11,2.16%,204.96B
31,Salesforce Inc.,CRM,0.571198,192.4,-2.91,(-1.49%),2023-04-06,"6,302,679",0.21,8.88,948.11,21.98,-,192.20B
32,Bank of America Corp,BAC,0.564192,27.86,0.22,(0.81%),2023-04-06,"40,977,128",3.19,3.64,8.68,7.60,3.18%,218.78B
33,Walt Disney Company,DIS,0.533781,99.95,0.04,(0.04%),2023-04-06,"7,025,430",1.82,5.52,54.96,18.11,-,178.82B
34,Abbott Laboratories,ABT,0.53139,105.13,0.92,(0.88%),2023-04-06,"5,065,002",3.92,4.83,26.55,21.60,1.96%,177.21B
35,Accenture Plc Class A,ACN,0.518136,282.95,1.62,(0.58%),2023-04-06,"2,125,308",10.86,12.57,25.90,22.39,1.59%,184.35B
36,Linde plc,LIN,0.512205,350.63,-4.98,(-1.40%),2023-04-06,"1,628,887",8.24,14.76,43.17,24.10,1.43%,173.10B
37,Adobe Incorporated,ADBE,0.511474,379.8,-2.22,(-0.58%),2023-04-06,"1,835,744",10.14,17.61,37.67,21.70,-,173.31B
38,Verizon Communications Inc.,VZ,0.492666,39.51,-0.6,(-1.50%),2023-04-06,"21,539,504",5.06,4.72,7.93,8.50,6.51%,167.46B
39,Danaher Corporation,DHR,0.474833,246.57,-1.13,(-0.45%),2023-04-06,"2,042,867",9.66,11.07,25.63,22.37,0.44%,178.86B
40,Texas Instruments Incorporated,TXN,0.46952,178.18,0.98,(0.55%),2023-04-06,"3,742,992",9.40,8.44,18.84,21.00,2.80%,159.25B
41,Comcast Corporation Class A,CMCSA,0.466513,37.48,-0.45,(-1.17%),2023-04-06,"20,358,186",1.19,4.10,31.84,9.25,3.06%,156.67B
42,NextEra Energy Inc.,NEE,0.455224,79.06,0.73,(0.93%),2023-04-06,"5,156,376",2.09,3.38,37.48,23.19,2.39%,154.69B
43,Philip Morris International Inc.,PM,0.447665,99.26,0.52,(0.53%),2023-04-06,"3,468,899",5.81,6.97,16.98,14.17,5.14%,152.27B
44,Netflix Inc.,NFLX,0.445898,338.98,-3.37,(-0.99%),2023-04-06,"4,656,135",9.14,14.38,37.46,23.80,-,149.35B
45,NIKE Inc. Class B,NKE,0.440444,120.21,-0.7,(-0.57%),2023-04-06,"4,255,691",3.47,4.05,34.88,29.84,1.12%,183.58B
46,Advanced Micro Devices Inc.,AMD,0.436462,92.31,-0.25,(-0.27%),2023-04-06,"47,717,074",0.89,4.34,104.59,21.32,-,148.95B
47,Bristol-Myers Squibb Company,BMY,0.43415,70.62,0.8,(1.14%),2023-04-06,"9,668,409",2.95,8.21,23.65,8.51,3.27%,144.50B
48,Oracle Corporation,ORCL,0.4265,95.72,0.83,(0.87%),2023-04-06,"9,141,033",3.04,5.58,31.18,17.01,1.69%,249.54B
49,Raytheon Technologies Corporation,RTX,0.423124,98.24,-0.53,(-0.53%),2023-04-06,"3,430,692",3.51,5.82,28.12,16.96,2.23%,143.68B
50,AT&T Inc.,T,0.414426,19.62,-0.27,(-1.33%),2023-04-06,"29,747,866",-1.26,2.51,-,7.93,5.58%,140.45B
51,Wells Fargo & Company,WFC,0.411105,37.9,1.01,(2.74%),2023-04-06,"23,428,643",3.14,5.24,11.73,7.04,3.25%,139.34B
52,United Parcel Service Inc. Class B,UPS,0.404258,188.65,-0.76,(-0.40%),2023-04-06,"2,206,137",13.21,12.35,14.34,15.34,3.42%,159.83B
53,QUALCOMM Incorporated,QCOM,0.402023,122.97,-0.08,(-0.06%),2023-04-06,"5,258,523",10.46,11.40,11.77,10.79,2.44%,137.00B
54,Intel Corporation,INTC,0.39721,32.79,-0.04,(-0.12%),2023-04-06,"28,517,390",1.95,1.88,16.83,17.50,1.52%,133.41B
55,Amgen Inc.,AMGN,0.395676,251.59,-1.78,(-0.70%),2023-04-06,"2,046,801",12.12,18.93,20.91,13.38,3.36%,135.15B
56,ConocoPhillips,COP,0.385666,105.95,-1.8,(-1.67%),2023-04-06,"5,086,206",14.56,10.89,7.40,9.89,4.96%,131.38B
57,Honeywell International Inc.,HON,0.370152,190.58,1.15,(0.60%),2023-04-06,"2,779,887",7.27,10.04,26.05,18.86,2.17%,125.24B
58,Intuit Inc.,INTU,0.361424,446.63,7.48,(1.70%),2023-04-06,"1,673,506",6.81,15.53,64.48,28.28,0.71%,121.61B
59,Lowe's Companies Inc.,LOW,0.352696,198.6,-0.84,(-0.42%),2023-04-06,"2,403,242",10.01,14.73,19.93,13.54,2.11%,114.58B
60,Starbucks Corporation,SBUX,0.352592,104.55,-0.36,(-0.34%),2023-04-06,"3,146,243",2.88,4.07,36.40,25.76,2.02%,117.31B
61,International Business Machines Corporation,IBM,0.349404,130.5,-1.64,(-1.24%),2023-04-06,"3,048,099",1.90,10.13,69.58,13.04,4.99%,118.16B
62,Union Pacific Corporation,UNP,0.347533,198.17,3.96,(2.04%),2023-04-06,"3,279,999",11.22,12.62,17.31,15.39,2.68%,117.12B
63,Boeing Company,BA,0.345369,211.23,1.23,(0.59%),2023-04-06,"5,611,154",-8.30,5.53,-,38.01,-,125.00B
64,Elevance Health Inc.,ELV,0.338551,479.25,-5.44,(-1.12%),2023-04-06,"815,898",24.79,36.99,19.55,13.10,1.22%,114.87B
65,S&P Global Inc.,SPGI,0.331776,343.63,-0.98,(-0.28%),2023-04-06,"1,292,673",10.50,14.37,32.83,23.98,1.04%,111.86B
66,Prologis Inc.,PLD,0.329555,123.0,0.73,(0.60%),2023-04-06,"2,104,838",4.36,2.85,28.08,42.86,2.85%,110.33B
67,Lockheed Martin Corporation,LMT,0.325601,490.3,0.31,(0.06%),2023-04-06,"1,093,288",21.72,27.97,22.56,17.52,2.45%,124.83B
68,Caterpillar Inc.,CAT,0.324986,209.15,-4.38,(-2.05%),2023-04-06,"4,176,559",12.64,17.21,16.89,12.41,2.25%,108.18B
69,Morgan Stanley,MS,0.320273,84.24,0.42,(0.50%),2023-04-06,"3,876,812",6.14,8.13,13.66,10.31,3.70%,138.27B
70,Goldman Sachs Group Inc.,GS,0.318427,322.5,0.97,(0.30%),2023-04-06,"1,310,626",30.06,40.08,10.70,8.02,3.11%,105.37B
71,Medtronic Plc,MDT,0.312267,79.86,-0.41,(-0.51%),2023-04-06,"4,311,436",3.04,5.28,26.39,15.19,3.39%,104.89B
72,Gilead Sciences Inc.,GILD,0.305068,82.93,-0.72,(-0.86%),2023-04-06,"3,724,485",3.64,7.22,22.99,11.59,3.59%,102.55B
73,General Electric Company,GE,0.299743,93.63,-0.62,(-0.66%),2023-04-06,"6,402,677",0.54,3.90,173.57,24.17,0.34%,101.09B
74,Booking Holdings Inc.,BKNG,0.296279,2584.29,-31.3,(-1.20%),2023-04-06,"273,107",77.88,154.83,33.59,16.89,-,96.88B
75,Deere & Company,DE,0.29564,369.53,-4.3,(-1.15%),2023-04-06,"1,846,704",26.96,32.11,13.87,11.64,1.34%,108.31B
76,CVS Health Corporation,CVS,0.291989,77.62,-0.14,(-0.17%),2023-04-06,"8,776,356",3.12,9.07,24.91,8.57,3.11%,100.36B
77,Applied Materials Inc.,AMAT,0.289271,114.37,-2.95,(-2.51%),2023-04-06,"6,265,751",7.46,6.84,15.72,17.15,1.09%,98.57B
78,BlackRock Inc.,BLK,0.287817,665.82,9.78,(1.49%),2023-04-06,"441,501",33.95,39.62,19.32,16.56,3.05%,97.37B
79,Mondelez International Inc. Class A,MDLZ,0.284743,71.18,-0.22,(-0.31%),2023-04-06,"5,023,998",1.96,3.44,36.43,20.77,2.16%,97.14B
80,Stryker Corporation,SYK,0.284008,286.85,-1.18,(-0.41%),2023-04-06,"1,113,434",6.17,11.13,46.67,25.89,1.04%,107.38B
81,Analog Devices Inc.,ADI,0.282193,188.22,-2.16,(-1.13%),2023-04-06,"3,008,991",6.62,10.93,28.74,17.41,1.81%,94.83B
82,American Express Company,AXP,0.281108,158.55,-2.54,(-1.57%),2023-04-06,"3,753,922",9.83,12.55,16.38,12.83,1.49%,118.01B
83,American Tower Corporation,AMT,0.278283,206.5,1.81,(0.88%),2023-04-06,"1,273,322",3.84,5.01,53.30,40.88,3.05%,93.84B
84,ServiceNow Inc.,NOW,0.277455,472.64,5.31,(1.14%),2023-04-06,"1,691,080",1.60,11.35,292.63,41.17,-,89.30B
85,TJX Companies Inc,TJX,0.264539,77.7,-0.34,(-0.44%),2023-04-06,"3,085,888",2.97,3.90,26.25,20.02,1.70%,88.51B
86,Intuitive Surgical Inc.,ISRG,0.264374,258.45,0.46,(0.18%),2023-04-06,"1,026,317",3.65,6.21,70.64,41.55,-,88.89B
87,Regeneron Pharmaceuticals Inc.,REGN,0.25945,824.35,-0.87,(-0.11%),2023-04-06,"549,988",38.24,45.08,21.58,18.31,-,89.10B
88,Citigroup Inc.,C,0.25883,46.06,0.29,(0.62%),2023-04-06,"11,866,424",7.11,6.65,6.44,6.88,4.46%,87.53B
89,Automatic Data Processing Inc.,ADP,0.258321,214.3,1.13,(0.53%),2023-04-06,"1,966,559",7.53,9.02,28.32,23.65,2.35%,87.08B
90,T-Mobile US Inc.,TMUS,0.258312,148.53,-0.59,(-0.40%),2023-04-06,"4,263,508",2.33,9.68,64.14,15.41,-,181.50B
91,Progressive Corporation,PGR,0.250154,148.0,1.57,(1.07%),2023-04-06,"1,902,929",1.16,7.94,126.23,18.43,0.27%,86.15B
92,Marsh & McLennan Companies Inc.,MMC,0.243583,170.09,1.89,(1.12%),2023-04-06,"1,629,078",6.03,8.33,27.90,20.19,1.40%,82.35B
93,PayPal Holdings Inc.,PYPL,0.243561,74.89,1.28,(1.73%),2023-04-06,"10,516,486",2.10,5.63,35.14,13.08,-,81.58B
94,Vertex Pharmaceuticals Incorporated,VRTX,0.24206,322.48,0.54,(0.17%),2023-04-06,"911,968",12.82,15.49,25.11,20.78,-,82.00B
95,Chubb Limited,CB,0.2375,199.18,3.19,(1.63%),2023-04-06,"1,247,998",12.52,20.09,15.66,9.75,1.69%,81.03B
96,Altria Group Inc.,MO,0.232823,44.52,0.09,(0.20%),2023-04-06,"6,331,855",3.19,5.30,13.93,8.38,8.46%,79.12B
97,Cigna Group,CI,0.232245,263.09,-2.79,(-1.05%),2023-04-06,"1,708,314",21.37,28.24,12.44,9.42,1.85%,78.53B
98,Zoetis Inc. Class A,ZTS,0.228133,168.73,1.08,(0.65%),2023-04-06,"1,594,461",4.50,6.08,37.30,27.58,0.89%,76.62B
99,Southern Company,SO,0.227272,72.45,0.95,(1.33%),2023-04-06,"4,504,668",3.27,4.03,21.86,17.76,3.80%,77.28B
100,Duke Energy Corporation,DUK,0.222245,99.41,0.57,(0.57%),2023-04-06,"2,894,419",4.89,5.98,20.20,16.53,4.07%,75.93B
101,Target Corporation,TGT,0.222054,165.36,0.12,(0.07%),2023-04-06,"2,595,643",5.98,10.57,27.61,15.63,2.61%,73.61B
102,Charles Schwab Corp,SCHW,0.218004,49.38,0.51,(1.04%),2023-04-06,"28,040,953",3.50,4.89,13.94,9.98,2.05%,90.19B
103,Boston Scientific Corporation,BSX,0.212199,50.12,-0.62,(-1.22%),2023-04-06,"9,623,366",0.45,2.15,113.77,23.58,-,72.30B
104,Schlumberger N.V.,SLB,0.21058,49.66,-1.04,(-2.05%),2023-04-06,"6,732,126",2.39,3.73,21.19,13.61,1.97%,71.48B
105,Becton Dickinson and Company,BDX,0.208813,254.85,3.18,(1.27%),2023-04-06,"1,369,835",5.18,13.62,48.62,18.47,1.45%,70.63B
106,Fiserv Inc.,FISV,0.208273,113.7,1.36,(1.21%),2023-04-06,"2,456,058",3.91,8.38,28.75,13.41,-,70.55B
107,EOG Resources Inc.,EOG,0.206422,119.45,-0.93,(-0.77%),2023-04-06,"2,842,302",13.21,13.13,9.11,9.17,2.74%,70.07B
108,CME Group Inc. Class A,CME,0.205021,196.22,1.03,(0.53%),2023-04-06,"1,370,085",7.40,8.80,26.38,22.19,2.25%,69.27B
109,Northrop Grumman Corp.,NOC,0.19907,470.95,0.04,(0.01%),2023-04-06,"575,542",31.50,24.45,14.95,19.26,1.47%,71.96B
110,Lam Research Corporation,LRCX,0.194747,492.63,-0.86,(-0.17%),2023-04-06,"960,472",37.20,27.14,13.27,18.18,1.40%,66.74B
111,Aon Plc Class A,AON,0.194234,322.27,0.71,(0.22%),2023-04-06,"465,827",12.12,16.28,26.52,19.75,0.70%,65.49B
112,Equinix Inc.,EQIX,0.190173,719.8,15.98,(2.27%),2023-04-06,"272,740",7.67,10.46,91.70,67.28,1.94%,63.58B
113,Humana Inc.,HUM,0.188686,521.48,5.25,(1.02%),2023-04-06,"1,057,358",22.04,31.94,23.43,16.16,0.69%,64.95B
114,Illinois Tool Works Inc.,ITW,0.187236,228.29,-1.12,(-0.49%),2023-04-06,"1,061,450",9.77,10.34,23.48,22.20,2.28%,68.90B
115,Eaton Corp. Plc,ETN,0.184318,156.21,-2.26,(-1.43%),2023-04-06,"2,653,185",6.14,9.14,25.81,17.33,2.17%,62.32B
116,Colgate-Palmolive Company,CL,0.184078,75.7,0.34,(0.44%),2023-04-06,"3,261,801",2.12,3.41,35.48,22.10,2.55%,62.66B
117,Air Products and Chemicals Inc.,APD,0.183848,282.3,-1.58,(-0.56%),2023-04-06,"869,161",10.13,12.49,28.01,22.72,2.47%,61.40B
118,Micron Technology Inc.,MU,0.181965,58.5,1.48,(2.60%),2023-04-06,"21,384,090",1.39,0.46,40.96,123.96,0.81%,65.05B
119,CSX Corporation,CSX,0.179801,29.86,0.57,(1.95%),2023-04-06,"18,372,696",1.95,2.03,15.04,14.41,1.50%,59.53B
120,Activision Blizzard Inc.,ATVI,0.177835,85.19,-0.2,(-0.23%),2023-04-06,"6,616,244",1.92,4.15,44.52,20.56,0.55%,66.41B
121,Waste Management Inc.,WM,0.177572,163.29,0.47,(0.29%),2023-04-06,"3,290,498",5.39,6.72,30.19,24.24,1.72%,65.56B
122,Marathon Petroleum Corporation,MPC,0.176204,128.83,-3.89,(-2.93%),2023-04-06,"3,276,528",28.44,13.53,4.67,9.81,2.26%,58.22B
123,Intercontinental Exchange Inc.,ICE,0.173605,108.68,2.46,(2.31%),2023-04-06,"3,103,542",2.57,5.97,41.31,17.78,1.58%,58.47B
124,Crown Castle Inc.,CCI,0.169056,132.53,-1.19,(-0.89%),2023-04-06,"1,149,575",3.86,3.56,34.65,37.53,4.68%,57.39B
125,Synopsys Inc.,SNPS,0.168653,378.24,-0.12,(-0.03%),2023-04-06,"848,396",6.05,12.11,62.54,31.25,-,56.09B
126,Freeport-McMoRan Inc.,FCX,0.168545,40.27,-0.06,(-0.14%),2023-04-06,"8,094,231",2.38,2.36,16.94,17.11,0.74%,56.68B
127,HCA Healthcare Inc,HCA,0.167958,271.67,0.36,(0.13%),2023-04-06,"912,081",19.24,19.36,14.10,14.01,0.88%,74.01B
128,Cadence Design Systems Inc.,CDNS,0.166521,208.5,0.94,(0.45%),2023-04-06,"1,885,652",3.09,5.59,67.24,37.12,-,55.88B
129,3M Company,MMM,0.165092,101.72,-0.57,(-0.56%),2023-04-06,"2,407,113",10.14,9.51,10.08,10.75,5.87%,55.16B
130,Estee Lauder Companies Inc. Class A,EL,0.162226,239.86,0.43,(0.18%),2023-04-06,"1,171,458",4.12,7.31,58.04,32.76,1.10%,85.62B
131,O'Reilly Automotive Inc.,ORLY,0.156878,861.58,3.23,(0.38%),2023-04-06,"247,165",33.49,41.05,25.63,20.91,-,52.61B
132,FedEx Corporation,FDX,0.15615,232.05,2.12,(0.92%),2023-04-06,"3,674,341",11.60,18.33,19.83,12.55,2.00%,56.76B
133,KLA Corporation,KLAC,0.15455,374.73,-6.88,(-1.80%),2023-04-06,"746,520",24.32,19.17,15.69,19.91,1.36%,52.43B
134,Sherwin-Williams Company,SHW,0.153676,224.0,1.17,(0.52%),2023-04-06,"1,366,222",7.72,9.86,28.85,22.59,1.09%,55.52B
135,Valero Energy Corporation,VLO,0.152075,133.24,-1.85,(-1.37%),2023-04-06,"3,167,797",29.12,16.12,4.64,8.38,3.02%,48.77B
136,General Mills Inc.,GIS,0.15095,86.47,-0.59,(-0.67%),2023-04-06,"3,556,200",4.63,4.48,18.80,19.45,2.48%,50.84B
137,Edwards Lifesciences Corporation,EW,0.150731,83.72,0.27,(0.32%),2023-04-06,"1,594,874",2.44,2.85,34.21,29.29,-,49.87B
138,General Dynamics Corporation,GD,0.150701,227.86,-1.12,(-0.49%),2023-04-06,"1,511,403",12.19,14.76,18.78,15.52,2.31%,62.43B
139,McKesson Corporation,MCK,0.149449,372.3,-0.88,(-0.23%),2023-04-06,"667,608",21.85,26.45,17.08,14.11,0.58%,51.35B
140,Moderna Inc.,MRNA,0.149123,157.4,2.79,(1.81%),2023-04-06,"2,610,823",19.96,-3.37,7.75,-,-,57.25B
141,Pioneer Natural Resources Company,PXD,0.146113,207.73,-2.67,(-1.27%),2023-04-06,"1,693,487",31.01,23.39,6.79,8.99,12.95%,48.92B
142,General Motors Company,GM,0.143122,34.56,-0.54,(-1.52%),2023-04-06,"10,058,844",6.13,6.34,5.72,5.53,1.03%,48.02B
143,U.S. Bancorp,USB,0.143058,35.81,0.7,(1.99%),2023-04-06,"12,000,700",3.69,5.35,9.50,6.56,5.47%,52.89B
144,PNC Financial Services Group Inc.,PNC,0.143005,121.91,0.48,(0.39%),2023-04-06,"3,463,835",13.84,15.19,8.77,8.00,4.94%,48.51B
145,Ford Motor Company,F,0.142823,12.32,-0.12,(-0.93%),2023-04-06,"36,304,938",-0.49,1.64,-,7.57,4.83%,48.33B
146,Phillips 66,PSX,0.142323,102.68,-1.75,(-1.68%),2023-04-06,"3,807,559",22.93,13.27,4.55,7.87,4.02%,47.78B
147,Public Storage,PSA,0.142049,310.71,3.45,(1.12%),2023-04-06,"990,141",23.49,12.06,13.08,25.47,3.91%,52.67B
148,American Electric Power Company Inc.,AEP,0.141835,95.16,0.62,(0.66%),2023-04-06,"2,991,524",4.50,5.64,21.00,16.77,3.51%,48.28B
149,Sempra Energy,SRE,0.140558,155.18,2.04,(1.33%),2023-04-06,"1,187,729",6.62,9.59,23.14,15.97,3.11%,47.66B
150,Motorola Solutions Inc.,MSI,0.13992,283.7,-2.44,(-0.85%),2023-04-06,"795,140",7.93,12.48,36.08,22.92,1.23%,47.11B
151,Dominion Energy Inc,D,0.139907,58.05,0.64,(1.12%),2023-04-06,"3,196,983",1.06,3.82,54.11,15.02,4.65%,47.76B
152,Moody's Corporation,MCO,0.139012,303.16,0.31,(0.10%),2023-04-06,"564,261",7.69,11.14,39.39,27.18,1.02%,54.58B
153,Emerson Electric Co.,EMR,0.138844,83.62,0.53,(0.64%),2023-04-06,"2,964,760",4.48,4.50,18.55,18.46,2.50%,46.63B
154,Dollar General Corporation,DG,0.138625,212.45,0.44,(0.21%),2023-04-06,"1,094,677",10.68,12.55,19.85,16.90,1.11%,45.84B
155,Chipotle Mexican Grill Inc.,CMG,0.137134,1700.51,3.09,(0.18%),2023-04-06,"217,652",32.06,51.22,52.94,33.14,-,45.90B
156,Occidental Petroleum Corporation,OXY,0.137079,63.14,-1.43,(-2.21%),2023-04-06,"10,462,772",12.43,5.83,5.20,11.07,1.12%,57.89B
157,AutoZone Inc.,AZO,0.136896,2525.0,30.56,(1.23%),2023-04-06,"142,670",122.14,146.03,20.42,17.08,-,44.92B
158,Amphenol Corporation Class A,APH,0.135622,77.57,-0.48,(-0.61%),2023-04-06,"1,816,175",3.06,3.30,25.47,23.62,1.08%,45.81B
159,Roper Technologies Inc.,ROP,0.135453,435.86,-1.54,(-0.35%),2023-04-06,"363,451",9.23,17.31,47.40,25.27,0.62%,46.08B
160,Norfolk Southern Corporation,NSC,0.135258,206.65,3.61,(1.78%),2023-04-06,"3,111,547",13.88,14.87,14.62,13.65,2.66%,45.56B
161,Kimberly-Clark Corporation,KMB,0.133907,136.22,0.56,(0.41%),2023-04-06,"1,465,650",5.72,6.75,23.73,20.11,3.48%,45.37B
162,NXP Semiconductors NV,NXPI,0.130899,170.83,-2.19,(-1.27%),2023-04-06,"1,930,590",10.56,13.84,16.39,12.50,2.34%,43.73B
163,Marriott International Inc. Class A,MAR,0.127715,164.1,1.54,(0.95%),2023-04-06,"1,092,325",7.25,8.60,22.42,18.90,0.98%,49.19B
164,Microchip Technology Incorporated,MCHP,0.127414,78.62,-0.9,(-1.13%),2023-04-06,"3,417,086",3.70,6.23,21.49,12.76,1.80%,43.04B
165,Archer-Daniels-Midland Company,ADM,0.127374,78.38,-1.03,(-1.30%),2023-04-06,"2,413,870",7.70,6.68,10.31,11.89,2.27%,43.29B
166,DexCom Inc.,DXCM,0.127234,112.61,-0.21,(-0.19%),2023-04-06,"1,834,681",0.80,1.46,140.85,77.43,-,42.93B
167,Corteva Inc,CTVA,0.126845,59.74,-0.99,(-1.62%),2023-04-06,"3,045,859",1.65,3.47,36.84,17.50,0.99%,43.01B
168,MSCI Inc. Class A,MSCI,0.125706,542.06,3.69,(0.69%),2023-04-06,"327,997",10.72,14.91,50.23,36.12,1.03%,42.26B
169,Exelon Corporation,EXC,0.124766,43.12,0.19,(0.44%),2023-04-06,"8,745,467",2.08,2.51,20.64,17.13,3.35%,42.24B
170,Autodesk Inc.,ADSK,0.124756,197.29,-0.27,(-0.13%),2023-04-06,"1,174,472",3.78,8.36,52.32,23.63,-,41.09B
171,Truist Financial Corporation,TFC,0.124038,32.82,0.8,(2.50%),2023-04-06,"10,842,058",4.43,5.06,7.23,6.32,6.50%,42.22B
172,Fortinet Inc.,FTNT,0.123333,65.5,0.35,(0.54%),2023-04-06,"2,771,484",1.07,1.68,60.94,38.90,-,50.58B
173,Arthur J. Gallagher & Co.,AJG,0.121133,201.28,6.0,(3.07%),2023-04-06,"895,013",5.20,9.90,37.57,19.73,1.13%,41.45B
174,Newmont Corporation,NEM,0.120873,52.13,0.06,(0.12%),2023-04-06,"8,403,955",-0.57,2.50,-,20.83,3.07%,41.22B
175,Ecolab Inc.,ECL,0.120372,165.77,-0.34,(-0.20%),2023-04-06,"1,102,448",3.81,5.81,43.58,28.58,1.28%,46.64B
176,Biogen Inc.,BIIB,0.119762,283.37,-0.62,(-0.22%),2023-04-06,"737,010",20.92,16.50,13.58,17.21,-,40.60B
177,Agilent Technologies Inc.,A,0.119353,138.0,-0.09,(-0.07%),2023-04-06,"1,158,389",4.43,6.31,31.14,21.90,0.65%,39.70B
178,Arista Networks Inc.,ANET,0.117882,160.85,-2.01,(-1.23%),2023-04-06,"2,677,279",4.28,6.48,38.09,25.14,-,48.30B
179,Monster Beverage Corporation,MNST,0.117418,52.49,-0.31,(-0.59%),2023-04-06,"5,512,166",1.40,1.76,37.63,29.97,-,53.61B
180,Parker-Hannifin Corporation,PH,0.117263,312.85,0.27,(0.09%),2023-04-06,"693,661",9.68,21.45,32.28,14.58,1.70%,40.15B
181,TE Connectivity Ltd.,TEL,0.115863,123.92,-0.57,(-0.45%),2023-04-06,"1,559,008",7.00,7.63,17.78,16.31,1.90%,38.79B
