#,Company,Symbol,Weight,Price,Chg,% Chg,date,Volume,EPS (Trailing),EPS (Forward),P/E (Trailing),P/E (Forward),Dividend Yield,Market Cap
1,Apple Inc.,AAPL,7.122932,164.59,0.83,(0.50%),2023-04-06,"45,312,965",5.89,6.59,27.82,24.83,0.56%,2551.09B
2,Microsoft Corporation,MSFT,6.190083,291.68,7.34,(2.58%),2023-04-06,"29,681,914",8.99,10.75,31.61,26.44,0.96%,2085.37B
3,Amazon.com Inc.,AMZN,2.635975,101.98,0.88,(0.87%),2023-04-06,"43,726,781",-0.27,2.52,-,40.13,-,1023.06B
4,NVIDIA Corporation,NVDA,1.933941,270.21,1.4,(0.52%),2023-04-06,"38,474,736",1.74,6.01,154.40,44.70,0.06%,654.54B
5,Alphabet Inc. Class A,GOOGL,1.819741,108.28,3.81,(3.65%),2023-04-06,"48,662,832",4.49,6.08,23.28,17.19,-,1303.90B
6,Berkshire Hathaway Inc. Class B,BRK.B,1.635525,312.62,2.23,(0.72%),2023-04-06,"3,137,456",-,17.79,-,17.45,-,679.20B
7,Alphabet Inc. Class C,GOOG,1.593653,108.78,3.83,(3.64%),2023-04-06,"34,633,287",4.68,6.06,22.43,17.32,-,1342.23B
8,Tesla Inc.,TSLA,1.459227,185.05,-0.47,(-0.25%),2023-04-06,"123,463,567",3.62,5.47,51.18,33.92,-,552.54B
9,Exxon Mobil Corporation,XOM,1.408961,115.17,-1.82,(-1.56%),2023-04-06,"15,769,328",13.27,9.88,8.81,11.85,3.11%,475.53B
10,UnitedHealth Group Incorporated,UNH,1.391501,512.5,3.27,(0.64%),2023-04-06,"3,470,934",21.18,28.28,24.04,18.01,1.30%,472.49B
11,Meta Platforms Inc. Class A,META,1.376614,216.02,4.54,(2.14%),2023-04-06,"26,074,426",8.36,12.13,25.30,17.44,-,537.68B
12,Johnson & Johnson,JNJ,1.266298,165.08,-0.54,(-0.32%),2023-04-06,"9,612,867",6.74,10.89,24.58,15.21,2.73%,425.96B
