#,Company,Symbol,Weight,Price,Chg,% Chg
103,Duke Energy Corporation,DUK,0.221168,92.83,0.0,(0.00%)
104,Southern Company,SO,0.214206,63.98,0.04,(0.06%)
105,Eaton Corp. Plc,ETN,0.210935,170.3,0.0,(0.00%)
106,EOG Resources Inc.,EOG,0.205893,112.18,0.0,(0.00%)
107,Boston Scientific Corporation,BSX,0.205465,46.48,0.0,(0.00%)
108,Lam Research Corporation,LRCX,0.203997,480.5,1.68,(0.35%)
109,Northrop Grumman Corp.,NOC,0.202579,462.0,2.22,(0.48%)
110,Becton Dickinson and Company,BDX,0.201139,229.71,0.0,(0.00%)
111,Illinois Tool Works Inc.,ITW,0.200968,230.27,0.0,(0.00%)
112,CME Group Inc. Class A,CME,0.194599,175.45,0.78,(0.45%)
113,Equinix Inc.,EQIX,0.192623,666.0,0.37,(0.06%)
114,Air Products and Chemicals Inc.,APD,0.192061,279.19,-2.08,(-0.74%)
115,CSX Corporation,CSX,0.190718,29.85,0.36,(1.22%)
116,Humana Inc.,HUM,0.187716,480.94,1.28,(0.27%)
117,Aon Plc Class A,AON,0.187129,291.58,-2.66,(-0.90%)
118,Micron Technology Inc.,MU,0.184252,54.96,0.03,(0.05%)
119,Marathon Petroleum Corporation,MPC,0.183395,129.0,0.45,(0.35%)
120,Colgate-Palmolive Company,CL,0.181033,71.3,-0.01,(-0.01%)
121,3M Company,MMM,0.177785,104.6,0.54,(0.52%)
122,U.S. Bancorp,USB,0.173702,40.82,0.2,(0.49%)
123,Waste Management Inc.,WM,0.172135,150.5,1.17,(0.78%)
124,Estee Lauder Companies Inc. Class A,EL,0.170857,236.9,0.7,(0.30%)
125,Freeport-McMoRan Inc.,FCX,0.170122,38.01,0.13,(0.34%)
126,Intercontinental Exchange Inc.,ICE,0.169606,95.4,0.01,(0.01%)
127,PNC Financial Services Group Inc.,PNC,0.169496,138.91,1.75,(1.28%)
128,Activision Blizzard Inc.,ATVI,0.169444,78.41,0.44,(0.56%)
129,Crown Castle Inc.,CCI,0.168766,127.79,0.91,(0.72%)
130,Truist Financial Corporation,TFC,0.168317,39.23,0.39,(1.00%)
131,Synopsys Inc.,SNPS,0.167735,355.25,0.02,(0.01%)
132,HCA Healthcare Inc,HCA,0.164996,246.6,0.0,(0.00%)
133,General Motors Company,GM,0.163785,36.79,0.27,(0.74%)
134,Cadence Design Systems Inc.,CDNS,0.163484,195.71,0.04,(0.02%)
135,KLA Corporation,KLAC,0.16303,367.55,0.04,(0.01%)
136,O'Reilly Automotive Inc.,ORLY,0.156899,820.0,0.08,(0.01%)
137,Sherwin-Williams Company,SHW,0.155612,212.1,-2.0,(-0.93%)
138,Valero Energy Corporation,VLO,0.155459,132.37,0.21,(0.16%)
139,General Dynamics Corporation,GD,0.152196,222.59,1.66,(0.75%)
140,FedEx Corporation,FDX,0.151686,201.89,0.7,(0.35%)
141,Norfolk Southern Corporation,NSC,0.150448,213.0,2.55,(1.21%)
142,Emerson Electric Co.,EMR,0.150058,83.0,0.83,(1.01%)
143,Dollar General Corporation,DG,0.149778,217.0,0.91,(0.42%)
144,Ford Motor Company,F,0.149334,12.08,-0.03,(-0.21%)
145,Phillips 66,PSX,0.147444,101.24,0.02,(0.02%)
146,McKesson Corporation,MCK,0.146804,336.2,0.0,(0.00%)
147,Pioneer Natural Resources Company,PXD,0.146465,199.15,0.37,(0.19%)
148,NXP Semiconductors NV,NXPI,0.143377,175.94,0.89,(0.51%)
149,Edwards Lifesciences Corporation,EW,0.143363,74.49,0.15,(0.20%)
150,General Mills Inc.,GIS,0.142338,79.96,1.44,(1.83%)
151,Public Storage,PSA,0.141916,278.5,-2.96,(-1.05%)
152,Sempra Energy,SRE,0.141445,144.11,0.0,(0.00%)
153,Amphenol Corporation Class A,APH,0.1414,76.5,0.0,(0.00%)
154,Moody's Corporation,MCO,0.14138,284.0,-1.09,(-0.38%)
155,AutoZone Inc.,AZO,0.140292,2421.39,0.0,(0.00%)
156,Microchip Technology Incorporated,MCHP,0.139265,81.68,0.11,(0.13%)
157,American Electric Power Company Inc.,AEP,0.139026,87.38,-0.15,(-0.17%)
158,Moderna Inc.,MRNA,0.138324,138.68,0.39,(0.28%)
